1,Artemy-Mellanox,I would pass qp_loop struct to all this functions and store  CI's and stuff inside.  Also why inline it?
2,alex-mikheev,imho it is better to change nvme_squeue_t *nvme_sq to something like uint32_t db_offset  so that low level api does not depend on high level definitions
3,Artemy-Mellanox,Yes  but we may want to pass some struct - there will be more nvme SQ parameters and also need out parameter  id  to use it in  unmap  command.
4,alex-mikheev,Lets pass a struct instead of nvme_sq
5,Artemy-Mellanox,print as  d
6,orendu,Let's call it bar registers space.
7,orendu,Eventually the address range needs to be configurable...
8,orendu,Why do we need db_addr if a SQ specific context is already supplied?
9,orendu,Should get this from device capabilities
10,orendu,...and go through init flow of the nvme function(s)?
11,orendu,what actually happens here?
12,orendu,s/worder/worker/
13,orendu,e?
14,orendu,maybe just give sqe pointer?
15,orendu,This is not used... I think the doorbell write callback should be property of creating sq.  Imagine multiple types of SQs that you'd want different handlers for them.  For instance  admin_q vs. io_q  (not must in nvme  there is another way to diff between admin/io queues  but i think it is nice)  
16,alex-mikheev,i will add attribute to the mlx_emu_dev_attr_t
17,alex-mikheev,you are right... 
18,alex-mikheev,so may be i should add something mlx_emu_dev_query(char *dev_name  mlx_emu_dev_qattr_t *) ?   It will return number of functions  max bar register space size etc
19,alex-mikheev,yes it will also do an init flow
20,alex-mikheev,revert mlx_emu_dev_open()  try to gracefully close all open resources and teardown emulated device
21,alex-mikheev,Yeah it is more generic. I will update .h file
22,orendu,the question was on worker_create()...
23,Artemy-Mellanox,Let's allow this to pass - otherwise will need to reboot after each execution.
24,alex-mikheev,let's move this the separate function ex sq_ring_db()
25,alex-mikheev,lets have a separate function for the cq db ringing (cq_ring_db)  also it is a good time to have a separate function that checks for completion(s) and optionally can ring cq doorbell  
26,alex-mikheev,also lets add a test in a separate PR that does following:  - submit full SQ of commands  - polls/checks for completions  but do not ring cq doorbell  - submit another full SQ of commands.   - check for completions - there should be none because there is no room in CQ  - ring cq doorbell  - check for completions - all commands must complete 
27,alex-mikheev,I think that you still have to do process_sq() after taking care of req_list
28,orendu,Are we going to have a complicated DB callback? otherwise let's drop the  simple ...
29,orendu,Let's drop the  only . We have  DB mode . Since it is used in the cb_type field  let's name this MLX_EMU_CB_TYPE_DB
30,orendu,Let's call it mlx_emu_db_mode_cb_t or alike. I want to drop all the  basic  and  simple' adjectives...
31,orendu,Is this used? I think FW did not implement registers change event  did they?
32,orendu,Is that how many QPs can be mapped to doorbells FW limit?  If so  it will be true also for SQE QPs  etc. So maybe it should be names  max mapped qps ?
33,orendu,Assuming 32bit doorbells?
34,orendu,Why do we need these on/off? If queue was created  with db mode  it will start sending DBs. Isn't that enough?  
35,mike-dubman,rm -f 
36,mike-dubman,do you want to override default  install  target ? why? if it is only to avoid build gtest which may be unavailable - you need to borrow from ucx ```./configure --enable-gtest``` logic
37,mike-dubman,tarball 
38,mike-dubman,```sh -eE``` to catch silent errors
39,mike-dubman,what does it mean? ``` 1 -eq 2``` ?
40,mike-dubman,please do not use single letter var names  it is hard to search it in the vim  root_dir?
41,mike-dubman,do we pack well-knows ssh keys into image? why?  can be security issue.
42,mike-dubman,-eE
43,mike-dubman,where cross compile is installed?  does it mean it can run only from that machine?  maybe need to ask michael to install it into /hpc/local?  also need check if cross compile path exit and error/die if not.
44,mike-dubman,-eE
45,mike-dubman,does it make sense to take size from getenv and default to 512?
46,alex-mikheev,Ucx does not configure gtest as git submodule. So install target is not applied to gtest.   So far it is my best idea is to override install for the gtest.    Also there seems to be a problem with the make check as it descends into gtest. Probably it is best to skip it in jenkins
47,alex-mikheev,duh it is ( if 0) equivalent to skip some steps during test runs
48,alex-mikheev,those are the standard host keys that come on the original image. I am doing it to enable ssh into the machine by default
49,alex-mikheev,Currently i only have it locally on rsws36. I guess it is a good idea to install free electrons cross compilers in //hpc/local. UCX can also use it.
50,alex-mikheev,i would not bother as this code will be replaced with a more generic backend/block device layer.  
51,mike-dubman,I think this method https://github.com/openucx/ucx/blob/master/config/m4/gtest.m4 should work and use HAVE_GTEST macro to enable/disable gtest folder addon to SUBDIRS?
52,mike-dubman,@MrBr-github - please note  lets add it to  non-urgent  tasks
53,yshestakov,`rm -rf` what?
54,yshestakov,`sshd` could re-generate new SSH keys on the first start.  So it's better to not include SSH host keys into the archive
55,yshestakov,hardcoded kernel version. Is it OK?
56,alex-mikheev,yeah  but i suppose it should be addressed by the Yevgeny Petrilin. 
57,alex-mikheev,+1 good one 
58,alex-mikheev,at this stage yes. 
59,alex-mikheev,typo: ^iemulated^emulated
60,alex-mikheev,^NVME_ERR^MLX_ERR
61,orendu,Remove 'rx' from comment
62,alex-mikheev,please change 'dw11:' to something more descriptive
63,alex-mikheev,dw11 -> to smth more descriptive
64,alex-mikheev,add a comment that describes what exactly is done here
65,alex-mikheev,0x3 | (64 << 7) | (64 << 15) | (64 << 23) seems to be a common pattern. May be use a common function
66,alex-mikheev,please us a descriptive macro for the capabilities bits
67,alex-mikheev,pls rename to arbitration
68,alex-mikheev,remove packed attribute from the places that already have NVME_PACKED  please use NVME_PACKED macro when such attribute is needed
69,orendu,O_SYNC  yes please
70,orendu,Rephrase: should be set when this queue is a completion queue
71,orendu, The callbacks normally used to deliver commands (such as mlx_emu_q_nvmf_cmd_cb_t) will never be called. When external QP is used  there is no sense in having more than one worker that will handle async events and registers events  so all queues can be created using the same worker context. 
72,orendu,I think we agreed we need indication if this is an SQ or CQ.  In case of SQ  need to have CQ number to report to.
73,orendu,To support it like that  we need bitmap in the attributes to indicate which fields to modify. For now we will only support updating the QPN field.
74,orendu,I think we should have a flag  ext_qp_mode  as well as ext_qp_num.  I'd like to support the option for having no QP configured (i.e. ext_qp_num==0)  but still would not like to get the commands to the callbacks... For instance  in case both by active and backup controllers are down...
75,orendu,Actually we don't allow modifying the MLX_EMU_Q_EXTERNAL_QP bit within the flags field. We allow modifying the ext_qp_num field only. 
76,orendu,Just add that the field is valid only when MLX_EMU_Q_EXTERNAL_QP is set in flags.
77,alex-mikheev,the intention here to change ext_qp_num field. Do you want a new flags or to reword the description ?
78,mike-dubman,what about port? no need to specify? ```mlx5_2:1``` ?
79,alex-mikheev,no need for the port  it is a 'special hca' with one port
80,mike-dubman,Should be called as part of jenkins  Also documened in readme how to call it
81,alex-mikheev,We will have to make sure that we are taking ibverbs and rdmacm from rdma-core and not ofed. May be add a configure check
82,alex-mikheev,Do we need a separate thread polling CQ ? I have an impression that we are always going to work with the event_loop ?
83,alex-mikheev,Does controller gtest really depends on ibverbs and rdmacm ?
84,alex-mikheev,@Artemy-Mellanox  should it be a part of devx actually ?
85,alex-mikheev,it is better to have a more descriptive name than nvmf_cc
86,alex-mikheev,may be a good idea to add a test that also checks that connect command is received.
87,alex-mikheev,naming: either all fields should have nvme_ prefix or go without it.  do you thing it worth to group attributes to structs. For example cq_attrs  sq_attrs  common_attrs etc..
88,galshachaf,this is the command name in the PRM  do you think it's better to change it to  command capsule ?
89,galshachaf,The names are all according to prm  except legacy fields like  q_length  that appeared in the existing code. I think we should change them all to prm conventions  do you agree?  I can leave the common attributes without a struct  and use a union for cq_attrs  sq_attrs. What do you think about this solution?
90,galshachaf,I will add this test.
91,alex-mikheev,That would be a very long name. Let's add short comment that describes what this function does. 
92,alex-mikheev,I agree  lets change to the prm conventions. Union looks like a good solution
93,alex-mikheev,need to change printf to our logger nvmx_debug etc...
94,maxgurtovoy,This might be needed earlier. so let's parse this file during nvme_ctrl_init after allocating the ctrl.  Where is the call to the function that deallocate values ? should be called also in nvme_ctrl_destroy and in error flows during nvme_ctrl_init 
95,alex-mikheev,If json parser license is BSD please move it from sample to the src
96,maxgurtovoy,can this command fail ?  please add error flow to this one as well.
97,maxgurtovoy,what is this config.h file ?  I can't find it in this PR.
98,maxgurtovoy,please remove the src notation.
99,maxgurtovoy,please don't define json config inside nvme_controller.  we will use it from src/* code as well.
100,vasilyMellanox,it doesn't part of this PR  it exists before
101,alex-mikheev,Please move this check eslewhere. Either to main configure.ac or create your own json.m4
102,mike-dubman,todo: need to wrap all getenv/setenv usages by nvmx_getconf/nvmx_setconf and use conf file/env sources  also type checking
103,mike-dubman,why name is hardcoded? probably best take it from conf/env
104,alex-mikheev,we are in the process of having all this taken from the config. Not in this PR though ;)
105,aviadye,In general you are right. We are moving to conf file mechanism so this will be removed anyway.
106,aviadye,In general you are right. We are moving to conf file mechanism so this will be removed anyway.
107,maxgurtovoy,we'll add support for conf file in different PR.
108,mike-dubman,please update jenkins script to set target_ip var so test will kick in CI  @yshestakov - please note
109,nitzancarmi,We currently don't check that we read exactly the same buffer that we have written before (No data corruption).  Maybe instead of using the req->payload as a buffer  it is better to pass our own write_buf to  write  send_nvmf_cmd  and another (blank) read_buf to  read  send_nvmf_cmd  and see if they're indeed identical.
110,alex-mikheev,devx_qp_t itself is quite small you can save the malloc/free and have it as a part of the struct
111,maxgurtovoy,done
112,maxgurtovoy,you don't need this local variable. Just use this dereference during the RNR state.
113,maxgurtovoy,can be nvmx_debug or printed once after ctrl establishment and not per queue.
114,maxgurtovoy,changing nr_io_queues can be in a separate commit and also the renaming of the traddr and subsys name.  This commit should be only for making the rdma/cm establishment with devx_qp.  Also please mention in the commit message that we are based on the new modify_qp api in rdma_cm that still haven't pushed upstream and this functionality can be changed.
115,nitzancarmi,It is already after ctrl establishment. It is at the end of nvmf_rdma_create_ctrl func  right before  return  ctrl->ctrl . Should I still set it to debug?
116,mike-dubman,next line  if  should be included into ```else``` from line 1064
117,nitzancarmi,Applied
118,alex-mikheev,It assumes that gtest is run from the top level of nvmx source. Perhaps a better approach is to use absolute name for the sample config
119,alex-mikheev,default should depend on the  --sysconfdir value ( {prefix}/etc) 
