Size: 8672
know) 1902 (0.219)
choose) 1600 (0.185)
care) 779 (0.090)
believe) 760 (0.088)
give) 759 (0.088)
want) 738 (0.085)
love) 681 (0.079)
great) 676 (0.078)
strong) 670 (0.077)
many) 667 (0.077)
go) 633 (0.073)
take) 597 (0.069)
learn) 579 (0.067)
try) 511 (0.059)
lead) 504 (0.058)
get) 504 (0.058)
help) 483 (0.056)
seem) 478 (0.055)
see) 457 (0.053)
need) 449 (0.052)
smart) 443 (0.051)
come) 432 (0.050)
make) 415 (0.048)
fight) 394 (0.045)
live) 394 (0.045)
think) 381 (0.044)
look) 371 (0.043)
responsible) 365 (0.042)
say) 356 (0.041)
manage) 343 (0.040)
afraid) 342 (0.039)
succeed) 336 (0.039)
optimistic) 332 (0.038)
difficult) 329 (0.038)
charismatic) 316 (0.036)
humble) 314 (0.036)
show) 300 (0.035)
strive) 295 (0.034)
high) 288 (0.033)
find) 288 (0.033)
work) 276 (0.032)
happy) 269 (0.031)
understand) 261 (0.030)
good) 257 (0.030)
stand) 249 (0.029)
achieve) 240 (0.028)
realistic) 231 (0.027)
professional) 230 (0.027)
imaginary) 229 (0.026)
sociable) 227 (0.026)
first) 227 (0.026)
brave) 222 (0.026)
much) 222 (0.026)
personal) 214 (0.025)
continue) 214 (0.025)
willing) 211 (0.024)
appreciate) 210 (0.024)
describe) 208 (0.024)
contribute) 205 (0.024)
decide) 205 (0.024)
act) 202 (0.023)
reach) 194 (0.022)
sensitive) 193 (0.022)
listen) 192 (0.022)
educate) 191 (0.022)
follow) 189 (0.022)
bring) 185 (0.021)
amazing) 183 (0.021)
assertive) 178 (0.021)
smile) 176 (0.020)
able) 176 (0.020)
different) 175 (0.020)
successful) 173 (0.020)
honest) 172 (0.020)
right) 171 (0.020)
teach) 170 (0.020)
put) 167 (0.019)
save) 166 (0.019)
whole) 165 (0.019)
ambitious) 161 (0.019)
human) 159 (0.018)
bad) 158 (0.018)
hard) 158 (0.018)
tell) 155 (0.018)
accept) 154 (0.018)
feel) 153 (0.018)
develop) 149 (0.017)
jewish) 148 (0.017)
change) 148 (0.017)
creative) 147 (0.017)
possible) 146 (0.017)
funny) 144 (0.017)
maintain) 144 (0.017)
connect) 142 (0.016)
invest) 142 (0.016)
social) 141 (0.016)
caring) 140 (0.016)
express) 140 (0.016)
speak) 140 (0.016)
become) 140 (0.016)
true) 139 (0.016)
little) 139 (0.016)
full) 136 (0.016)
serve) 136 (0.016)
grow) 135 (0.016)
serious) 134 (0.015)
determine) 134 (0.015)
consider) 133 (0.015)
let) 133 (0.015)
value) 131 (0.015)
hear) 131 (0.015)
special) 128 (0.015)
use) 125 (0.014)
write) 120 (0.014)
realize) 119 (0.014)
improve) 117 (0.013)
respect) 116 (0.013)
set) 116 (0.013)
start) 115 (0.013)
new) 113 (0.013)
create) 112 (0.013)
establish) 112 (0.013)
leave) 112 (0.013)
enjoy) 111 (0.013)
open) 111 (0.013)
name) 111 (0.013)
kill) 110 (0.013)
big) 110 (0.013)
read) 110 (0.013)
main) 108 (0.012)
do) 108 (0.012)
begin) 107 (0.012)
talk) 106 (0.012)
modest) 105 (0.012)
represent) 104 (0.012)
close) 104 (0.012)
calm) 104 (0.012)
attentive) 103 (0.012)
raise) 103 (0.012)
ask) 103 (0.012)
entire) 102 (0.012)
meet) 101 (0.012)
happen) 101 (0.012)
well) 100 (0.012)
simple) 100 (0.012)
traits_seem) 99 (0.011)
accord) 99 (0.011)
end) 99 (0.011)
keep) 97 (0.011)
figure) 94 (0.011)
excellent) 93 (0.011)
necessary) 93 (0.011)
small) 93 (0.011)
general) 92 (0.011)
receive) 92 (0.011)
lose) 90 (0.010)
prove) 89 (0.010)
call) 88 (0.010)
poor) 87 (0.010)
move) 87 (0.010)
support) 87 (0.010)
stay) 86 (0.010)
influence) 86 (0.010)
deal) 86 (0.010)
sacrifice) 86 (0.010)
stubborn) 86 (0.010)
face) 86 (0.010)
promote) 85 (0.010)
trust) 84 (0.010)
stop) 84 (0.010)
late) 84 (0.010)
independent) 83 (0.010)
huge) 83 (0.010)
weak) 82 (0.009)
young) 82 (0.009)
play) 81 (0.009)
break) 81 (0.009)
wise) 80 (0.009)
characterize) 80 (0.009)
like) 80 (0.009)
treat) 79 (0.009)
quiet) 79 (0.009)
real) 79 (0.009)
front) 78 (0.009)
certain) 78 (0.009)
cause) 78 (0.009)
david_ben) 78 (0.009)
military) 78 (0.009)
intelligent) 77 (0.009)
inspire) 76 (0.009)
remember) 76 (0.009)
sweep) 75 (0.009)
common) 75 (0.009)
pleasant) 74 (0.009)
kind_hearte) 74 (0.009)
clear) 74 (0.009)
turn) 74 (0.009)
menachem_begin) 73 (0.008)
run) 72 (0.008)
present) 71 (0.008)
significant) 70 (0.008)
confident) 70 (0.008)
mean) 70 (0.008)
fall) 69 (0.008)
wrong) 69 (0.008)
perform) 69 (0.008)
combine) 69 (0.008)
decisive) 69 (0.008)
israeli) 68 (0.008)
last) 68 (0.008)
evil) 68 (0.008)
loyal) 67 (0.008)
bear) 67 (0.008)
political) 67 (0.008)
zionist) 67 (0.008)
beautiful) 67 (0.008)
really_appreciate) 66 (0.008)
fail) 66 (0.008)
require) 66 (0.008)
public) 66 (0.008)
seek) 66 (0.008)
agree) 65 (0.007)
return) 65 (0.007)
study) 64 (0.007)
admirable) 64 (0.007)
supportive) 63 (0.007)
build) 63 (0.007)
generous) 63 (0.007)
rich) 63 (0.007)
janusz_korczak) 62 (0.007)
hurt) 62 (0.007)
die) 61 (0.007)
aware) 61 (0.007)
impressive) 60 (0.007)
extraordinary) 60 (0.007)
free) 59 (0.007)
hardworke) 59 (0.007)
curious) 59 (0.007)
active) 58 (0.007)
moral) 58 (0.007)
modesty) 58 (0.007)
protect) 57 (0.007)
dedicated) 57 (0.007)
exist) 57 (0.007)
easy) 56 (0.006)
admire) 56 (0.006)
influential) 56 (0.006)
walk) 56 (0.006)
authoritative) 56 (0.006)
perceive) 55 (0.006)
prominent) 55 (0.006)
complete) 55 (0.006)
former) 54 (0.006)
tremendous) 54 (0.006)
pass) 54 (0.006)
yitzhak_rabin) 53 (0.006)
interested) 53 (0.006)
affect) 53 (0.006)
draw) 51 (0.006)
dominant) 51 (0.006)
sharp) 51 (0.006)
old) 51 (0.006)
warm) 51 (0.006)
encourage) 51 (0.006)
motivate) 51 (0.006)
correct) 51 (0.006)
behave) 51 (0.006)
various) 50 (0.006)
identify) 50 (0.006)
respectful) 50 (0.006)
dare) 50 (0.006)
demand) 50 (0.006)
command) 50 (0.006)
negative) 49 (0.006)
rabbi) 49 (0.006)
allow) 49 (0.006)
nice) 49 (0.006)
portray) 49 (0.006)
united_state) 49 (0.006)
reliable) 49 (0.006)
literary) 48 (0.006)
sit) 48 (0.006)
second) 48 (0.006)
win) 48 (0.006)
matter) 48 (0.006)
due) 47 (0.005)
survive) 47 (0.005)
calculate) 47 (0.005)
insist) 47 (0.005)
aspire) 47 (0.005)
stick) 47 (0.005)
perfect) 46 (0.005)
involve) 45 (0.005)
found) 45 (0.005)
particular) 45 (0.005)
equal) 45 (0.005)
adhere) 44 (0.005)
discover) 44 (0.005)
religious) 44 (0.005)
carry) 44 (0.005)
famous) 44 (0.005)
ideal) 44 (0.005)
similar) 43 (0.005)
convey) 43 (0.005)
helpful) 43 (0.005)
long) 43 (0.005)
low) 43 (0.005)
enter) 43 (0.005)
encounter) 42 (0.005)
feature) 42 (0.005)
future) 41 (0.005)
addition) 41 (0.005)
deep) 41 (0.005)
oppose) 41 (0.005)
dedicate) 41 (0.005)
ready) 41 (0.005)
talented) 40 (0.005)
interesting) 40 (0.005)
experience) 40 (0.005)
considerate) 40 (0.005)
risk) 40 (0.005)
impossible) 40 (0.005)
black) 40 (0.005)
explain) 40 (0.005)
volunteer) 40 (0.005)
accompany) 40 (0.005)
contain) 40 (0.005)
forget) 39 (0.004)
devote) 39 (0.004)
emphasize) 39 (0.004)
solve) 39 (0.004)
exemplary) 39 (0.004)
remain) 39 (0.004)
large) 38 (0.004)
arrogant) 38 (0.004)
less) 38 (0.004)
recognize) 38 (0.004)
tough) 38 (0.004)
hold) 38 (0.004)
symbolize) 37 (0.004)
overcome) 37 (0.004)
powerful) 37 (0.004)
include) 37 (0.004)
advocate) 37 (0.004)
favorite) 36 (0.004)
patient) 36 (0.004)
connected) 36 (0.004)
reflect) 36 (0.004)
attach) 36 (0.004)
guide) 36 (0.004)
tolerant) 36 (0.004)
light) 36 (0.004)
desire) 36 (0.004)
cope) 35 (0.004)
train) 35 (0.004)
shimon_pere) 35 (0.004)
dream) 35 (0.004)
mention) 35 (0.004)
engage) 35 (0.004)
donate) 35 (0.004)
enough) 35 (0.004)
demonstrate) 35 (0.004)
enlist) 34 (0.004)
personal_example) 34 (0.004)
short) 34 (0.004)
mulan) 33 (0.004)
direct) 33 (0.004)
stood_ground) 33 (0.004)
provide) 33 (0.004)
would_like) 33 (0.004)
adapt) 33 (0.004)
lack) 32 (0.004)
expect) 32 (0.004)
capable) 32 (0.004)
answer) 32 (0.004)
deserve) 32 (0.004)
hardworking) 32 (0.004)
laugh) 32 (0.004)
sweeping) 32 (0.004)
excel) 32 (0.004)
head) 31 (0.004)
mature) 31 (0.004)
benefit) 31 (0.004)
strengthen) 31 (0.004)
current) 31 (0.004)
fulfil) 31 (0.004)
imagine) 31 (0.004)
non) 31 (0.004)
gentle) 31 (0.004)
historical) 31 (0.004)
several) 31 (0.004)
knows_listen) 31 (0.004)
british) 31 (0.004)
individual) 30 (0.003)
focus) 30 (0.003)
hide) 30 (0.003)
spend) 30 (0.003)
progress) 30 (0.003)
pay) 30 (0.003)
outstanding) 30 (0.003)
radiate) 30 (0.003)
state_contract) 29 (0.003)
suffer) 29 (0.003)
bible) 29 (0.003)
reveal) 29 (0.003)
hope) 29 (0.003)
unique) 29 (0.003)
drive) 29 (0.003)
obvious) 28 (0.003)
commit) 28 (0.003)
determined) 28 (0.003)
comfortable) 28 (0.003)
innocent) 28 (0.003)
constant) 28 (0.003)
aspiration) 28 (0.003)
push) 28 (0.003)
sure) 28 (0.003)
stress) 27 (0.003)
adopt) 27 (0.003)
ignore) 27 (0.003)
initiate) 27 (0.003)
organize) 27 (0.003)
top) 27 (0.003)
physical) 27 (0.003)
shape) 27 (0.003)
wonderful) 27 (0.003)
rise) 27 (0.003)
extreme) 27 (0.003)
self_confident) 27 (0.003)
refuse) 27 (0.003)
offer) 27 (0.003)
admirable_figure) 27 (0.003)
harm) 26 (0.003)
set_personal) 26 (0.003)
adore) 26 (0.003)
normal) 26 (0.003)
attract) 26 (0.003)
meaningful) 26 (0.003)
practical) 26 (0.003)
gurion_first) 26 (0.003)
contrary) 26 (0.003)
key) 25 (0.003)
first_foremost) 25 (0.003)
really_like) 25 (0.003)
noble) 25 (0.003)
crazy) 25 (0.003)
prepare) 25 (0.003)
specific) 24 (0.003)
knows_accept) 24 (0.003)
opinionate) 24 (0.003)
worth) 24 (0.003)
alone) 24 (0.003)
touch) 24 (0.003)
alive) 24 (0.003)
place) 24 (0.003)
witty) 24 (0.003)
advise) 24 (0.003)
marry) 24 (0.003)
brilliant) 24 (0.003)
invent) 24 (0.003)
travel) 24 (0.003)
broad) 24 (0.003)
inner) 24 (0.003)
abandon) 24 (0.003)
settle) 24 (0.003)
tall) 24 (0.003)
depend) 24 (0.003)
wound) 24 (0.003)
appear) 23 (0.003)
critical) 23 (0.003)
wait) 23 (0.003)
proud) 23 (0.003)
past) 23 (0.003)
mental) 23 (0.003)
indicate) 23 (0.003)
example) 23 (0.003)
popular) 23 (0.003)
satisfied) 23 (0.003)
fear) 23 (0.003)
establish_jewish) 23 (0.003)
humane) 23 (0.003)
lie) 23 (0.003)
exceptional) 23 (0.003)
participate) 23 (0.003)
female) 22 (0.003)
warm_love) 22 (0.003)
expose) 22 (0.003)
rabin) 22 (0.003)
watch) 22 (0.003)
endless) 22 (0.003)
defend) 22 (0.003)
struggle) 22 (0.003)
private) 22 (0.003)
trustworthy) 21 (0.002)
base) 21 (0.002)
greatly_influence) 21 (0.002)
view) 21 (0.002)
send) 21 (0.002)
benjamin_zeev) 21 (0.002)
murder) 21 (0.002)
honesty) 21 (0.002)
motivated) 21 (0.002)
cool) 21 (0.002)
next) 21 (0.002)
complain) 21 (0.002)
charismatic_sweepe) 21 (0.002)
polite) 21 (0.002)
throw) 21 (0.002)
arrive) 21 (0.002)
unite) 21 (0.002)
immense) 21 (0.002)
third) 21 (0.002)
needy) 21 (0.002)
solid) 21 (0.002)
bother) 21 (0.002)
gain) 20 (0.002)
fair) 20 (0.002)
beloved) 20 (0.002)
least) 20 (0.002)
holocaust) 20 (0.002)
champion) 20 (0.002)
advance) 20 (0.002)
elect) 20 (0.002)
