Size: 8672
know) 1945 (0.224)
choose) 1616 (0.186)
quality) 1369 (0.158)
other) 1063 (0.123)
trait) 980 (0.113)
thing) 934 (0.108)
care) 864 (0.100)
leader) 836 (0.096)
figure) 779 (0.090)
want) 770 (0.089)
give) 767 (0.088)
believe) 760 (0.088)
ability) 741 (0.085)
love) 728 (0.084)
great) 688 (0.079)
time) 682 (0.079)
strong) 677 (0.078)
value) 676 (0.078)
many) 667 (0.077)
go) 633 (0.073)
family) 613 (0.071)
take) 602 (0.069)
learn) 591 (0.068)
country) 583 (0.067)
try) 576 (0.066)
friend) 570 (0.066)
need) 567 (0.065)
woman) 519 (0.060)
fight) 518 (0.060)
lead) 513 (0.059)
world) 512 (0.059)
mother) 506 (0.058)
get) 506 (0.058)
situation) 505 (0.058)
eye) 504 (0.058)
well) 503 (0.058)
help) 484 (0.056)
seem) 480 (0.055)
child) 476 (0.055)
see) 463 (0.053)
change) 444 (0.051)
smart) 443 (0.051)
come) 438 (0.051)
look) 430 (0.050)
live) 430 (0.050)
much) 420 (0.048)
first) 418 (0.048)
make) 418 (0.048)
respect) 394 (0.045)
strive) 390 (0.045)
think) 383 (0.044)
soldier) 383 (0.044)
show) 378 (0.044)
manage) 376 (0.043)
commander) 374 (0.043)
succeed) 370 (0.043)
addition) 368 (0.042)
responsible) 365 (0.042)
say) 365 (0.042)
end) 354 (0.041)
desire) 354 (0.041)
environment) 352 (0.041)
work) 352 (0.041)
afraid) 344 (0.040)
act) 343 (0.040)
example) 340 (0.039)
optimistic) 334 (0.039)
difficult) 331 (0.038)
right) 329 (0.038)
humble) 324 (0.037)
goal) 324 (0.037)
charismatic) 320 (0.037)
place) 319 (0.037)
state) 315 (0.036)
find) 315 (0.036)
stand) 302 (0.035)
father) 297 (0.034)
high) 295 (0.034)
leadership) 286 (0.033)
understand) 279 (0.032)
contribute) 273 (0.031)
influence) 271 (0.031)
happy) 270 (0.031)
society) 268 (0.031)
smile) 267 (0.031)
good) 258 (0.030)
book) 258 (0.030)
appreciate) 255 (0.029)
courage) 253 (0.029)
girl) 251 (0.029)
achieve) 249 (0.029)
gurion) 247 (0.028)
really) 247 (0.028)
responsibility) 246 (0.028)
hard) 246 (0.028)
sociable) 244 (0.028)
imaginary) 244 (0.028)
professional) 237 (0.027)
listen) 232 (0.027)
peace) 232 (0.027)
realistic) 232 (0.027)
matter) 232 (0.027)
brave) 229 (0.026)
talk) 227 (0.026)
king) 226 (0.026)
war) 223 (0.026)
vision) 222 (0.026)
follow) 219 (0.025)
invest) 219 (0.025)
describe) 218 (0.025)
story) 216 (0.025)
power) 216 (0.025)
continue) 216 (0.025)
personal) 215 (0.025)
educate) 212 (0.024)
willing) 211 (0.024)
difficulty) 209 (0.024)
deal) 206 (0.024)
action) 205 (0.024)
decide) 205 (0.024)
never) 204 (0.024)
reach) 204 (0.024)
feature) 199 (0.023)
sensitive) 199 (0.023)
year) 193 (0.022)
support) 193 (0.022)
put) 193 (0.022)
human) 191 (0.022)
grandfather) 191 (0.022)
name) 191 (0.022)
decision) 190 (0.022)
honest) 190 (0.022)
dream) 189 (0.022)
bring) 187 (0.022)
amazing) 184 (0.021)
connect) 181 (0.021)
assertive) 180 (0.021)
save) 179 (0.021)
teach) 179 (0.021)
hand) 179 (0.021)
today) 178 (0.021)
fact) 177 (0.020)
different) 176 (0.020)
able) 176 (0.020)
whole) 175 (0.020)
successful) 174 (0.020)
considerate) 174 (0.020)
sacrifice) 173 (0.020)
brother) 172 (0.020)
caring) 170 (0.020)
army) 170 (0.020)
study) 169 (0.019)
success) 169 (0.019)
company) 169 (0.019)
use) 168 (0.019)
feel) 168 (0.019)
day) 168 (0.019)
ambitious) 167 (0.019)
field) 166 (0.019)
knowledge) 166 (0.019)
accept) 165 (0.019)
still) 164 (0.019)
charisma) 163 (0.019)
home) 162 (0.019)
wisdom) 162 (0.019)
tell) 162 (0.019)
faith) 162 (0.019)
traits_seem) 162 (0.019)
opinion) 161 (0.019)
around) 160 (0.018)
bad) 158 (0.018)
order) 158 (0.018)
calm) 156 (0.018)
jewish) 155 (0.018)
officer) 154 (0.018)
speak) 154 (0.018)
herzl) 153 (0.018)
historical_figure) 151 (0.017)
maintain) 151 (0.017)
menachem_begin) 150 (0.017)
yitzhak_rabin) 150 (0.017)
develop) 150 (0.017)
side) 150 (0.017)
trust) 150 (0.017)
heart) 149 (0.017)
funny) 149 (0.017)
job) 148 (0.017)
possible) 148 (0.017)
face) 148 (0.017)
creative) 147 (0.017)
belief) 146 (0.017)
determination) 146 (0.017)
little) 145 (0.017)
shimon_pere) 144 (0.017)
express) 144 (0.017)
serve) 144 (0.017)
set) 144 (0.017)
serious) 143 (0.016)
social) 142 (0.016)
yet) 140 (0.016)
guy) 140 (0.016)
become) 140 (0.016)
true) 139 (0.016)
modesty) 139 (0.016)
kind) 139 (0.016)
part) 139 (0.016)
problem) 138 (0.016)
idea) 138 (0.016)
let) 137 (0.016)
prime_minister) 136 (0.016)
full) 136 (0.016)
reality) 136 (0.016)
consider) 135 (0.016)
head) 135 (0.016)
grow) 135 (0.016)
determine) 135 (0.016)
hear) 134 (0.015)
command) 134 (0.015)
experience) 133 (0.015)
principle) 130 (0.015)
task) 130 (0.015)
move) 130 (0.015)
course) 130 (0.015)
special) 130 (0.015)
teacher) 128 (0.015)
age) 128 (0.015)
leave) 128 (0.015)
confidence) 127 (0.015)
moment) 127 (0.015)
movie) 126 (0.015)
break) 125 (0.014)
ambition) 124 (0.014)
close) 124 (0.014)
ben_gurion) 124 (0.014)
read) 124 (0.014)
student) 123 (0.014)
improve) 123 (0.014)
role_model) 123 (0.014)
start) 123 (0.014)
write) 123 (0.014)
purpose) 123 (0.014)
really_appreciate) 122 (0.014)
realize) 122 (0.014)
choice) 122 (0.014)
sometimes) 122 (0.014)
thank) 122 (0.014)
admire) 121 (0.014)
role) 121 (0.014)
ask) 120 (0.014)
team) 119 (0.014)
create) 118 (0.014)
history) 117 (0.013)
attentive) 116 (0.013)
enjoy) 116 (0.013)
warrior) 116 (0.013)
meet) 115 (0.013)
joy) 115 (0.013)
optimism) 115 (0.013)
kill) 114 (0.013)
aspiration) 114 (0.013)
rabin) 113 (0.013)
new) 113 (0.013)
establish) 113 (0.013)
military) 113 (0.013)
open) 113 (0.013)
death) 112 (0.013)
perseverance) 111 (0.013)
begin) 110 (0.013)
though) 110 (0.013)
big) 110 (0.013)
especially) 110 (0.013)
main) 109 (0.013)
general) 109 (0.013)
modest) 109 (0.013)
raise) 108 (0.012)
sweep) 108 (0.012)
do) 108 (0.012)
accord) 107 (0.012)
treat) 106 (0.012)
stop) 106 (0.012)
cause) 106 (0.012)
education) 105 (0.012)
represent) 104 (0.012)
simple) 104 (0.012)
keep) 104 (0.012)
kindness) 104 (0.012)
motivation) 103 (0.012)
call) 103 (0.012)
risk) 103 (0.012)
happen) 103 (0.012)
play) 102 (0.012)
moshe_rabbeinu) 102 (0.012)
entire) 102 (0.012)
real) 101 (0.012)
turn) 101 (0.012)
promote) 100 (0.012)
front) 100 (0.012)
late) 100 (0.012)
path) 99 (0.011)
word) 99 (0.011)
concern) 99 (0.011)
martin_luther) 98 (0.011)
personality) 98 (0.011)
character) 97 (0.011)
return) 97 (0.011)
son) 96 (0.011)
fall) 96 (0.011)
stay) 95 (0.011)
patient) 95 (0.011)
strength) 95 (0.011)
excellent) 95 (0.011)
janusz_korczak) 94 (0.011)
dad) 94 (0.011)
almost) 94 (0.011)
position) 94 (0.011)
professionalism) 94 (0.011)
less) 93 (0.011)
view) 93 (0.011)
necessary) 93 (0.011)
receive) 93 (0.011)
small) 93 (0.011)
money) 92 (0.011)
prove) 92 (0.011)
inspire) 91 (0.010)
lose) 91 (0.010)
mission) 91 (0.010)
mean) 91 (0.010)
evil) 90 (0.010)
grandmother) 89 (0.010)
run) 89 (0.010)
like) 89 (0.010)
stubborn) 89 (0.010)
poor) 88 (0.010)
wise) 88 (0.010)
demand) 88 (0.010)
truth) 88 (0.010)
thinking) 87 (0.010)
strong_woman) 86 (0.010)
pleasant) 86 (0.010)
