Size: 4411
know) 1220 (0.277)
always) 1090 (0.247)
man) 1028 (0.233)
give) 842 (0.191)
choose) 806 (0.183)
good) 794 (0.180)
life) 752 (0.170)
help) 675 (0.153)
think) 648 (0.147)
even) 640 (0.145)
also) 620 (0.141)
way) 605 (0.137)
positive) 579 (0.131)
quality) 531 (0.120)
opinion) 517 (0.117)
believe) 508 (0.115)
see) 504 (0.114)
thing) 490 (0.111)
other) 476 (0.108)
care) 470 (0.107)
go) 465 (0.105)
lead) 439 (0.100)
love) 437 (0.099)
work) 424 (0.096)
leader) 423 (0.096)
make) 410 (0.093)
ability) 401 (0.091)
value) 389 (0.088)
figure) 383 (0.087)
great) 373 (0.085)
want) 370 (0.084)
lot) 367 (0.083)
take) 362 (0.082)
important) 359 (0.081)
time) 356 (0.081)
many) 337 (0.076)
trait) 323 (0.073)
try) 305 (0.069)
strong) 292 (0.066)
family) 284 (0.064)
country) 282 (0.064)
world) 280 (0.063)
need) 275 (0.062)
get) 263 (0.060)
friend) 256 (0.058)
commander) 255 (0.058)
come) 254 (0.058)
learn) 248 (0.056)
situation) 242 (0.055)
well) 240 (0.054)
fight) 237 (0.054)
change) 228 (0.052)
succeed) 219 (0.050)
humble) 219 (0.050)
soldier) 218 (0.049)
respect) 209 (0.047)
state) 207 (0.047)
show) 204 (0.046)
end) 202 (0.046)
say) 202 (0.046)
addition) 198 (0.045)
manage) 197 (0.045)
child) 197 (0.045)
eye) 196 (0.044)
smart) 193 (0.044)
live) 193 (0.044)
positive_qualitie) 190 (0.043)
first) 189 (0.043)
example) 188 (0.043)
desire) 188 (0.043)
much) 185 (0.042)
act) 180 (0.041)
charismatic) 178 (0.040)
look) 178 (0.040)
leadership) 178 (0.040)
goal) 177 (0.040)
afraid) 174 (0.039)
high) 170 (0.039)
difficult) 169 (0.038)
strive) 167 (0.038)
environment) 160 (0.036)
responsible) 159 (0.036)
understand) 156 (0.035)
book) 153 (0.035)
peace) 152 (0.034)
right) 148 (0.034)
gurion) 147 (0.033)
find) 141 (0.032)
father) 140 (0.032)
society) 139 (0.032)
professional) 138 (0.031)
contribute) 138 (0.031)
war) 138 (0.031)
really) 138 (0.031)
stand) 137 (0.031)
place) 136 (0.031)
continue) 136 (0.031)
invest) 133 (0.030)
seem) 132 (0.030)
matter) 132 (0.030)
happy) 131 (0.030)
personal) 130 (0.029)
power) 129 (0.029)
action) 127 (0.029)
king) 126 (0.029)
courage) 126 (0.029)
vision) 126 (0.029)
appreciate) 125 (0.028)
achieve) 124 (0.028)
influence) 124 (0.028)
grandfather) 123 (0.028)
responsibility) 122 (0.028)
year) 116 (0.026)
talk) 114 (0.026)
feature) 113 (0.026)
educate) 113 (0.026)
put) 111 (0.025)
knowledge) 110 (0.025)
reach) 110 (0.025)
decision) 109 (0.025)
mother) 108 (0.024)
willing) 107 (0.024)
difficulty) 107 (0.024)
menachem_begin) 106 (0.024)
story) 106 (0.024)
company) 106 (0.024)
decide) 105 (0.024)
follow) 103 (0.023)
field) 100 (0.023)
day) 100 (0.023)
imaginary) 100 (0.023)
listen) 99 (0.022)
hard) 99 (0.022)
bring) 99 (0.022)
army) 99 (0.022)
dream) 98 (0.022)
never) 98 (0.022)
use) 97 (0.022)
brave) 96 (0.022)
sacrifice) 96 (0.022)
honest) 95 (0.022)
today) 95 (0.022)
successful) 95 (0.022)
hand) 94 (0.021)
save) 94 (0.021)
order) 93 (0.021)
amazing) 93 (0.021)
whole) 93 (0.021)
problem) 92 (0.021)
deal) 92 (0.021)
fact) 92 (0.021)
officer) 91 (0.021)
support) 91 (0.021)
describe) 91 (0.021)
human) 90 (0.020)
maintain) 90 (0.020)
possible) 90 (0.020)
accept) 90 (0.020)
connect) 90 (0.020)
tell) 88 (0.020)
guy) 88 (0.020)
optimistic) 87 (0.020)
study) 87 (0.020)
modesty) 87 (0.020)
considerate) 87 (0.020)
start) 86 (0.019)
still) 86 (0.019)
military) 86 (0.019)
idea) 85 (0.019)
prime_minister) 84 (0.019)
success) 83 (0.019)
establish) 83 (0.019)
able) 83 (0.019)
jewish) 82 (0.019)
bad) 82 (0.019)
determination) 82 (0.019)
realistic) 82 (0.019)
face) 82 (0.019)
teach) 81 (0.018)
warrior) 81 (0.018)
different) 80 (0.018)
team) 80 (0.018)
serve) 80 (0.018)
smile) 80 (0.018)
positive_trait) 79 (0.018)
become) 79 (0.018)
speak) 78 (0.018)
command) 78 (0.018)
accord) 77 (0.017)
faith) 77 (0.017)
name) 77 (0.017)
charisma) 76 (0.017)
woman) 76 (0.017)
home) 75 (0.017)
move) 75 (0.017)
brother) 75 (0.017)
job) 74 (0.017)
wisdom) 74 (0.017)
purpose) 74 (0.017)
leave) 74 (0.017)
sociable) 72 (0.016)
calm) 72 (0.016)
ben_gurion) 72 (0.016)
around) 72 (0.016)
head) 72 (0.016)
read) 72 (0.016)
feel) 72 (0.016)
set) 72 (0.016)
begin) 71 (0.016)
develop) 71 (0.016)
true) 71 (0.016)
entire) 71 (0.016)
battle) 71 (0.016)
realize) 70 (0.016)
perseverance) 70 (0.016)
student) 69 (0.016)
creative) 69 (0.016)
yitzhak_rabin) 68 (0.015)
reality) 68 (0.015)
kill) 67 (0.015)
create) 66 (0.015)
shimon_pere) 66 (0.015)
general) 66 (0.015)
herzl) 66 (0.015)
side) 66 (0.015)
serious) 66 (0.015)
moshe_rabbeinu) 66 (0.015)
part) 66 (0.015)
seems_positive) 65 (0.015)
