id,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
150000,0.01429,0.01429,0.01429,0.15828,0.01429,0.01429,0.01429,0.72743,0.01429,0.01429,2,1,0.72743,1,1,1,60,,,,0,0,94,,
150001,0.02500,0.02500,0.02500,0.02500,0.77499,0.02500,0.02500,0.02500,0.02500,0.02500,1,1,0.77499,1,1,1,60,,,,0,0,75,,
150002,0.13736,0.01250,0.01250,0.01250,0.01250,0.01250,0.38756,0.01250,0.38758,0.01250,3,2,0.38758,1,1,0,60,,,,0,0,0,,
150003,0.01429,0.01429,0.01429,0.01429,0.01429,0.01429,0.01429,0.87142,0.01429,0.01429,1,1,0.87142,1,1,1,60,,,,0,0,97,,
150004,0.05000,0.05000,0.05000,0.05001,0.54999,0.05000,0.05000,0.05000,0.05000,0.05000,1,1,0.54999,1,1,1,60,,,,0,0,72,,
150005,0.02500,0.02500,0.02500,0.02500,0.02500,0.02500,0.02500,0.02500,0.77499,0.02501,1,1,0.77499,1,1,0,60,,,,0,0,0,,
150006,0.01111,0.01111,0.01111,0.16923,0.74187,0.01112,0.01111,0.01112,0.01111,0.01111,2,1,0.74187,1,1,1,60,,,,0,0,92,,
150007,0.02500,0.45518,0.02500,0.34481,0.02500,0.02500,0.02500,0.02500,0.02500,0.02500,2,2,0.45518,1,1,1,60,,,,0,0,71,,
150008,0.02000,0.02000,0.02000,0.02000,0.02000,0.02000,0.21991,0.02000,0.62008,0.02001,2,1,0.62008,1,1,0,60,,,,0,0,0,,
150009,0.01111,0.01111,0.01111,0.01111,0.01111,0.01111,0.01111,0.89999,0.01111,0.01111,1,1,0.89999,1,1,1,60,,,,0,0,91,,
150010,0.01429,0.40741,0.01429,0.01429,0.01429,0.47828,0.01430,0.01429,0.01429,0.01429,2,2,0.47828,1,1,1,60,,,,0,0,74,,
150011,0.01667,0.01667,0.01667,0.01667,0.01668,0.01667,0.84997,0.01667,0.01667,0.01667,1,1,0.84997,1,1,0,60,,,,0,0,0,,
150012,0.01429,0.01429,0.01429,0.75271,0.01429,0.01429,0.01429,0.13300,0.01429,0.01429,2,1,0.75271,1,1,1,60,,,,0,0,93,,
150013,0.05001,0.54995,0.05001,0.05001,0.05001,0.05001,0.05001,0.05001,0.05001,0.05001,1,1,0.54995,1,1,1,60,,,,0,0,72,,
150014,0.01667,0.01667,0.01667,0.01667,0.01667,0.01667,0.68332,0.01667,0.18334,0.01667,2,1,0.68332,1,1,0,60,,,,0,0,0,,
