id,sex,year,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11531836,1,2015,0.000,0.073,0.064,0.000,0.069,0.070,0.046,0.020,0.000,0.000,2,1,0.62352,1,1,1,70.0,25.0,7.0,,0,0,73,9.0,56.0
11556347,1,2015,0.000,0.080,0.111,0.000,0.021,0.115,0.067,0.070,0.000,0.013,1,1,0.71673,1,1,1,80.0,34.0,,94.0,0,1,87,5.0,
11587558,1,2015,0.000,0.000,0.042,0.000,0.000,0.080,0.025,0.052,0.000,0.000,3,2,0.48716,1,1,1,70.0,26.0,6.0,,0,0,86,0.0,20.0
11781920,1,2015,0.000,0.000,0.045,0.040,0.000,0.040,0.000,0.020,0.000,0.000,2,1,0.69639,1,1,1,50.0,32.0,6.0,,0,0,83,,82.0
11783220,1,2015,0.000,0.020,0.031,0.000,0.087,0.171,0.016,0.013,0.000,0.000,2,1,0.78486,1,1,1,40.0,22.0,3.0,,0,0,72,18.0,7.0
11783427,1,2015,0.000,0.024,0.028,0.000,0.000,0.000,0.000,0.044,0.000,0.000,2,1,0.77132,1,1,1,60.0,30.0,4.0,,0,0,90,44.0,87.0
11783744,1,2015,0.000,0.026,0.000,0.000,0.015,0.064,0.000,0.000,0.000,0.014,4,1,0.46404,1,1,1,70.0,34.0,5.0,,0,0,81,60.0,50.0
11783776,1,2015,0.000,0.019,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,1,1,0.90045,1,1,1,70.0,27.0,6.0,,0,0,89,29.0,87.0
11783844,1,2015,0.000,0.023,0.054,0.033,0.104,0.042,0.037,0.000,0.000,0.000,5,1,0.39507,1,1,1,70.0,30.0,4.0,,0,0,91,89.0,30.0
11784651,1,2015,0.000,0.021,0.028,0.061,0.000,0.094,0.037,0.064,0.013,0.000,4,1,0.42645,1,1,1,60.0,27.0,5.0,,0,0,69,67.0,20.0
11785198,1,2015,0.013,0.012,0.028,0.000,0.000,0.018,0.000,0.066,0.000,0.000,3,1,0.51363,1,1,1,60.0,33.0,5.0,,0,0,83,4.0,
11786185,1,2015,0.019,0.010,0.019,0.000,0.056,0.088,0.000,0.020,0.000,0.000,2,1,0.61868,1,1,1,60.0,32.0,,94.0,0,0,81,,
11788051,1,2015,0.000,0.000,0.041,0.000,0.082,0.000,0.035,0.000,0.000,0.000,1,1,0.93135,1,1,1,60.0,28.0,2.0,,0,0,80,50.0,31.0
11788407,1,2015,0.000,0.010,0.010,0.000,0.015,0.017,0.000,0.000,0.000,0.015,2,1,0.65688,1,1,1,60.0,34.0,5.0,,0,0,85,26.0,50.0
