id,sex,year,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11531836,1,2015,0.00370,0.17034,0.13731,0.00370,0.00370,0.00370,0.00370,0.11482,0.11483,0.00370,0.00370,0.05927,0.31455,0.05925,0.00370,5,1,0.31455,1,1,1,70.0,25.0,7.0,,0,0,73,9.0,56.0
11556347,1,2015,0.00333,0.00333,0.11953,0.00333,0.00333,0.18828,0.00333,0.00333,0.05334,0.00333,0.41176,0.00333,0.14376,0.00333,0.05334,4,1,0.41176,1,1,1,80.0,34.0,,94.0,0,1,87,5.0,
11587558,1,2015,0.00667,0.00667,0.33349,0.00667,0.31037,0.17612,0.00667,0.00667,0.10668,0.00667,0.00667,0.00667,0.00667,0.00667,0.00667,4,2,0.33349,1,1,1,70.0,26.0,6.0,,0,0,86,0.0,20.0
11781920,1,2015,0.00555,0.00555,0.00555,0.67234,0.14011,0.00555,0.00555,0.00555,0.00555,0.00555,0.00555,0.00555,0.12089,0.00555,0.00555,3,1,0.67234,1,1,1,50.0,32.0,6.0,,0,0,83,,82.0
11783220,1,2015,0.00392,0.00392,0.00392,0.00392,0.59292,0.20759,0.06745,0.00392,0.00392,0.00392,0.00392,0.00392,0.08890,0.00392,0.00392,2,1,0.59292,1,1,1,40.0,22.0,3.0,,0,0,72,18.0,7.0
11783427,1,2015,0.00417,0.00417,0.00417,0.00417,0.07631,0.00417,0.12917,0.00417,0.00417,0.06667,0.00417,0.44169,0.18201,0.06666,0.00417,3,1,0.44169,1,1,1,60.0,30.0,4.0,,0,0,90,44.0,87.0
11783744,1,2015,0.00667,0.00667,0.55377,0.00667,0.00667,0.25959,0.10663,0.00667,0.00667,0.00667,0.00667,0.00667,0.00667,0.00667,0.00667,3,1,0.55377,1,1,1,70.0,34.0,5.0,,0,0,81,60.0,50.0
11783776,1,2015,0.00741,0.00741,0.00741,0.00741,0.00741,0.11850,0.00741,0.00741,0.00741,0.67409,0.00741,0.00741,0.00741,0.00741,0.11853,3,1,0.67409,1,1,1,70.0,27.0,6.0,,0,0,89,29.0,87.0
11783844,1,2015,0.00303,0.00303,0.38628,0.00303,0.04982,0.00303,0.04849,0.00303,0.04849,0.00303,0.00303,0.04848,0.39117,0.00303,0.00303,2,2,0.39117,1,1,1,70.0,30.0,4.0,,0,0,91,89.0,30.0
11784651,1,2015,0.00392,0.42502,0.10872,0.00392,0.06834,0.16923,0.00392,0.00392,0.06276,0.06277,0.00392,0.00392,0.07178,0.00392,0.00392,3,1,0.42502,1,1,1,60.0,27.0,5.0,,0,0,69,67.0,20.0
