id,sex,year,t0,t1,t2,t3,t4,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11531836,1,2015,0.06277,0.50486,0.36634,0.05614,0.00988,2,2,0.50486,1,1,1,70.0,25.0,7.0,,0,0,73,9.0,56.0
11556347,1,2015,0.00963,0.01015,0.66780,0.00964,0.30279,2,2,0.66780,1,1,1,80.0,34.0,,94.0,0,1,87,5.0,
11587558,1,2015,0.01824,0.01819,0.66601,0.12313,0.17443,3,1,0.66601,1,1,1,70.0,26.0,6.0,,0,0,86,0.0,20.0
11781920,1,2015,0.01177,0.01193,0.14255,0.82186,0.01188,2,1,0.82186,1,1,1,50.0,32.0,6.0,,0,0,83,,82.0
11783220,1,2015,0.01113,0.01113,0.01126,0.01112,0.95536,1,1,0.95536,1,1,1,40.0,22.0,3.0,,0,0,72,18.0,7.0
11783427,1,2015,0.01140,0.33577,0.25572,0.01112,0.38599,3,2,0.38599,1,1,1,60.0,30.0,4.0,,0,0,90,44.0,87.0
11783744,1,2015,0.01819,0.01823,0.58483,0.01820,0.36056,2,2,0.58483,1,1,1,70.0,34.0,5.0,,0,0,81,60.0,50.0
11783776,1,2015,0.01914,0.22910,0.01919,0.71296,0.01962,2,1,0.71296,1,1,1,70.0,27.0,6.0,,0,0,89,29.0,87.0
11783844,1,2015,0.00873,0.13287,0.52622,0.16605,0.16614,4,1,0.52622,1,1,1,70.0,30.0,4.0,,0,0,91,89.0,30.0
11784651,1,2015,0.18019,0.36545,0.26656,0.06347,0.12433,4,1,0.36545,1,1,1,60.0,27.0,5.0,,0,0,69,67.0,20.0
11785198,1,2015,0.12418,0.45213,0.40724,0.00824,0.00822,3,2,0.45213,1,1,1,60.0,33.0,5.0,,0,0,83,4.0,
11786185,1,2015,0.37311,0.32334,0.28692,0.00818,0.00845,3,2,0.37311,1,1,1,60.0,32.0,,94.0,0,0,81,,
11788051,1,2015,0.01182,0.01166,0.10143,0.01167,0.86342,2,1,0.86342,1,1,1,60.0,28.0,2.0,,0,0,80,50.0,31.0
11788407,1,2015,0.02000,0.21991,0.02015,0.61994,0.11999,3,1,0.61994,1,1,1,60.0,34.0,5.0,,0,0,85,26.0,50.0
11788886,1,2015,0.01192,0.10085,0.24978,0.01184,0.62561,3,1,0.62561,1,1,1,70.0,32.0,4.0,,0,0,76,43.0,31.0
11788958,1,2015,0.12796,0.12821,0.53520,0.00805,0.20057,4,1,0.53520,1,1,0,80.0,28.0,3.0,,0,0,0,84.0,25.0
11789566,1,2015,0.09702,0.08015,0.70026,0.01214,0.11043,2,1,0.70026,1,1,1,60.0,35.0,5.0,,0,0,85,28.0,50.0
11789585,1,2015,0.05701,0.05395,0.87235,0.00834,0.00835,1,1,0.87235,1,1,1,60.0,31.0,6.0,,0,0,85,39.0,82.0
11789587,1,2015,0.26471,0.04003,0.04021,0.04003,0.61501,2,1,0.61501,1,1,1,60.0,26.0,4.0,,0,0,86,78.0,95.0
11789905,1,2015,0.01056,0.43635,0.45162,0.01054,0.09093,2,2,0.45162,1,1,1,70.0,27.0,4.0,,0,0,82,,35.0
11789906,1,2015,0.01250,0.14633,0.19832,0.01269,0.63015,3,1,0.63015,1,1,1,60.0,35.0,6.0,,0,0,74,32.0,59.0
11789919,1,2015,0.00956,0.64402,0.27595,0.06101,0.00946,2,1,0.64402,1,1,1,60.0,33.0,6.0,,0,0,89,50.0,
11789922,1,2015,0.01025,0.13719,0.22391,0.61817,0.01049,3,1,0.61817,1,1,1,90.0,35.0,8.0,,0,0,88,25.0,68.0
11789924,1,2015,0.01219,0.01217,0.70967,0.08318,0.18280,2,1,0.70967,1,1,1,70.0,33.0,5.0,,0,0,87,,43.0
11789931,1,2015,0.02867,0.02858,0.88559,0.02859,0.02858,1,1,0.88559,1,1,1,50.0,33.0,5.0,,0,0,90,58.0,30.0
11842706,1,2015,0.15027,0.05417,0.77924,0.00828,0.00804,2,1,0.77924,1,1,1,50.0,34.0,6.0,,0,1,92,61.0,78.0
11842809,1,2015,0.01321,0.17874,0.09884,0.01310,0.69612,2,1,0.69612,1,1,1,60.0,29.0,3.0,,0,0,78,,8.0
11842833,1,2015,0.36788,0.01432,0.28507,0.01448,0.31825,3,2,0.36788,1,1,1,60.0,30.0,4.0,,0,0,74,36.0,57.0
11842876,1,2015,0.00886,0.80057,0.17278,0.00891,0.00888,2,1,0.80057,1,1,1,90.0,30.0,4.0,,0,0,82,,54.0
11842885,1,2015,0.00871,0.00870,0.84024,0.05461,0.08774,1,1,0.84024,1,1,1,80.0,27.0,6.0,,0,0,84,87.0,31.0
11842961,1,2015,0.00954,0.00954,0.96163,0.00953,0.00976,1,1,0.96163,1,1,1,90.0,32.0,6.0,,0,0,87,56.0,
11843021,1,2015,0.50102,0.01254,0.30816,0.01250,0.16578,3,2,0.50102,1,1,1,60.0,28.0,4.0,,0,0,90,0.0,0.0
11843134,1,2015,0.01429,0.16770,0.78894,0.01434,0.01473,2,1,0.78894,1,1,1,50.0,27.0,3.0,,0,0,79,24.0,
11843187,1,2015,0.00760,0.48672,0.22767,0.00759,0.27043,3,1,0.48672,1,1,1,50.0,33.0,3.0,,0,0,80,,30.0
11843550,1,2015,0.01057,0.06659,0.90172,0.01056,0.01056,1,1,0.90172,1,1,1,60.0,29.0,4.0,,0,0,84,75.0,93.0
11843567,1,2015,0.01186,0.01183,0.14893,0.01184,0.81554,2,1,0.81554,1,1,1,60.0,34.0,5.0,,0,0,81,68.0,61.0
11843642,1,2015,0.00747,0.04893,0.58042,0.00747,0.35571,2,2,0.58042,1,1,1,70.0,27.0,6.0,,0,0,77,26.0,
11843694,1,2015,0.00900,0.56637,0.22377,0.00892,0.19195,3,1,0.56637,1,1,1,50.0,26.0,4.0,,0,0,74,48.0,36.0
11843713,1,2015,0.11454,0.00911,0.42884,0.00909,0.43842,3,2,0.43842,1,1,1,70.0,29.0,4.0,,0,0,92,13.0,7.0
