id,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11571929,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.94342,1,1,0.94342,0,0,0,80.0,21.0,,93.0,0,0,0,3.0,
11587879,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93971,1,1,0.93971,0,0,0,90.0,31.0,,94.0,0,0,0,7.0,
11605717,0.01008,0.01008,0.01008,0.01008,0.01008,0.01008,0.01008,0.01008,0.01008,0.90926,1,1,0.90926,0,0,0,30.0,25.0,,93.0,0,0,0,0.0,
11673049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.95894,1,1,0.95894,0,0,0,70.0,,,94.0,0,0,0,0.0,
11676721,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.95898,1,1,0.95898,0,0,0,70.0,25.0,,94.0,0,0,0,,
11678446,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.23611,0.00000,0.00000,0.70204,2,1,0.70204,0,0,0,80.0,,,94.0,0,0,0,,
11679632,0.01003,0.01003,0.01003,0.01003,0.01003,0.01003,0.01004,0.01003,0.01003,0.90970,1,1,0.90970,0,0,0,60.0,25.0,,,1,0,0,31.0,
11782088,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.95899,1,1,0.95899,0,0,0,90.0,33.0,,93.0,0,0,0,19.0,
11783106,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.29564,0.00000,0.00000,0.66944,2,1,0.66944,0,0,0,90.0,26.0,,93.0,0,0,0,,
11783171,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.16322,0.00000,0.00000,0.80025,2,1,0.80025,0,0,0,80.0,29.0,,94.0,0,0,0,22.0,
11783692,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93969,1,1,0.93969,0,0,0,90.0,24.0,,,1,0,0,6.0,
11784016,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.96512,1,1,0.96512,0,0,0,70.0,32.0,2.0,,0,0,0,3.0,
11785168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.94971,1,1,0.94971,0,0,0,60.0,,,93.0,0,0,0,73.0,
