id,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11482036,0.00000,0.00000,0.00000,0.00000,0.00000,0.95480,0.00000,0.00000,0.00000,0.00000,1,1,0.95480,1,3,1,10.0,,,93.0,0,0,87,0.0,
11483624,0.00000,0.29551,0.00000,0.00000,0.00000,0.65720,0.00000,0.00000,0.00000,0.00000,2,1,0.65720,1,3,1,60.0,32.0,,94.0,0,0,90,14.0,
11484512,0.00000,0.00000,0.23092,0.00000,0.00000,0.72179,0.00000,0.00000,0.00000,0.00000,2,1,0.72179,1,3,1,50.0,26.0,,93.0,0,0,80,,
11495303,0.00000,0.00000,0.19691,0.00000,0.00000,0.76297,0.00000,0.00000,0.00000,0.00000,2,1,0.76297,1,3,1,80.0,26.0,5.0,,0,0,84,7.0,
11519970,0.00000,0.00000,0.17299,0.00000,0.00000,0.78880,0.00000,0.00000,0.00000,0.00000,2,1,0.78880,1,3,1,70.0,,,93.0,0,0,81,43.0,
11521799,0.00000,0.00000,0.00000,0.00000,0.00000,0.96988,0.00000,0.00000,0.00000,0.00000,1,1,0.96988,1,3,1,40.0,,,94.0,0,0,86,91.0,
11557901,0.00000,0.00000,0.00000,0.00000,0.00000,0.95706,0.00000,0.00000,0.00000,0.00000,1,1,0.95706,1,3,1,80.0,,,93.0,0,0,82,23.0,
11562218,0.00000,0.00000,0.20362,0.00000,0.00000,0.74906,0.00000,0.00000,0.00000,0.00000,2,1,0.74906,1,3,1,70.0,25.0,,92.0,0,0,73,4.0,
11567348,0.00000,0.00000,0.00000,0.00000,0.00000,0.94354,0.00000,0.00000,0.00000,0.00000,1,1,0.94354,1,3,1,90.0,,,93.0,0,0,78,50.0,
11576177,0.00000,0.00000,0.00000,0.00000,0.00000,0.94675,0.00000,0.00000,0.00000,0.00000,1,1,0.94675,1,3,1,60.0,23.0,,93.0,0,0,84,0.0,
11576934,0.01116,0.01117,0.01117,0.01117,0.42889,0.48179,0.01116,0.01116,0.01117,0.01116,2,2,0.48179,1,3,1,70.0,22.0,,92.0,0,0,80,9.0,
11577163,0.00000,0.00000,0.00000,0.00000,0.00000,0.96058,0.00000,0.00000,0.00000,0.00000,1,1,0.96058,1,3,1,80.0,28.0,,93.0,0,0,81,8.0,
11584980,0.00000,0.00000,0.00000,0.00000,0.00000,0.93537,0.00000,0.00000,0.00000,0.00000,1,1,0.93537,1,3,1,70.0,25.0,,94.0,0,0,81,,
11589674,0.00000,0.00000,0.00000,0.00000,0.00000,0.95246,0.00000,0.00000,0.00000,0.00000,1,1,0.95246,1,3,1,80.0,23.0,5.0,,0,0,80,36.0,
11595300,0.01435,0.01436,0.01436,0.01436,0.01435,0.87081,0.01435,0.01435,0.01435,0.01435,1,1,0.87081,1,3,1,60.0,23.0,,93.0,0,0,82,5.0,
11595436,0.00000,0.00000,0.00000,0.00000,0.00000,0.94673,0.00000,0.00000,0.00000,0.00000,1,1,0.94673,1,3,1,70.0,,,94.0,0,0,86,,
11597681,0.00000,0.00000,0.09387,0.00000,0.00000,0.87519,0.00000,0.00000,0.00000,0.00000,1,1,0.87519,1,3,1,90.0,,,93.0,0,0,87,,
11600851,0.01006,0.01007,0.01006,0.01006,0.01006,0.90943,0.01006,0.01006,0.01007,0.01006,1,1,0.90943,1,3,1,60.0,26.0,,93.0,0,0,80,11.0,
11601309,0.00000,0.00000,0.27701,0.00000,0.00000,0.68474,0.00000,0.00000,0.00000,0.00000,2,1,0.68474,1,3,1,90.0,27.0,,93.0,0,0,71,0.0,
11601644,0.00000,0.00000,0.12666,0.00000,0.00000,0.81161,0.00000,0.00000,0.00000,0.00000,2,1,0.81161,1,3,1,60.0,20.0,,92.0,0,0,84,7.0,
11659729,0.00000,0.24873,0.00000,0.00000,0.00000,0.72152,0.00000,0.00000,0.00000,0.00000,2,1,0.72152,1,3,1,80.0,34.0,,94.0,0,0,86,,
11664293,0.00000,0.00000,0.00000,0.00000,0.00000,0.96379,0.00000,0.00000,0.00000,0.00000,1,1,0.96379,1,3,0,40.0,25.0,,94.0,0,0,0,20.0,
11665649,0.00000,0.00000,0.00000,0.00000,0.00000,0.94679,0.00000,0.00000,0.00000,0.00000,1,1,0.94679,1,3,1,60.0,32.0,7.0,,0,0,76,27.0,
11667255,0.00000,0.00000,0.00000,0.00000,0.00000,0.93054,0.00000,0.00000,0.00000,0.00000,1,1,0.93054,1,3,1,80.0,27.0,,93.0,0,0,70,,
11667263,0.00000,0.00000,0.00000,0.00000,0.00000,0.96387,0.00000,0.00000,0.00000,0.00000,1,1,0.96387,1,3,1,80.0,27.0,,94.0,0,0,80,,
11672527,0.00000,0.00000,0.00000,0.00000,0.00000,0.96652,0.00000,0.00000,0.00000,0.00000,1,1,0.96652,1,3,1,70.0,25.0,,93.0,0,0,83,,
11673197,0.00000,0.00000,0.00000,0.00000,0.12286,0.83252,0.00000,0.00000,0.00000,0.00000,2,1,0.83252,1,3,1,60.0,31.0,,94.0,0,0,80,23.0,
11673286,0.00000,0.00000,0.00000,0.00000,0.00000,0.94978,0.00000,0.00000,0.00000,0.00000,1,1,0.94978,1,3,1,70.0,31.0,,94.0,0,0,83,2.0,
11676821,0.00000,0.00000,0.19663,0.00000,0.00000,0.75605,0.00000,0.00000,0.00000,0.00000,2,1,0.75605,1,3,1,70.0,,,95.0,0,0,83,,
11677053,0.00000,0.00000,0.00000,0.00000,0.00000,0.94338,0.00000,0.00000,0.00000,0.00000,1,1,0.94338,1,3,1,50.0,33.0,,94.0,0,1,81,15.0,
11677491,0.00000,0.00000,0.00000,0.00000,0.00000,0.96881,0.00000,0.00000,0.00000,0.00000,1,1,0.96881,1,3,1,50.0,16.0,,93.0,0,0,80,36.0,
11677948,0.00000,0.00000,0.00000,0.22023,0.00000,0.72228,0.00000,0.00000,0.00000,0.00000,2,1,0.72228,1,3,1,60.0,33.0,,93.0,0,0,86,,
11677958,0.00000,0.00000,0.00000,0.00000,0.00000,0.96067,0.00000,0.00000,0.00000,0.00000,1,1,0.96067,1,3,1,90.0,26.0,,93.0,0,0,81,45.0,
11678049,0.00000,0.00000,0.00000,0.00000,0.00000,0.93546,0.00000,0.00000,0.00000,0.00000,1,1,0.93546,1,3,1,50.0,30.0,,93.0,0,0,81,15.0,
11678236,0.00000,0.00000,0.00000,0.30665,0.00000,0.62032,0.00000,0.00000,0.00000,0.00000,2,2,0.62032,1,3,1,80.0,32.0,,92.0,0,0,76,,
11678306,0.00000,0.00000,0.00000,0.00000,0.00000,0.95894,0.00000,0.00000,0.00000,0.00000,1,1,0.95894,1,3,1,50.0,24.0,,93.0,0,0,87,16.0,
11678427,0.01255,0.01256,0.01256,0.01256,0.01256,0.88700,0.01255,0.01255,0.01256,0.01255,1,1,0.88700,1,3,1,60.0,32.0,,93.0,0,0,83,41.0,
11678668,0.00000,0.00000,0.00000,0.00000,0.00000,0.71366,0.00000,0.00000,0.23277,0.00000,2,1,0.71366,1,3,1,70.0,30.0,,92.0,0,0,81,0.0,
11679162,0.00000,0.00000,0.00000,0.00000,0.00000,0.95893,0.00000,0.00000,0.00000,0.00000,1,1,0.95893,1,3,1,80.0,,,94.0,0,0,78,19.0,
11679228,0.00000,0.00000,0.00000,0.00000,0.00000,0.94342,0.00000,0.00000,0.00000,0.00000,1,1,0.94342,1,3,1,70.0,30.0,,92.0,0,0,87,59.0,
11679405,0.00000,0.00000,0.00000,0.00000,0.00000,0.94344,0.00000,0.00000,0.00000,0.00000,1,1,0.94344,1,3,1,70.0,26.0,,93.0,0,0,78,,
11782077,0.00000,0.00000,0.00000,0.00000,0.00000,0.95697,0.00000,0.00000,0.00000,0.00000,1,1,0.95697,1,3,1,60.0,,,93.0,0,0,81,80.0,
11782215,0.01433,0.01434,0.01433,0.01433,0.01433,0.87103,0.01433,0.01433,0.01433,0.01433,1,1,0.87103,1,3,0,80.0,,,94.0,0,0,0,0.0,
11783038,0.00000,0.00000,0.00000,0.00000,0.00000,0.96229,0.00000,0.00000,0.00000,0.00000,1,1,0.96229,1,3,1,60.0,33.0,,94.0,0,0,83,89.0,
11783079,0.00000,0.00000,0.00000,0.00000,0.00000,0.93052,0.00000,0.00000,0.00000,0.00000,1,1,0.93052,1,3,1,80.0,28.0,,92.0,0,0,85,4.0,
11783347,0.00000,0.00000,0.00000,0.00000,0.00000,0.93973,0.00000,0.00000,0.00000,0.00000,1,1,0.93973,1,3,1,50.0,36.0,,93.0,0,0,79,54.0,
11783399,0.00000,0.00000,0.00000,0.00000,0.00000,0.96068,0.00000,0.00000,0.00000,0.00000,1,1,0.96068,1,3,1,70.0,,,93.0,0,0,73,0.0,
11783738,0.00000,0.00000,0.00000,0.00000,0.00000,0.95241,0.00000,0.00000,0.00000,0.00000,1,1,0.95241,1,3,1,60.0,,,93.0,0,0,72,17.0,
11784649,0.00000,0.24838,0.00000,0.00000,0.00000,0.68977,0.00000,0.00000,0.00000,0.00000,2,1,0.68977,1,3,1,70.0,,,93.0,0,0,87,40.0,
11785625,0.00000,0.00000,0.24213,0.00000,0.00000,0.72130,0.00000,0.00000,0.00000,0.00000,2,1,0.72130,1,3,1,60.0,31.0,,92.0,0,0,81,,
11786023,0.00000,0.18045,0.00000,0.00000,0.00000,0.77937,0.00000,0.00000,0.00000,0.00000,2,1,0.77937,1,3,1,80.0,27.0,6.0,,0,0,77,,
11786131,0.00000,0.00000,0.00000,0.00000,0.00000,0.92445,0.00000,0.00000,0.00000,0.00000,1,1,0.92445,1,3,1,60.0,26.0,,93.0,0,0,83,38.0,
11787449,0.00000,0.00000,0.00000,0.00000,0.00000,0.93967,0.00000,0.00000,0.00000,0.00000,1,1,0.93967,1,3,1,60.0,26.0,,93.0,0,0,81,10.0,
11787808,0.00000,0.00000,0.00000,0.00000,0.00000,0.93041,0.00000,0.00000,0.00000,0.00000,1,1,0.93041,1,3,1,80.0,,,93.0,0,0,82,0.0,
11787965,0.00000,0.00000,0.00000,0.00000,0.00000,0.94345,0.00000,0.00000,0.00000,0.00000,1,1,0.94345,1,3,1,80.0,24.0,,93.0,0,0,78,,
11788840,0.00000,0.00000,0.00000,0.00000,0.00000,0.95481,0.00000,0.00000,0.00000,0.00000,1,1,0.95481,1,3,1,70.0,32.0,,93.0,0,0,81,0.0,
11788849,0.00000,0.00000,0.00000,0.00000,0.00000,0.96644,0.00000,0.00000,0.00000,0.00000,1,1,0.96644,1,3,1,70.0,,6.0,,0,0,83,48.0,
11788880,0.00000,0.00000,0.00000,0.00000,0.00000,0.95882,0.00000,0.00000,0.00000,0.00000,1,1,0.95882,1,3,1,70.0,,,94.0,0,0,80,27.0,
11789226,0.01114,0.01115,0.01115,0.01115,0.01115,0.89969,0.01114,0.01114,0.01115,0.01114,1,1,0.89969,1,3,1,50.0,,,94.0,0,0,81,15.0,
11793354,0.00000,0.00000,0.00000,0.00000,0.26929,0.70481,0.00000,0.00000,0.00000,0.00000,2,1,0.70481,1,3,1,80.0,26.0,,93.0,0,0,77,19.0,
11793379,0.01437,0.01437,0.19385,0.01438,0.01438,0.69116,0.01437,0.01437,0.01438,0.01437,2,1,0.69116,1,3,1,70.0,26.0,,93.0,0,0,74,54.0,
11793385,0.00000,0.00000,0.00000,0.00000,0.00000,0.92454,0.00000,0.00000,0.00000,0.00000,1,1,0.92454,1,3,1,70.0,,,93.0,0,0,82,,
11793433,0.00000,0.00000,0.00000,0.00000,0.00000,0.95235,0.00000,0.00000,0.00000,0.00000,1,1,0.95235,1,3,1,80.0,25.0,,92.0,0,0,76,3.0,
11803372,0.00000,0.00000,0.00000,0.00000,0.00000,0.94976,0.00000,0.00000,0.00000,0.00000,1,1,0.94976,1,3,0,50.0,19.0,,93.0,0,0,0,4.0,
11842849,0.00000,0.00000,0.00000,0.00000,0.00000,0.95889,0.00000,0.00000,0.00000,0.00000,1,1,0.95889,1,3,0,90.0,31.0,6.0,,0,0,0,64.0,
11842863,0.02015,0.02015,0.02017,0.02015,0.02015,0.81863,0.02015,0.02015,0.02015,0.02015,1,1,0.81863,1,3,1,70.0,25.0,4.0,,0,0,81,11.0,
11843326,0.00000,0.00000,0.22973,0.00000,0.00000,0.71282,0.00000,0.00000,0.00000,0.00000,2,1,0.71282,1,3,1,60.0,,6.0,,0,0,83,64.0,
11843709,0.03372,0.27088,0.03372,0.03372,0.03373,0.45937,0.03372,0.03372,0.03372,0.03372,2,1,0.45937,1,3,1,70.0,27.0,4.0,,0,0,76,51.0,
11843714,0.00000,0.00000,0.00000,0.00000,0.00000,0.94349,0.00000,0.00000,0.00000,0.00000,1,1,0.94349,1,3,1,60.0,26.0,7.0,,0,0,85,50.0,
11843717,0.00000,0.00000,0.00000,0.00000,0.15059,0.81725,0.00000,0.00000,0.00000,0.00000,2,1,0.81725,1,3,1,70.0,23.0,4.0,,0,0,84,12.0,
11843777,0.00000,0.21455,0.00000,0.00000,0.00000,0.74315,0.00000,0.00000,0.00000,0.00000,2,1,0.74315,1,3,1,90.0,26.0,4.0,,0,0,83,5.0,
11843840,0.00000,0.00000,0.00000,0.00000,0.00000,0.96881,0.00000,0.00000,0.00000,0.00000,1,1,0.96881,1,3,0,70.0,,5.0,,0,0,0,0.0,
11843874,0.00000,0.00000,0.00000,0.00000,0.00000,0.93534,0.00000,0.00000,0.00000,0.00000,1,1,0.93534,1,3,1,90.0,,7.0,,0,0,89,0.0,
11844267,0.00000,0.28727,0.00000,0.00000,0.00000,0.63964,0.00000,0.00000,0.00000,0.00000,2,1,0.63964,1,3,1,40.0,,6.0,,0,0,82,92.0,
11844381,0.00000,0.00000,0.00000,0.00000,0.00000,0.95246,0.00000,0.00000,0.00000,0.00000,1,1,0.95246,1,3,1,70.0,28.0,5.0,,0,1,89,42.0,
11844436,0.00000,0.00000,0.00000,0.00000,0.00000,0.94676,0.00000,0.00000,0.00000,0.00000,1,1,0.94676,1,3,1,90.0,25.0,5.0,,0,0,80,40.0,
11845199,0.01668,0.01668,0.01668,0.01668,0.84989,0.01668,0.01668,0.01668,0.01668,0.01668,1,1,0.84989,1,3,1,60.0,24.0,4.0,,0,0,85,5.0,
