id,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
150090,0.01000,0.01000,0.01000,0.01000,0.90999,0.01000,0.01000,0.01000,0.01000,0.01000,1,1,0.90999,1,1,1,60,,,,0,0,99,,
150091,0.00000,0.00000,0.00000,0.00000,0.93076,0.00000,0.00000,0.00000,0.00000,0.00000,1,1,0.93076,1,1,1,60,,,,0,0,70,,
150092,0.00000,0.15625,0.00000,0.00000,0.77102,0.00000,0.00000,0.00000,0.00000,0.00000,2,1,0.77102,1,1,0,60,,,,0,0,0,,
150093,0.01000,0.01000,0.01000,0.01000,0.90999,0.01000,0.01001,0.01000,0.01000,0.01000,1,1,0.90999,1,1,1,60,,,,0,0,93,,
150094,0.00000,0.00000,0.00000,0.00000,0.91818,0.00000,0.00000,0.00000,0.00000,0.00000,1,1,0.91818,1,1,1,60,,,,0,0,72,,
150095,0.01667,0.28742,0.01667,0.01667,0.57924,0.01667,0.01667,0.01667,0.01667,0.01667,2,1,0.57924,1,1,0,60,,,,0,0,0,,
150096,0.01250,0.01250,0.01250,0.01250,0.88749,0.01250,0.01250,0.01250,0.01250,0.01250,1,1,0.88749,1,1,1,60,,,,0,0,91,,
150097,0.01000,0.01000,0.01000,0.01000,0.90999,0.01000,0.01000,0.01000,0.01000,0.01000,1,1,0.90999,1,1,1,60,,,,0,0,75,,
150098,0.00000,0.00000,0.00000,0.00000,0.92500,0.00000,0.00000,0.00000,0.00000,0.00000,1,1,0.92500,1,1,0,60,,,,0,0,0,,
150099,0.01250,0.01250,0.01250,0.01250,0.88749,0.01250,0.01250,0.01250,0.01250,0.01250,1,1,0.88749,1,1,1,60,,,,0,0,97,,
150100,0.00000,0.00000,0.00000,0.00000,0.91818,0.00000,0.00000,0.00000,0.00000,0.00000,1,1,0.91818,1,1,1,60,,,,0,0,72,,
150101,0.00000,0.00000,0.00000,0.00000,0.91818,0.00000,0.00000,0.00000,0.00000,0.00000,1,1,0.91818,1,1,0,60,,,,0,0,0,,
150102,0.00000,0.00000,0.00000,0.00000,0.93571,0.00000,0.00000,0.00000,0.00000,0.00000,1,1,0.93571,1,1,1,60,,,,0,0,96,,
150103,0.00000,0.00000,0.00000,0.00000,0.93076,0.00000,0.00000,0.00000,0.00000,0.00000,1,1,0.93076,1,1,1,60,,,,0,0,74,,
150104,0.01111,0.01112,0.01111,0.01111,0.89999,0.01111,0.01111,0.01111,0.01111,0.01111,1,1,0.89999,1,1,0,60,,,,0,0,0,,
150105,0.01000,0.01000,0.01000,0.01000,0.43771,0.01000,0.48229,0.01000,0.01000,0.01000,2,2,0.48229,1,1,1,60,,,,0,0,99,,
150106,0.00000,0.00000,0.00000,0.00000,0.41437,0.00000,0.53229,0.00000,0.00000,0.00000,2,2,0.53229,1,1,1,60,,,,0,0,70,,
150107,0.01000,0.01000,0.01000,0.01000,0.80999,0.01000,0.11000,0.01000,0.01000,0.01000,2,1,0.80999,1,1,0,60,,,,0,0,0,,
150108,0.00000,0.00000,0.00000,0.00000,0.58124,0.00000,0.34603,0.00000,0.00000,0.00000,2,2,0.58124,1,1,1,60,,,,0,0,91,,
150109,0.00000,0.09910,0.00000,0.00000,0.68272,0.00000,0.15985,0.00000,0.00000,0.00000,2,1,0.68272,1,1,1,60,,,,0,0,73,,
150110,0.01250,0.38754,0.01250,0.01250,0.51245,0.01250,0.01250,0.01250,0.01250,0.01250,2,2,0.51245,1,1,0,60,,,,0,0,0,,
150111,0.00000,0.46927,0.00000,0.00000,0.46919,0.00000,0.00000,0.00000,0.00000,0.00000,2,2,0.46927,1,1,1,60,,,,0,0,94,,
150112,0.01111,0.27380,0.01111,0.01111,0.63730,0.01111,0.01112,0.01111,0.01111,0.01111,2,1,0.63730,1,1,1,60,,,,0,0,72,,
150113,0.00000,0.31318,0.00000,0.00000,0.62015,0.00000,0.00000,0.00000,0.00000,0.00000,2,2,0.62015,1,1,0,60,,,,0,0,0,,
150114,0.00000,0.00000,0.00000,0.00000,0.65006,0.00000,0.27721,0.00000,0.00000,0.00000,2,1,0.65006,1,1,1,60,,,,0,0,92,,
150115,0.00000,0.21058,0.00000,0.00000,0.63229,0.00000,0.10713,0.00000,0.00000,0.00000,3,1,0.63229,1,1,1,60,,,,0,0,75,,
150116,0.01000,0.16384,0.01000,0.01000,0.56755,0.01000,0.19861,0.01000,0.01000,0.01000,3,1,0.56755,1,1,0,60,,,,0,0,0,,
150117,0.00000,0.36986,0.00000,0.00000,0.44875,0.00000,0.13472,0.00000,0.00000,0.00000,3,2,0.44875,1,1,1,60,,,,0,0,98,,
150118,0.00000,0.12300,0.00000,0.00000,0.58533,0.00000,0.25278,0.00000,0.00000,0.00000,3,1,0.58533,1,1,1,60,,,,0,0,71,,
150119,0.01667,0.35001,0.01667,0.01667,0.51664,0.01667,0.01668,0.01667,0.01667,0.01667,2,2,0.51664,1,1,0,60,,,,0,0,0,,
