id,sex,year,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11531836,1,2015,0.06410,0.17101,0.00500,0.00500,0.15085,0.00500,0.00500,0.05503,0.00500,0.53403,3,1,0.53403,1,1,1,70.0,25.0,7.0,,0,0,73,9.0,56.0
11556347,1,2015,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.81315,0.14693,2,1,0.81315,1,1,1,80.0,34.0,,94.0,0,1,87,5.0,
11587558,1,2015,0.00833,0.67426,0.00833,0.00833,0.00834,0.00833,0.00833,0.17499,0.09240,0.00834,2,1,0.67426,1,1,1,70.0,26.0,6.0,,0,0,86,0.0,20.0
11781920,1,2015,0.07351,0.17281,0.00665,0.00665,0.00665,0.07358,0.00665,0.12223,0.52464,0.00665,3,1,0.52464,1,1,1,50.0,32.0,6.0,,0,0,83,,82.0
11783220,1,2015,0.00568,0.16416,0.00568,0.00568,0.00568,0.06255,0.00568,0.00568,0.00568,0.73352,2,1,0.73352,1,1,1,40.0,22.0,3.0,,0,0,72,18.0,7.0
11783427,1,2015,0.00587,0.47239,0.00587,0.00587,0.00587,0.00587,0.00587,0.31506,0.17145,0.00587,3,2,0.47239,1,1,1,60.0,30.0,4.0,,0,0,90,44.0,87.0
11783744,1,2015,0.00910,0.27098,0.00910,0.00910,0.00910,0.00910,0.00910,0.00910,0.46691,0.19844,3,1,0.46691,1,1,1,70.0,34.0,5.0,,0,0,81,60.0,50.0
11783776,1,2015,0.38743,0.00906,0.00906,0.00906,0.00906,0.00906,0.00906,0.00906,0.54007,0.00907,2,2,0.54007,1,1,1,70.0,27.0,6.0,,0,0,89,29.0,87.0
11783844,1,2015,0.00445,0.35736,0.04907,0.00445,0.05495,0.00445,0.00445,0.46119,0.05515,0.00445,2,2,0.46119,1,1,1,70.0,30.0,4.0,,0,0,91,89.0,30.0
11784651,1,2015,0.00499,0.08115,0.00499,0.00499,0.00499,0.00499,0.42406,0.00499,0.15842,0.30643,3,2,0.42406,1,1,1,60.0,27.0,5.0,,0,0,69,67.0,20.0
