id,sex,year,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11531836,1,2015,0.098,0.066,0.013,0.000,0.000,0.098,0.055,0.000,0.377,0.000,0.152,0.000,0.065,0.387,0.000,0.000,0.000,0.015,0.000,0.045,0.099,0.043,0.000,0.046,3,1,0.50231,1,1,1,70.0,25.0,7.0,,0,0,73,9.0,56.0
11556347,1,2015,0.072,0.083,0.132,0.640,0.014,0.227,0.055,0.000,0.131,0.000,0.183,0.095,0.010,0.000,0.342,0.000,0.142,0.035,0.000,0.000,0.105,0.057,0.002,0.161,2,1,0.47719,1,1,1,80.0,34.0,,94.0,0,1,87,5.0,
11587558,1,2015,0.000,0.000,0.076,0.000,0.000,0.097,0.000,0.000,0.204,0.000,0.000,0.069,0.034,0.007,0.000,0.000,0.246,0.000,0.000,0.000,0.000,0.157,0.000,0.000,6,0,0.26968,1,1,1,70.0,26.0,6.0,,0,0,86,0.0,20.0
11781920,1,2015,0.023,0.034,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.015,0.000,0.000,0.000,0.274,0.000,0.000,0.034,0.020,0.009,0.037,0.127,3,1,0.52517,1,1,1,50.0,32.0,6.0,,0,0,83,,82.0
11783220,1,2015,0.042,0.152,0.104,0.000,0.000,0.269,0.017,0.049,0.028,0.000,0.027,0.000,0.097,0.000,0.286,0.000,0.341,0.000,0.000,0.063,0.000,0.040,0.095,0.000,2,1,0.44154,1,1,1,40.0,22.0,3.0,,0,0,72,18.0,7.0
11783427,1,2015,0.000,0.024,0.097,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.009,0.095,0.074,0.038,0.000,0.411,0.000,0.035,0.000,0.045,0.025,0.000,0.000,0.067,3,1,0.50261,1,1,1,60.0,30.0,4.0,,0,0,90,44.0,87.0
11783744,1,2015,0.000,0.072,0.000,0.000,0.000,0.119,0.017,0.000,0.000,0.000,0.051,0.033,0.022,0.068,0.000,0.000,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3,2,0.44906,1,1,1,70.0,34.0,5.0,,0,0,81,60.0,50.0
11783776,1,2015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.810,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,1,0.89352,1,1,1,70.0,27.0,6.0,,0,0,89,29.0,87.0
11783844,1,2015,0.140,0.031,0.025,0.000,0.000,0.028,0.000,0.030,0.000,0.000,0.029,0.106,0.096,0.239,0.000,0.000,0.204,0.000,0.000,0.000,0.039,0.000,0.083,0.309,2,1,0.59186,1,1,1,70.0,30.0,4.0,,0,0,91,89.0,30.0
11784651,1,2015,0.023,0.202,0.134,0.000,0.000,0.154,0.046,0.021,0.018,0.000,0.003,0.095,0.034,0.000,0.000,0.000,0.056,0.072,0.000,0.000,0.081,0.038,0.000,0.067,2,1,0.47545,1,1,1,60.0,27.0,5.0,,0,0,69,67.0,20.0
11785198,1,2015,0.000,0.038,0.085,0.000,0.000,0.000,0.000,0.000,0.005,0.144,0.064,0.224,0.004,0.000,0.000,0.000,0.108,0.035,0.000,0.000,0.040,0.000,0.000,0.067,3,1,0.39119,1,1,1,60.0,33.0,5.0,,0,0,83,4.0,
11786185,1,2015,0.000,0.024,0.085,0.000,0.000,0.070,0.000,0.000,0.202,0.000,0.000,0.095,0.084,0.387,0.000,0.000,0.108,0.035,0.000,0.000,0.058,0.000,0.000,0.067,3,1,0.47580,1,1,1,60.0,32.0,,94.0,0,0,81,,
11788051,1,2015,0.065,0.033,0.000,0.000,0.000,0.000,0.040,0.395,0.000,0.000,0.000,0.090,0.000,0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.047,0.000,0.170,0.081,2,1,0.60944,1,1,1,60.0,28.0,2.0,,0,0,80,50.0,31.0
11788407,1,2015,0.000,0.011,0.000,0.000,0.000,0.043,0.098,0.000,0.000,0.000,0.024,0.000,0.022,0.000,0.000,0.000,0.061,0.000,0.000,0.000,0.000,0.000,0.047,0.000,3,1,0.64865,1,1,1,60.0,34.0,5.0,,0,0,85,26.0,50.0
11788886,1,2015,0.000,0.103,0.268,0.000,0.092,0.161,0.000,0.000,0.000,0.000,0.020,0.285,0.090,0.244,0.000,0.000,0.000,0.105,0.000,0.000,0.114,0.000,0.146,0.247,4,1,0.33611,1,1,1,70.0,32.0,4.0,,0,0,76,43.0,31.0
11788958,1,2015,0.001,0.025,0.039,0.000,0.019,0.041,0.000,0.014,0.174,0.349,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.121,0.012,0.000,0.058,0.000,4,1,0.31514,1,1,0,80.0,28.0,3.0,,0,0,0,84.0,25.0
11789566,1,2015,0.000,0.065,0.012,0.000,0.000,0.222,0.022,0.000,0.000,0.000,0.000,0.000,0.034,0.000,0.000,0.000,0.241,0.000,0.000,0.034,0.000,0.025,0.037,0.031,2,2,0.40274,1,1,1,60.0,35.0,5.0,,0,0,85,28.0,50.0
11789585,1,2015,0.000,0.055,0.284,0.018,0.000,0.036,0.111,0.000,0.252,0.000,0.020,0.095,0.012,0.000,0.000,0.000,0.000,0.035,0.000,0.000,0.118,0.000,0.000,0.136,1,1,0.65526,1,1,1,60.0,31.0,6.0,,0,0,85,39.0,82.0
11789587,1,2015,0.052,0.000,0.000,0.000,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.147,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.182,0.081,1,1,0.76042,1,1,1,60.0,26.0,4.0,,0,0,86,78.0,95.0
