id,sex,year,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11679526,1,2015,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.08991,0.00625,0.00625,0.86008,1,1,0.86008,1,2,1,60.0,26.0,,93.0,0,0,75,0.0,
11679551,1,2015,0.00625,0.00625,0.00625,0.00625,0.94373,0.00625,0.00625,0.00625,0.00625,0.00625,1,1,0.94373,1,2,1,60.0,24.0,,92.0,0,0,74,,
11786800,1,2015,0.49960,0.00833,0.00834,0.43372,0.00834,0.00833,0.00833,0.00833,0.00833,0.00834,2,2,0.49960,1,2,1,60.0,25.0,4.0,,0,0,77,16.0,19.0
11788493,1,2015,0.00588,0.00588,0.00589,0.94704,0.00589,0.00588,0.00588,0.00588,0.00588,0.00589,1,1,0.94704,1,2,1,70.0,34.0,6.0,,0,0,81,92.0,59.0
11789026,1,2015,0.00500,0.00500,0.90085,0.00500,0.05913,0.00500,0.00500,0.00500,0.00500,0.00500,1,1,0.90085,1,2,1,60.0,33.0,4.0,,0,0,80,,
11789799,1,2015,0.45120,0.00834,0.48212,0.00833,0.00833,0.00834,0.00834,0.00833,0.00833,0.00834,2,2,0.48212,1,2,1,60.0,33.0,5.0,,0,0,78,43.0,
11842960,1,2015,0.76686,0.00417,0.00417,0.00417,0.19980,0.00417,0.00417,0.00417,0.00417,0.00417,2,1,0.76686,1,2,1,70.0,28.0,5.0,,0,0,78,47.0,
11844485,1,2015,0.00556,0.00556,0.00556,0.94999,0.00556,0.00556,0.00556,0.00556,0.00556,0.00556,1,1,0.94999,1,2,1,50.0,28.0,6.0,,0,0,84,6.0,8.0
11844524,1,2015,0.78601,0.00294,0.15774,0.00294,0.00294,0.03565,0.00294,0.00294,0.00294,0.00294,2,1,0.78601,1,2,1,50.0,33.0,6.0,,0,0,80,63.0,
11845560,1,2015,0.00323,0.00323,0.15839,0.00323,0.00323,0.00323,0.00323,0.00323,0.81579,0.00323,2,1,0.81579,1,2,1,60.0,26.0,4.0,,0,0,73,14.0,3.0
11847450,1,2015,0.00370,0.00370,0.00370,0.00370,0.96666,0.00370,0.00370,0.00370,0.00370,0.00370,1,1,0.96666,1,2,1,80.0,32.0,7.0,,0,0,83,9.0,
11850222,1,2015,0.00527,0.00526,0.32108,0.00527,0.00527,0.63680,0.00526,0.00527,0.00526,0.00526,2,2,0.63680,1,2,1,60.0,28.0,4.0,,0,0,83,8.0,0.0
11850461,1,2015,0.22882,0.00667,0.28400,0.16398,0.00667,0.00667,0.14263,0.00667,0.00667,0.14722,5,0,0.28400,1,2,1,30.0,25.0,4.0,,0,0,81,,
11851243,1,2015,0.00417,0.00417,0.00417,0.96249,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,1,1,0.96249,1,2,1,60.0,28.0,5.0,,0,0,82,,21.0
11852504,1,2015,0.01111,0.01111,0.29326,0.01111,0.01111,0.01111,0.61783,0.01111,0.01111,0.01111,2,1,0.61783,1,2,1,70.0,38.0,4.0,,0,0,80,31.0,
11852664,1,2015,0.28026,0.00400,0.39304,0.29869,0.00400,0.00400,0.00400,0.00400,0.00400,0.00400,3,1,0.39304,1,2,1,80.0,31.0,5.0,,0,0,77,38.0,
11852758,1,2015,0.63094,0.00909,0.00909,0.29632,0.00909,0.00909,0.00909,0.00909,0.00909,0.00910,2,1,0.63094,1,2,1,60.0,33.0,4.0,,0,0,77,18.0,4.0
11853002,1,2015,0.01429,0.87140,0.01430,0.01429,0.01429,0.01429,0.01429,0.01429,0.01429,0.01429,1,1,0.87140,1,2,1,70.0,33.0,5.0,,0,0,81,52.0,
11853853,1,2015,0.12970,0.00910,0.61210,0.00909,0.00910,0.00910,0.00909,0.00910,0.00909,0.19453,3,1,0.61210,1,2,1,60.0,30.0,4.0,,0,0,71,9.0,
11854357,1,2015,0.00435,0.00435,0.00435,0.96085,0.00435,0.00435,0.00435,0.00435,0.00435,0.00435,1,1,0.96085,1,2,1,70.0,32.0,4.0,,0,0,81,57.0,
