id,sex,year,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11845711,0,2015,0.37566,0.49099,0.01667,0.01667,0.01667,0.01667,0.01667,0.01667,0.01667,0.01667,2,2,0.49099,1,1,1,60.0,,3.0,,0,0,85,,70.0
11848603,0,2015,0.00335,0.00335,0.14295,0.00335,0.18613,0.22593,0.33273,0.06167,0.00335,0.03718,4,1,0.33273,1,1,1,40.0,,6.0,,0,0,84,64.0,73.0
11851914,0,2015,0.00425,0.96170,0.00426,0.00425,0.00426,0.00426,0.00426,0.00426,0.00426,0.00426,1,1,0.96170,1,1,1,70.0,,5.0,,0,0,85,64.0,
11855479,0,2015,0.05317,0.14579,0.00474,0.49580,0.27681,0.00474,0.00474,0.00474,0.00474,0.00474,3,1,0.49580,1,1,1,40.0,,4.0,,0,0,79,35.0,67.0
11857157,0,2015,0.79037,0.00500,0.16962,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500,2,1,0.79037,1,1,1,60.0,,3.0,,0,0,86,11.0,14.0
12006595,0,2015,0.14711,0.00714,0.00714,0.00714,0.79575,0.00714,0.00714,0.00714,0.00714,0.00714,2,1,0.79575,1,1,1,30.0,,,93.0,0,0,82,33.0,6.0
12141028,0,2015,0.24346,0.07266,0.62880,0.03567,0.00323,0.00323,0.00323,0.00323,0.00323,0.00323,2,1,0.62880,1,1,1,60.0,,5.0,,0,0,84,22.0,16.0
12258257,0,2015,0.34169,0.00834,0.00834,0.34163,0.00833,0.00834,0.09166,0.00834,0.00834,0.17500,3,2,0.34169,1,1,1,70.0,,3.0,,0,0,68,3.0,10.0
12259647,0,2015,0.00830,0.00830,0.00830,0.00830,0.24258,0.00830,0.00830,0.54335,0.15597,0.00830,3,1,0.54335,1,1,1,50.0,,3.0,,0,0,81,10.0,16.0
12261223,0,2015,0.15924,0.01112,0.01112,0.12226,0.01112,0.38369,0.01112,0.01112,0.26811,0.01112,4,1,0.38369,1,1,1,70.0,,5.0,,0,0,76,20.0,7.0
12264794,0,2015,0.43569,0.00554,0.00554,0.00554,0.00554,0.14333,0.38218,0.00554,0.00554,0.00554,3,2,0.43569,1,1,1,60.0,,5.0,,0,0,71,32.0,20.0
12271183,0,2015,0.00448,0.00448,0.69729,0.00448,0.21313,0.00448,0.05820,0.00448,0.00448,0.00448,2,1,0.69729,1,1,1,70.0,,3.0,,0,0,81,0.0,32.0
12277002,0,2015,0.84918,0.11340,0.00468,0.00468,0.00468,0.00468,0.00468,0.00468,0.00468,0.00468,2,1,0.84918,1,1,1,90.0,,5.0,,0,0,77,39.0,6.0
12277160,0,2015,0.06176,0.89634,0.00524,0.00524,0.00524,0.00524,0.00524,0.00524,0.00524,0.00524,1,1,0.89634,1,1,1,50.0,,,93.0,0,0,78,24.0,23.0
12808223,0,2015,0.00434,0.00434,0.21872,0.00434,0.05392,0.63297,0.00434,0.00434,0.06834,0.00434,2,1,0.63297,1,1,1,40.0,,,92.0,0,0,75,10.0,0.0
12814848,0,2015,0.01103,0.01104,0.90069,0.01103,0.01103,0.01103,0.01103,0.01103,0.01103,0.01103,1,1,0.90069,1,1,1,60.0,,4.0,,0,0,79,15.0,7.0
12816742,0,2015,0.10037,0.66973,0.10098,0.00475,0.00475,0.10041,0.00475,0.00475,0.00475,0.00475,4,1,0.66973,1,1,1,80.0,,3.0,,0,0,78,67.0,29.0
13724147,0,2015,0.04852,0.00418,0.24570,0.00418,0.00418,0.05250,0.00418,0.00418,0.62818,0.00418,2,1,0.62818,1,1,1,60.0,,4.0,,0,0,67,11.0,4.0
13743236,0,2015,0.00415,0.50551,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414,0.46133,2,2,0.50551,1,1,1,30.0,,,93.0,0,0,87,71.0,68.0
13753049,0,2015,0.12401,0.00525,0.13519,0.06760,0.00525,0.06092,0.58601,0.00525,0.00526,0.00525,3,1,0.58601,1,1,1,60.0,,5.0,,0,0,66,37.0,7.0
13756335,0,2015,0.00370,0.00370,0.14228,0.00370,0.04447,0.68699,0.04568,0.00370,0.00370,0.06209,2,1,0.68699,1,1,1,60.0,,4.0,,0,0,85,54.0,39.0
13762273,0,2015,0.00623,0.58829,0.00623,0.00623,0.29057,0.00623,0.00623,0.00623,0.00623,0.07752,2,1,0.58829,1,1,1,50.0,,6.0,,0,0,86,61.0,16.0
13771446,0,2015,0.00714,0.00714,0.00714,0.00714,0.26378,0.54007,0.00714,0.14614,0.00714,0.00714,3,1,0.54007,1,1,1,60.0,,3.0,,0,0,80,,7.0
13819056,0,2015,0.00370,0.00370,0.05293,0.04095,0.80839,0.00370,0.00370,0.00370,0.07556,0.00370,1,1,0.80839,1,1,1,90.0,,6.0,,0,0,80,22.0,58.0
13823296,0,2015,0.00556,0.00556,0.17566,0.00556,0.77989,0.00556,0.00556,0.00556,0.00556,0.00556,2,1,0.77989,1,1,1,60.0,,5.0,,0,0,87,11.0,21.0
13825536,0,2015,0.00525,0.00526,0.78871,0.05806,0.00525,0.00525,0.00525,0.00525,0.00525,0.11646,2,1,0.78871,1,1,1,60.0,,4.0,,0,0,84,61.0,69.0
13827725,0,2015,0.07007,0.00556,0.07701,0.00556,0.00556,0.75420,0.00556,0.00556,0.00556,0.06535,1,1,0.75420,1,1,1,70.0,,3.0,,0,0,87,18.0,7.0
13828532,0,2015,0.00416,0.00416,0.82830,0.00416,0.00416,0.00416,0.00416,0.04621,0.09635,0.00416,1,1,0.82830,1,1,0,60.0,,5.0,,0,0,0,31.0,33.0
13829948,0,2015,0.00526,0.00526,0.00526,0.00526,0.15346,0.08486,0.17559,0.00526,0.55451,0.00526,3,1,0.55451,1,1,1,60.0,,5.0,,0,0,80,0.0,0.0
13830905,0,2015,0.00502,0.34195,0.00502,0.00502,0.00502,0.00502,0.12760,0.49530,0.00502,0.00502,3,2,0.49530,1,1,1,50.0,,3.0,,0,0,75,47.0,
13832082,0,2015,0.00714,0.12500,0.18888,0.00714,0.00714,0.23854,0.00714,0.00714,0.00714,0.40475,4,1,0.40475,1,1,1,60.0,,4.0,,0,0,84,59.0,16.0
13838962,0,2015,0.00499,0.00499,0.00499,0.00499,0.13666,0.82342,0.00499,0.00499,0.00499,0.00499,2,1,0.82342,1,1,1,60.0,,4.0,,0,0,86,0.0,29.0
13839516,0,2015,0.00555,0.00555,0.24195,0.00555,0.00555,0.00555,0.00555,0.00555,0.71366,0.00555,2,1,0.71366,1,1,1,70.0,,6.0,,0,0,83,64.0,52.0
13840554,0,2015,0.00550,0.58433,0.18898,0.00550,0.18816,0.00550,0.00550,0.00550,0.00550,0.00550,3,1,0.58433,1,1,1,60.0,,7.0,,0,0,85,,40.0
13843014,0,2015,0.22006,0.02001,0.61987,0.02001,0.02001,0.02001,0.02002,0.02001,0.02001,0.02001,2,1,0.61987,1,1,1,70.0,,4.0,,0,0,85,25.0,46.0
13844199,0,2015,0.23476,0.00556,0.08229,0.00556,0.36794,0.00556,0.00556,0.28167,0.00556,0.00556,3,1,0.36794,1,1,1,60.0,,5.0,,0,0,80,16.0,3.0
13901906,0,2015,0.07474,0.00763,0.00763,0.10436,0.10939,0.00763,0.00763,0.00763,0.00763,0.66575,3,1,0.66575,1,1,1,60.0,,5.0,,0,0,87,68.0,50.0
13902375,0,2015,0.00385,0.08906,0.07206,0.00385,0.15602,0.00385,0.00385,0.04258,0.62102,0.00385,2,1,0.62102,1,1,1,60.0,,7.0,,0,0,88,,22.0
13906004,0,2015,0.02000,0.27352,0.02001,0.56646,0.02000,0.02000,0.02000,0.02000,0.02000,0.02000,2,1,0.56646,1,1,1,40.0,,,92.0,0,0,72,89.0,
13907737,0,2015,0.00383,0.12802,0.32797,0.37942,0.14158,0.00383,0.00383,0.00383,0.00383,0.00383,4,2,0.37942,1,1,1,50.0,,5.0,,0,0,82,93.0,30.0
