id,sex,year,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11843726,0,2015,0.00625,0.00625,0.94372,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,1,1,0.94372,1,2,0,60.0,,3.0,,0,0,0,18.0,
11844279,0,2015,0.14523,0.00667,0.11051,0.00667,0.00667,0.63037,0.00667,0.00667,0.07389,0.00667,3,1,0.63037,1,2,1,60.0,,6.0,,0,0,75,,9.0
11844334,0,2015,0.00667,0.00667,0.93997,0.00667,0.00667,0.00667,0.00667,0.00667,0.00667,0.00667,1,1,0.93997,1,2,1,50.0,,5.0,,0,0,85,70.0,78.0
11846582,0,2015,0.00476,0.00476,0.00476,0.00476,0.00476,0.08715,0.00477,0.00477,0.87473,0.00476,1,1,0.87473,1,2,1,60.0,,3.0,,0,0,79,13.0,
11848534,0,2015,0.14748,0.01111,0.76360,0.01111,0.01111,0.01112,0.01111,0.01111,0.01111,0.01112,2,1,0.76360,1,2,1,60.0,,3.0,,0,0,83,15.0,27.0
11849127,0,2015,0.00476,0.00476,0.00476,0.15984,0.00476,0.00476,0.75265,0.00476,0.00476,0.05417,2,1,0.75265,1,2,1,60.0,,6.0,,0,0,79,16.0,17.0
11850045,0,2015,0.00357,0.00357,0.15724,0.07087,0.00357,0.04140,0.00357,0.00357,0.00357,0.70905,2,1,0.70905,1,2,1,60.0,,3.0,,0,0,75,40.0,
11850054,0,2015,0.00385,0.08531,0.11006,0.00385,0.58072,0.00385,0.00385,0.00385,0.00385,0.20082,3,1,0.58072,1,2,1,80.0,,4.0,,0,0,77,15.0,
11850150,0,2015,0.84896,0.05737,0.00500,0.00500,0.05866,0.00500,0.00500,0.00500,0.00500,0.00500,1,1,0.84896,1,2,1,50.0,,3.0,,0,0,78,,9.0
11850191,0,2015,0.00345,0.00345,0.00345,0.00345,0.00345,0.00345,0.96896,0.00345,0.00345,0.00345,1,1,0.96896,1,2,1,90.0,,5.0,,0,0,74,38.0,15.0
11850593,0,2015,0.00400,0.00400,0.23224,0.00400,0.00400,0.00400,0.00400,0.00400,0.73574,0.00400,2,1,0.73574,1,2,1,70.0,,5.0,,0,0,79,,16.0
11850719,0,2015,0.73023,0.16307,0.07752,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,2,1,0.73023,1,2,1,60.0,,5.0,,0,0,84,31.0,16.0
11850772,0,2015,0.00417,0.11702,0.57531,0.07507,0.00417,0.00417,0.00417,0.00417,0.20758,0.00417,3,1,0.57531,1,2,1,80.0,,6.0,,0,1,82,,17.0
11851780,0,2015,0.00417,0.00417,0.96249,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,1,1,0.96249,1,2,1,70.0,,5.0,,0,0,82,5.0,
11853536,0,2015,0.00400,0.00400,0.37312,0.00400,0.00400,0.33471,0.13321,0.00400,0.00400,0.13496,4,2,0.37312,1,2,1,60.0,,,,0,0,76,74.0,80.0
11854371,0,2015,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.96248,0.00417,0.00417,0.00417,1,1,0.96248,1,2,1,80.0,,8.0,,0,0,80,,41.0
11856399,0,2015,0.00455,0.00455,0.00455,0.00455,0.00455,0.00455,0.00455,0.13184,0.00455,0.83179,2,1,0.83179,1,2,1,70.0,,4.0,,0,0,75,25.0,
11857664,0,2015,0.00556,0.00556,0.12596,0.00556,0.00556,0.00556,0.00556,0.00556,0.82959,0.00556,2,1,0.82959,1,2,1,40.0,,,94.0,0,0,77,36.0,27.0
11941639,0,2015,0.00323,0.00323,0.00323,0.88829,0.00323,0.00323,0.00323,0.08589,0.00323,0.00323,1,1,0.88829,1,2,1,50.0,,,93.0,0,0,76,,
11955358,0,2015,0.00435,0.00435,0.00435,0.96085,0.00435,0.00435,0.00435,0.00435,0.00435,0.00435,1,1,0.96085,1,2,1,60.0,,,93.0,0,0,70,2.0,
11994591,0,2015,0.04849,0.00435,0.35926,0.00435,0.00435,0.00435,0.00435,0.19395,0.37220,0.00435,3,2,0.37220,1,2,1,50.0,,,94.0,0,0,81,54.0,
12005761,0,2015,0.00357,0.87822,0.09319,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,1,1,0.87822,1,2,1,80.0,,4.0,,0,0,75,17.0,12.0
