id,sex,year,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11571929,1,2015,0.000,0.053,0.183,0.000,0.000,0.000,0.027,0.000,0.000,0.086,0.367,0.000,0.000,0.066,0.077,0.035,0.034,0.000,0.000,0.200,0.061,0.000,0.000,0.134,3,1,0.47588,0,0,0,80.0,21.0,,93.0,0,0,0,3.0,
11587879,1,2015,0.000,0.000,0.000,0.000,0.392,0.101,0.050,0.000,0.254,0.000,0.000,0.041,0.022,0.207,0.132,0.111,0.234,0.056,0.000,0.000,0.061,0.000,0.000,0.029,3,1,0.46663,0,0,0,90.0,31.0,,94.0,0,0,0,7.0,
11605717,1,2015,0.000,0.000,0.184,0.000,0.000,0.196,0.033,0.000,0.126,0.000,0.000,0.000,0.035,0.152,0.073,0.216,0.083,0.013,0.000,0.000,0.161,0.000,0.000,0.012,3,2,0.31172,0,0,0,30.0,25.0,,93.0,0,0,0,0.0,
11673049,0,2015,0.000,0.018,0.017,0.000,0.000,0.033,0.025,0.000,0.301,0.013,0.000,0.000,0.000,0.115,0.091,0.047,0.068,0.000,0.000,0.000,0.125,0.002,0.000,0.000,1,1,0.74637,0,0,0,70.0,,,94.0,0,0,0,0.0,
11676721,1,2015,0.000,0.013,0.000,0.000,0.117,0.084,0.000,0.000,0.028,0.100,0.000,0.000,0.000,0.008,0.032,0.008,0.022,0.000,0.067,0.000,0.065,0.058,0.000,0.074,3,1,0.45207,0,0,0,70.0,25.0,,94.0,0,0,0,,
11678446,0,2015,0.000,0.000,0.092,0.000,0.000,0.070,0.091,0.000,0.268,0.000,0.183,0.000,0.233,0.086,0.076,0.244,0.233,0.000,0.000,0.000,0.471,0.000,0.000,0.029,2,1,0.64540,0,0,0,80.0,,,94.0,0,0,0,,
11679632,1,2015,0.000,0.000,0.000,0.000,0.260,0.099,0.008,0.000,0.041,0.000,0.000,0.000,0.000,0.042,0.049,0.111,0.044,0.000,0.000,0.000,0.120,0.011,0.000,0.136,3,0,0.27652,0,0,0,60.0,25.0,,,1,0,0,31.0,
11782088,1,2015,0.013,0.172,0.000,0.000,0.000,0.018,0.062,0.000,0.191,0.102,0.000,0.000,0.163,0.102,0.249,0.275,0.340,0.000,0.000,0.000,0.081,0.000,0.000,0.097,3,1,0.44165,0,0,0,90.0,33.0,,93.0,0,0,0,19.0,
11783106,1,2015,0.000,0.000,0.000,0.000,0.083,0.040,0.037,0.000,0.000,0.000,0.000,0.039,0.022,0.086,0.067,0.098,0.079,0.952,0.000,0.000,0.000,0.000,0.000,0.000,1,1,0.75170,0,0,0,90.0,26.0,,93.0,0,0,0,,
11783171,1,2015,0.000,0.000,0.282,0.284,0.031,0.034,0.000,0.000,0.046,0.000,0.000,0.163,0.007,0.000,0.048,0.083,0.035,0.085,0.000,0.129,0.087,0.087,0.000,0.140,4,0,0.28770,0,0,0,80.0,29.0,,94.0,0,0,0,22.0,
