id,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11531836,0.55108,0.14839,0.00497,0.00497,0.16067,0.00497,0.05515,0.00497,0.00497,0.05985,3,1,0.55108,1,1,1,70.0,25.0,7.0,,0,0,73,9.0,56.0
11556347,0.29415,0.06366,0.00496,0.17825,0.00496,0.00496,0.00496,0.43417,0.00496,0.00496,3,1,0.43417,1,1,1,80.0,34.0,,94.0,0,1,87,5.0,
11587558,0.35142,0.00833,0.00833,0.13936,0.16385,0.12868,0.17502,0.00833,0.00833,0.00833,5,1,0.35142,1,1,1,70.0,26.0,6.0,,0,0,86,0.0,20.0
11781920,0.13830,0.00501,0.00501,0.00501,0.00502,0.82159,0.00501,0.00501,0.00501,0.00501,2,1,0.82159,1,1,1,50.0,32.0,6.0,,0,0,83,,82.0
11783220,0.00526,0.00526,0.42161,0.39915,0.00527,0.00526,0.00526,0.14238,0.00526,0.00526,3,2,0.42161,1,1,1,40.0,22.0,3.0,,0,0,72,18.0,7.0
11783427,0.14725,0.00590,0.00590,0.17389,0.22379,0.00590,0.35739,0.00590,0.00590,0.06819,4,1,0.35739,1,1,1,60.0,30.0,4.0,,0,0,90,44.0,87.0
11783744,0.00769,0.00769,0.00769,0.93076,0.00769,0.00769,0.00769,0.00769,0.00769,0.00769,1,1,0.93076,1,1,1,70.0,34.0,5.0,,0,0,81,60.0,50.0
11783776,0.00846,0.00845,0.00845,0.11070,0.00845,0.67047,0.00845,0.15966,0.00845,0.00846,3,1,0.67047,1,1,1,70.0,27.0,6.0,,0,0,89,29.0,87.0
11783844,0.16744,0.00434,0.00434,0.67793,0.00434,0.12424,0.00434,0.00434,0.00434,0.00434,3,1,0.67793,1,1,1,70.0,30.0,4.0,,0,0,91,89.0,30.0
11784651,0.50261,0.15930,0.00433,0.00434,0.26401,0.00434,0.00433,0.00433,0.00433,0.04807,3,1,0.50261,1,1,1,60.0,27.0,5.0,,0,0,69,67.0,20.0
11785198,0.81260,0.00367,0.00367,0.00367,0.04228,0.08172,0.00367,0.00367,0.00367,0.04137,1,1,0.81260,1,1,1,60.0,33.0,5.0,,0,0,83,4.0,
11786185,0.05811,0.00430,0.00430,0.00430,0.81826,0.04918,0.00430,0.00430,0.00430,0.04864,1,1,0.81826,1,1,1,60.0,32.0,,94.0,0,0,81,,
11788051,0.00522,0.00522,0.00522,0.00522,0.77829,0.00522,0.00522,0.17994,0.00522,0.00522,2,1,0.77829,1,1,1,60.0,28.0,2.0,,0,0,80,50.0,31.0
11788407,0.00834,0.00833,0.00833,0.84160,0.00834,0.00833,0.00833,0.09172,0.00833,0.00833,1,1,0.84160,1,1,1,60.0,34.0,5.0,,0,0,85,26.0,50.0
11788886,0.20252,0.00590,0.00590,0.17362,0.00590,0.00590,0.00590,0.00590,0.00590,0.58258,3,1,0.58258,1,1,1,70.0,32.0,4.0,,0,0,76,43.0,31.0
11788958,0.00325,0.03563,0.00325,0.04741,0.23125,0.00325,0.51666,0.12033,0.03573,0.00325,3,1,0.51666,1,1,0,80.0,28.0,3.0,,0,0,0,84.0,25.0
11789566,0.00592,0.61592,0.00592,0.33671,0.00592,0.00592,0.00592,0.00592,0.00592,0.00592,2,2,0.61592,1,1,1,60.0,35.0,5.0,,0,0,85,28.0,50.0
11789585,0.00415,0.00415,0.00415,0.05923,0.90754,0.00415,0.00415,0.00415,0.00415,0.00415,1,1,0.90754,1,1,1,60.0,31.0,6.0,,0,0,85,39.0,82.0
11789587,0.01667,0.01667,0.01667,0.01668,0.68333,0.01667,0.18332,0.01667,0.01667,0.01667,2,1,0.68333,1,1,1,60.0,26.0,4.0,,0,0,86,78.0,95.0
11789905,0.61690,0.00500,0.00500,0.00500,0.00500,0.05796,0.00500,0.00500,0.00500,0.29012,2,1,0.61690,1,1,1,70.0,27.0,4.0,,0,0,82,,35.0
11789906,0.00526,0.29413,0.00526,0.19996,0.15682,0.00526,0.00526,0.31750,0.00526,0.00526,4,1,0.31750,1,1,1,60.0,35.0,6.0,,0,0,74,32.0,59.0
11789919,0.06638,0.00401,0.00401,0.26258,0.00401,0.00401,0.00401,0.00401,0.00401,0.64295,2,1,0.64295,1,1,1,60.0,33.0,6.0,,0,0,89,50.0,
11789922,0.23751,0.05504,0.00497,0.00498,0.67262,0.00497,0.00497,0.00497,0.00497,0.00497,2,1,0.67262,1,1,1,90.0,35.0,8.0,,0,0,88,25.0,68.0
11789924,0.00580,0.00580,0.00580,0.33057,0.43210,0.00580,0.19670,0.00580,0.00580,0.00580,3,2,0.43210,1,1,1,70.0,33.0,5.0,,0,0,87,,43.0
11789931,0.01429,0.01429,0.58571,0.01429,0.01429,0.01429,0.01429,0.01429,0.29999,0.01429,2,1,0.58571,1,1,1,50.0,33.0,5.0,,0,0,90,58.0,30.0
11842706,0.00413,0.05877,0.00413,0.00413,0.49952,0.41280,0.00413,0.00413,0.00413,0.00413,2,2,0.49952,1,1,1,50.0,34.0,6.0,,0,1,92,61.0,78.0
11842809,0.00556,0.00555,0.00555,0.10113,0.00555,0.00555,0.00555,0.85444,0.00555,0.00555,2,1,0.85444,1,1,1,60.0,29.0,3.0,,0,0,78,,8.0
11842833,0.00595,0.00595,0.53364,0.19903,0.22569,0.00595,0.00595,0.00595,0.00595,0.00595,3,1,0.53364,1,1,1,60.0,30.0,4.0,,0,0,74,36.0,57.0
11842876,0.13576,0.00435,0.11415,0.00435,0.05466,0.00435,0.38957,0.28412,0.00435,0.00435,4,1,0.38957,1,1,1,90.0,30.0,4.0,,0,0,82,,54.0
11842885,0.49549,0.00417,0.00417,0.18921,0.12888,0.00417,0.00417,0.16141,0.00417,0.00417,4,1,0.49549,1,1,1,80.0,27.0,6.0,,0,0,84,87.0,31.0
11842961,0.00434,0.00434,0.00434,0.00434,0.96097,0.00434,0.00434,0.00434,0.00434,0.00434,1,1,0.96097,1,1,1,90.0,32.0,6.0,,0,0,87,56.0,
11843021,0.00626,0.28071,0.09977,0.26791,0.00626,0.00625,0.00625,0.00625,0.00625,0.31409,3,1,0.31409,1,1,1,60.0,28.0,4.0,,0,0,90,0.0,0.0
11843134,0.00714,0.00714,0.00714,0.19728,0.00714,0.00715,0.00714,0.74557,0.00714,0.00714,2,1,0.74557,1,1,1,50.0,27.0,3.0,,0,0,79,24.0,
11843187,0.00370,0.00370,0.00370,0.92386,0.00370,0.04654,0.00370,0.00370,0.00370,0.00370,1,1,0.92386,1,1,1,50.0,33.0,3.0,,0,0,80,,30.0
11843550,0.00437,0.00437,0.00437,0.05258,0.07043,0.71519,0.00437,0.00437,0.13559,0.00437,2,1,0.71519,1,1,1,60.0,29.0,4.0,,0,0,84,75.0,93.0
11843567,0.09676,0.00588,0.00588,0.47462,0.19438,0.00588,0.00588,0.13628,0.00588,0.06858,3,1,0.47462,1,1,1,60.0,34.0,5.0,,0,0,81,68.0,61.0
11843642,0.00353,0.00353,0.33574,0.42570,0.00353,0.11503,0.00353,0.10233,0.00353,0.00353,4,2,0.42570,1,1,1,70.0,27.0,6.0,,0,0,77,26.0,
11843694,0.79055,0.00443,0.00443,0.17400,0.00443,0.00443,0.00443,0.00443,0.00443,0.00443,2,1,0.79055,1,1,1,50.0,26.0,4.0,,0,0,74,48.0,36.0
11843713,0.00385,0.04346,0.00385,0.88622,0.00385,0.00385,0.00385,0.00385,0.00385,0.04340,1,1,0.88622,1,1,1,70.0,29.0,4.0,,0,0,92,13.0,7.0
11843836,0.82883,0.00405,0.00405,0.00405,0.00405,0.13877,0.00405,0.00405,0.00405,0.00405,2,1,0.82883,1,1,1,80.0,20.0,5.0,,0,0,66,20.0,9.0
11844461,0.01250,0.01250,0.01250,0.50873,0.39125,0.01251,0.01250,0.01250,0.01250,0.01250,2,2,0.50873,1,1,1,60.0,28.0,7.0,,0,1,92,,5.0
11844527,0.00358,0.00358,0.00358,0.00358,0.17175,0.00358,0.00358,0.20862,0.00358,0.59459,3,1,0.59459,1,1,1,80.0,28.0,4.0,,0,0,86,4.0,9.0
