id,sex,year,t0,t1,t2,t3,t4,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11531836,1,2015,0.00971,0.96141,0.00963,0.00964,0.00960,1,1,0.96141,1,1,1,70.0,25.0,7.0,,0,0,73,9.0,56.0
11556347,1,2015,0.12703,0.17207,0.61000,0.08150,0.00940,3,1,0.61000,1,1,1,80.0,34.0,,94.0,0,1,87,5.0,
11587558,1,2015,0.01667,0.93246,0.01677,0.01718,0.01693,1,1,0.93246,1,1,1,70.0,26.0,6.0,,0,0,86,0.0,20.0
11781920,1,2015,0.01017,0.34436,0.62528,0.01009,0.01010,2,2,0.62528,1,1,1,50.0,32.0,6.0,,0,0,83,,82.0
11783220,1,2015,0.01136,0.95513,0.01118,0.01122,0.01111,1,1,0.95513,1,1,1,40.0,22.0,3.0,,0,0,72,18.0,7.0
11783427,1,2015,0.01261,0.80390,0.01268,0.15813,0.01267,2,1,0.80390,1,1,1,60.0,30.0,4.0,,0,0,90,44.0,87.0
11783744,1,2015,0.01669,0.45430,0.01683,0.01691,0.49527,2,2,0.49527,1,1,1,70.0,34.0,5.0,,0,0,81,60.0,50.0
11783776,1,2015,0.01674,0.01704,0.93276,0.01677,0.01669,1,1,0.93276,1,1,1,70.0,27.0,6.0,,0,0,89,29.0,87.0
11783844,1,2015,0.00837,0.27581,0.06844,0.63901,0.00837,2,1,0.63901,1,1,1,70.0,30.0,4.0,,0,0,91,89.0,30.0
11784651,1,2015,0.00956,0.96298,0.00915,0.00915,0.00916,1,1,0.96298,1,1,1,60.0,27.0,5.0,,0,0,69,67.0,20.0
11785198,1,2015,0.85825,0.00704,0.12078,0.00696,0.00697,2,1,0.85825,1,1,1,60.0,33.0,5.0,,0,0,83,4.0,
11786185,1,2015,0.69561,0.12139,0.05454,0.00806,0.12040,3,1,0.69561,1,1,1,60.0,32.0,,94.0,0,0,81,,
11788051,1,2015,0.78877,0.18191,0.00968,0.00988,0.00976,2,1,0.78877,1,1,1,60.0,28.0,2.0,,0,0,80,50.0,31.0
11788407,1,2015,0.02000,0.11954,0.81987,0.02054,0.02005,2,1,0.81987,1,1,1,60.0,34.0,5.0,,0,0,85,26.0,50.0
11788886,1,2015,0.01200,0.26821,0.26671,0.37019,0.08290,3,1,0.37019,1,1,1,70.0,32.0,4.0,,0,0,76,43.0,31.0
11788958,1,2015,0.00702,0.40368,0.46780,0.00717,0.11434,3,2,0.46780,1,1,0,80.0,28.0,3.0,,0,0,0,84.0,25.0
11789566,1,2015,0.01198,0.11506,0.01185,0.84925,0.01186,2,1,0.84925,1,1,1,60.0,35.0,5.0,,0,0,85,28.0,50.0
11789585,1,2015,0.05763,0.00882,0.00904,0.00912,0.91539,1,1,0.91539,1,1,1,60.0,31.0,6.0,,0,0,85,39.0,82.0
11789587,1,2015,0.04019,0.04044,0.25028,0.62900,0.04008,2,1,0.62900,1,1,1,60.0,26.0,4.0,,0,0,86,78.0,95.0
11789905,1,2015,0.88116,0.08864,0.01006,0.01001,0.01012,1,1,0.88116,1,1,1,70.0,27.0,4.0,,0,0,82,,35.0
11789906,1,2015,0.01127,0.89842,0.06781,0.01135,0.01114,1,1,0.89842,1,1,1,60.0,35.0,6.0,,0,0,74,32.0,59.0
