id,sex,year,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11679526,1,2015,0.00667,0.00667,0.00667,0.00667,0.93999,0.00667,0.00667,0.00667,0.00667,0.00667,1,1,0.93999,1,2,1,60.0,26.0,,93.0,0,0,75,0.0,
11679551,1,2015,0.00626,0.06887,0.00626,0.42869,0.31029,0.09207,0.00626,0.00626,0.00626,0.06878,2,2,0.42869,1,2,1,60.0,24.0,,92.0,0,0,74,,
11786800,1,2015,0.00910,0.00910,0.00910,0.00910,0.00910,0.56485,0.36233,0.00910,0.00910,0.00910,2,2,0.56485,1,2,1,60.0,25.0,4.0,,0,0,77,16.0,19.0
11788493,1,2015,0.36266,0.06110,0.00556,0.00556,0.41495,0.12795,0.00556,0.00556,0.00556,0.00556,3,2,0.41495,1,2,1,70.0,34.0,6.0,,0,0,81,92.0,59.0
11789026,1,2015,0.00477,0.00477,0.00477,0.00477,0.00477,0.00477,0.00477,0.00477,0.95706,0.00477,1,1,0.95706,1,2,1,60.0,33.0,4.0,,0,0,80,,
11789799,1,2015,0.00833,0.09187,0.00834,0.00833,0.11461,0.73518,0.00833,0.00834,0.00834,0.00833,2,1,0.73518,1,2,1,60.0,33.0,5.0,,0,0,78,43.0,
11842960,1,2015,0.25681,0.00435,0.12656,0.00435,0.06036,0.12289,0.00435,0.00436,0.11122,0.30474,5,1,0.30474,1,2,1,70.0,28.0,5.0,,0,0,78,47.0,
11843726,0,2015,0.00703,0.00703,0.19088,0.00703,0.18806,0.44902,0.12987,0.00703,0.00703,0.00703,4,1,0.44902,1,2,0,60.0,,3.0,,0,0,0,18.0,
11844279,0,2015,0.00667,0.00667,0.00667,0.00667,0.00667,0.10762,0.00667,0.07976,0.76589,0.00667,2,1,0.76589,1,2,1,60.0,,6.0,,0,0,75,,9.0
11844334,0,2015,0.08027,0.07337,0.07561,0.00667,0.00668,0.00668,0.00667,0.00667,0.73070,0.00667,1,1,0.73070,1,2,1,50.0,,5.0,,0,0,85,70.0,78.0
11844485,1,2015,0.17937,0.00556,0.00556,0.00556,0.00556,0.22544,0.00556,0.28310,0.00556,0.27874,4,0,0.28310,1,2,1,50.0,28.0,6.0,,0,0,84,6.0,8.0
11844524,1,2015,0.04862,0.21753,0.03456,0.00303,0.00303,0.68110,0.00303,0.00303,0.00303,0.00303,2,1,0.68110,1,2,1,50.0,33.0,6.0,,0,0,80,63.0,
11845560,1,2015,0.70859,0.05217,0.08107,0.00334,0.00334,0.00334,0.03805,0.10343,0.00334,0.00334,2,1,0.70859,1,2,1,60.0,26.0,4.0,,0,0,73,14.0,3.0
11846582,0,2015,0.00501,0.65484,0.00501,0.00501,0.00501,0.08244,0.00501,0.22768,0.00501,0.00501,2,1,0.65484,1,2,1,60.0,,3.0,,0,0,79,13.0,
11847450,1,2015,0.00385,0.00385,0.80939,0.00385,0.00385,0.12141,0.04226,0.00385,0.00385,0.00385,2,1,0.80939,1,2,1,80.0,32.0,7.0,,0,0,83,9.0,
11848534,0,2015,0.01111,0.01111,0.01111,0.01111,0.01111,0.89999,0.01111,0.01111,0.01111,0.01111,1,1,0.89999,1,2,1,60.0,,3.0,,0,0,83,15.0,27.0
11849127,0,2015,0.00476,0.00476,0.00476,0.00476,0.68231,0.22876,0.00476,0.00476,0.05559,0.00476,2,1,0.68231,1,2,1,60.0,,6.0,,0,0,79,16.0,17.0
11850045,0,2015,0.00385,0.00385,0.00385,0.16022,0.00385,0.14810,0.47487,0.10266,0.09490,0.00385,4,1,0.47487,1,2,1,60.0,,3.0,,0,0,75,40.0,
11850054,0,2015,0.10463,0.00385,0.05017,0.00385,0.12603,0.10079,0.10228,0.00385,0.00385,0.50069,5,1,0.50069,1,2,1,80.0,,4.0,,0,0,77,15.0,
11850150,0,2015,0.00541,0.00541,0.28094,0.00541,0.06627,0.52671,0.00541,0.00541,0.09363,0.00541,2,1,0.52671,1,2,1,50.0,,3.0,,0,0,78,,9.0
