id,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,Officer, DAPAR, TZADAK, MAVDAK1, MAVDAK2, REJECTED, EXCEL, GRADE, SOCIO_TIRONUT, SOCIO_PIKUD
11482036,0.50439,0.14576,0.19534,0.00506,0.00442,0.00392,0.00352,0.00320,0.00293,0.00270,0.12022,0.00234,0.00219,0.00206,0.00195,1,10.0,,,93.0,0,0,87.0,0.0,
11483624,0.00850,0.89565,0.00559,0.00478,0.00417,0.00370,0.00333,0.00302,0.00277,0.00255,0.00237,0.00221,0.00207,0.05746,0.00184,1,60.0,32.0,,94.0,0,0,90.0,14.0,
11484512,0.56168,0.15165,0.00774,0.16051,0.00578,0.00512,0.00461,0.00418,0.00383,0.00353,0.00328,0.00306,0.00286,0.07962,0.00254,1,50.0,26.0,,93.0,0,0,80.0,,
11495303,0.00809,0.07873,0.30360,0.00453,0.00395,0.58017,0.00315,0.00286,0.00262,0.00242,0.00224,0.00209,0.00196,0.00184,0.00174,1,80.0,26.0,5.0,,0,0,84.0,7.0,
11519970,0.00961,0.00760,0.00631,0.00539,0.71869,0.00418,0.00375,0.00341,0.00312,0.00288,0.00267,0.06620,0.16191,0.00220,0.00207,1,70.0,,,93.0,0,0,81.0,43.0,
11521799,0.22175,0.00418,0.00347,0.00297,0.07676,0.00230,0.50800,0.03632,0.00172,0.00158,0.00147,0.00137,0.10131,0.00121,0.03559,1,40.0,,,94.0,0,0,86.0,91.0,
11557901,0.78199,0.00553,0.13824,0.00392,0.00342,0.04877,0.00273,0.00248,0.00227,0.00209,0.00194,0.00181,0.00170,0.00160,0.00151,1,80.0,,,93.0,0,0,82.0,23.0,
11562218,0.48906,0.00809,0.00671,0.00573,0.00501,0.39220,0.00399,0.00362,0.00332,0.00306,0.00284,0.00265,0.00248,0.00234,0.06888,1,70.0,25.0,,92.0,0,0,73.0,4.0,
11567348,0.95964,0.00578,0.00480,0.00410,0.00358,0.00317,0.00285,0.00259,0.00237,0.00219,0.00203,0.00189,0.00177,0.00167,0.00158,1,90.0,,,93.0,0,0,78.0,50.0,
11576177,0.95760,0.00607,0.00504,0.00430,0.00376,0.00333,0.00300,0.00272,0.00249,0.00230,0.00213,0.00199,0.00186,0.00175,0.00165,1,60.0,23.0,,93.0,0,0,84.0,0.0,
11576934,0.70407,0.00933,0.00775,0.00662,0.00578,0.00513,0.08152,0.00418,0.00383,0.00353,0.08020,0.00306,0.00287,0.07960,0.00254,1,70.0,22.0,,92.0,0,0,80.0,9.0,
11577163,0.70755,0.00607,0.00503,0.20436,0.00375,0.00333,0.00299,0.00272,0.05250,0.00230,0.00213,0.00199,0.00186,0.00175,0.00165,1,80.0,28.0,,93.0,0,0,81.0,8.0,
11584980,0.77892,0.10255,0.00438,0.00374,0.00326,0.00290,0.00260,0.00236,0.00216,0.04548,0.00185,0.00173,0.00162,0.00152,0.04492,1,70.0,25.0,,94.0,0,0,81.0,,
11589674,0.00667,0.68898,0.27715,0.00374,0.00327,0.00290,0.00260,0.00236,0.00217,0.00200,0.00185,0.00173,0.00162,0.00152,0.00144,1,80.0,23.0,5.0,,0,0,80.0,36.0,
11595300,0.23900,0.68837,0.01007,0.00860,0.00751,0.00666,0.00599,0.00544,0.00498,0.00459,0.00426,0.00398,0.00373,0.00350,0.00331,1,60.0,23.0,,93.0,0,0,82.0,5.0,
11595436,0.07016,0.17308,0.69176,0.00344,0.00300,0.00267,0.00240,0.00218,0.00199,0.00184,0.04169,0.00159,0.00149,0.00140,0.00132,1,70.0,,,94.0,0,0,86.0,,
11597681,0.18347,0.03780,0.10073,0.00287,0.04027,0.00222,0.00200,0.00181,0.00166,0.30157,0.00142,0.00132,0.28726,0.00117,0.03444,1,90.0,,,93.0,0,0,87.0,,
11600851,0.01390,0.01103,0.71560,0.00782,0.00683,0.00606,0.00544,0.00494,0.00453,0.00417,0.00387,0.00361,0.20600,0.00319,0.00301,1,60.0,26.0,,93.0,0,0,80.0,11.0,
11601309,0.00852,0.00674,0.17006,0.00478,0.17082,0.06139,0.00333,0.55862,0.00277,0.00255,0.00237,0.00221,0.00207,0.00195,0.00184,1,90.0,27.0,,93.0,0,0,71.0,0.0,
11601644,0.57684,0.00934,0.00775,0.00662,0.00578,0.15897,0.00461,0.00418,0.00383,0.00353,0.08021,0.00306,0.13005,0.00270,0.00254,1,60.0,20.0,,92.0,0,0,84.0,7.0,
11659729,0.23770,0.04922,0.00420,0.00358,0.56071,0.00278,0.04415,0.00227,0.00207,0.04358,0.00178,0.04358,0.00155,0.00146,0.00138,1,80.0,34.0,,94.0,0,0,86.0,,
11664293,0.29394,0.00467,0.19396,0.00331,0.04134,0.00256,0.37026,0.00209,0.00192,0.00177,0.00164,0.07849,0.00143,0.00135,0.00127,0,40.0,25.0,,94.0,0,0,,20.0,
11665649,0.21823,0.12138,0.29016,0.23409,0.00289,0.00256,0.11768,0.00209,0.00192,0.00177,0.00164,0.00153,0.00143,0.00135,0.00127,1,60.0,32.0,7.0,,0,0,76.0,27.0,
11667255,0.00851,0.00674,0.53813,0.00478,0.00417,0.00370,0.00333,0.00302,0.00277,0.00255,0.00237,0.35852,0.00207,0.05751,0.00184,1,80.0,27.0,,93.0,0,0,70.0,,
11667263,0.00809,0.00640,0.05786,0.00453,0.31682,0.09535,0.34936,0.00286,0.00262,0.00242,0.00224,0.00209,0.09023,0.05740,0.00174,1,80.0,27.0,,94.0,0,0,80.0,,
11672527,0.25704,0.30097,0.00458,0.00391,0.00341,0.00303,0.00272,0.00247,0.00226,0.00209,0.00194,0.00181,0.00169,0.41057,0.00150,1,70.0,25.0,,93.0,0,0,83.0,,
11673197,0.08015,0.22554,0.00592,0.00506,0.00442,0.18504,0.00352,0.06203,0.00293,0.06154,0.00251,0.35515,0.00219,0.00206,0.00195,1,60.0,31.0,,94.0,0,0,80.0,23.0,
