id,sex,year,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11482036,0,2015,0.00445,0.00445,0.00445,0.00445,0.07114,0.07085,0.59325,0.00445,0.00445,0.07427,0.00445,0.07844,0.00445,0.00445,0.07203,1,1,0.59325,1,3,1,10.0,,,93.0,0,0,87,0.0,
11483624,1,2015,0.00370,0.00370,0.00370,0.00370,0.00370,0.00370,0.33701,0.55934,0.00370,0.05920,0.00370,0.00370,0.00370,0.00370,0.00370,2,2,0.55934,1,3,1,60.0,32.0,,94.0,0,0,90,14.0,
11484512,1,2015,0.00477,0.00477,0.00477,0.00477,0.00477,0.00477,0.68708,0.00477,0.00477,0.00477,0.00477,0.00477,0.25091,0.00477,0.00477,2,1,0.68708,1,3,1,50.0,26.0,,93.0,0,0,80,,
11495303,1,2015,0.00351,0.00351,0.00351,0.00351,0.00351,0.13897,0.58795,0.00351,0.00351,0.00351,0.23097,0.00351,0.00351,0.00351,0.00351,3,1,0.58795,1,3,1,80.0,26.0,5.0,,0,0,84,7.0,
11519970,0,2015,0.12829,0.00445,0.00445,0.53700,0.00445,0.00445,0.08134,0.00445,0.00445,0.00445,0.07432,0.13453,0.00445,0.00445,0.00445,3,1,0.53700,1,3,1,70.0,,,93.0,0,0,81,43.0,
11521799,0,2015,0.00238,0.00238,0.00238,0.00238,0.00238,0.03810,0.62438,0.07382,0.04066,0.00238,0.12779,0.00238,0.00238,0.07382,0.00238,2,1,0.62438,1,3,1,40.0,,,94.0,0,0,86,91.0,
11557901,0,2015,0.05336,0.00334,0.05337,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.15987,0.69671,0.00334,0.00334,0.00334,2,1,0.69671,1,3,1,80.0,,,93.0,0,0,82,23.0,
11562218,1,2015,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.75974,0.00417,0.00417,0.00417,0.12366,0.00417,0.00417,0.06659,0.00417,2,1,0.75974,1,3,1,70.0,25.0,,92.0,0,0,73,4.0,
11567348,0,2015,0.14989,0.44817,0.00370,0.00370,0.00370,0.00370,0.00370,0.00370,0.00370,0.06369,0.18641,0.05926,0.00370,0.00370,0.05925,3,1,0.44817,1,3,1,90.0,,,93.0,0,0,78,50.0,
11576177,1,2015,0.05942,0.00334,0.00334,0.00334,0.00334,0.00334,0.10164,0.00334,0.00334,0.00334,0.74484,0.05739,0.00334,0.00334,0.00334,2,1,0.74484,1,3,1,60.0,23.0,,93.0,0,0,84,0.0,
11576934,1,2015,0.09897,0.00513,0.00513,0.00513,0.00513,0.00513,0.00513,0.00513,0.57973,0.00513,0.18285,0.00513,0.00513,0.08203,0.00513,2,1,0.57973,1,3,1,70.0,22.0,,92.0,0,0,80,9.0,
11577163,1,2015,0.00351,0.00351,0.00351,0.00351,0.00351,0.10881,0.68767,0.00351,0.00351,0.00351,0.00351,0.00351,0.00351,0.00351,0.16141,3,1,0.68767,1,3,1,80.0,28.0,,93.0,0,0,81,8.0,
11584980,1,2015,0.00370,0.05927,0.00370,0.11482,0.00370,0.00370,0.54648,0.00370,0.00370,0.00370,0.18313,0.00370,0.00370,0.05926,0.00370,3,1,0.54648,1,3,1,70.0,25.0,,94.0,0,0,81,,
11589674,1,2015,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.65286,0.09845,0.00318,0.00318,0.00318,0.11224,0.05081,0.05388,0.00318,2,1,0.65286,1,3,1,80.0,23.0,5.0,,0,0,80,36.0,
11595300,1,2015,0.00667,0.10668,0.10668,0.00667,0.00667,0.00667,0.20669,0.00667,0.00667,0.00667,0.50660,0.00667,0.00667,0.00667,0.00667,4,1,0.50660,1,3,1,60.0,23.0,,93.0,0,0,82,5.0,
11595436,0,2015,0.10531,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.38179,0.29446,0.18789,0.00278,0.00278,0.00278,4,1,0.38179,1,3,1,70.0,,,94.0,0,0,86,,
11597681,0,2015,0.00222,0.00222,0.00222,0.03556,0.00222,0.00222,0.06528,0.00222,0.00222,0.00222,0.83918,0.00222,0.00222,0.03553,0.00222,1,1,0.83918,1,3,1,90.0,,,93.0,0,0,87,,
11600851,1,2015,0.00606,0.00606,0.00606,0.00606,0.00606,0.00606,0.00606,0.00606,0.00606,0.00606,0.91515,0.00606,0.00606,0.00606,0.00606,1,1,0.91515,1,3,1,60.0,26.0,,93.0,0,0,80,11.0,
11601309,1,2015,0.00370,0.00370,0.00370,0.00370,0.00370,0.00370,0.06560,0.00370,0.66401,0.00370,0.00370,0.00370,0.00370,0.11482,0.11483,3,1,0.66401,1,3,1,90.0,27.0,,93.0,0,0,71,0.0,
11601644,1,2015,0.09887,0.00556,0.00556,0.00556,0.00556,0.00556,0.19764,0.00556,0.00556,0.00556,0.55349,0.00556,0.00556,0.08889,0.00556,2,1,0.55349,1,3,1,60.0,20.0,,92.0,0,0,84,7.0,
11659729,1,2015,0.05666,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.12063,0.14424,0.00278,0.64792,0.00278,3,1,0.64792,1,3,1,80.0,34.0,,94.0,0,0,86,,
11664293,1,2015,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.18430,0.00278,0.27322,0.00278,0.50914,0.00278,0.00278,0.00278,0.00278,3,1,0.50914,1,3,0,40.0,25.0,,94.0,0,0,0,20.0,
11665649,1,2015,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,0.07299,0.00267,0.04601,0.00267,0.44959,0.32784,0.07690,0.00267,0.00267,2,2,0.44959,1,3,1,60.0,32.0,7.0,,0,0,76,27.0,
11667255,1,2015,0.00352,0.00352,0.05625,0.00352,0.00352,0.00352,0.00352,0.00352,0.13037,0.05572,0.66019,0.06231,0.00352,0.00352,0.00352,2,1,0.66019,1,3,1,80.0,27.0,,93.0,0,0,70,,
11667263,1,2015,0.00318,0.00318,0.09861,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.14624,0.00318,0.00318,0.62154,0.09862,2,1,0.62154,1,3,1,80.0,27.0,,94.0,0,0,80,,
11672527,1,2015,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.13384,0.09948,0.00303,0.04849,0.68486,2,1,0.68486,1,3,1,70.0,25.0,,93.0,0,0,83,,
11673197,1,2015,0.00417,0.56667,0.00417,0.00417,0.00417,0.00417,0.37916,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,2,2,0.56667,1,3,1,60.0,31.0,,94.0,0,0,80,23.0,
11673286,1,2015,0.00351,0.00351,0.00351,0.00351,0.00351,0.14075,0.21892,0.00351,0.16848,0.00351,0.20309,0.00351,0.00351,0.18102,0.05616,5,0,0.21892,1,3,1,70.0,31.0,,94.0,0,0,83,2.0,
11676821,0,2015,0.05003,0.00290,0.00290,0.00290,0.00290,0.00290,0.15306,0.00290,0.00290,0.00290,0.76212,0.00290,0.00290,0.00290,0.00290,2,1,0.76212,1,3,1,70.0,,,95.0,0,0,83,,
11677053,1,2015,0.16340,0.00417,0.00417,0.00417,0.00417,0.00417,0.08578,0.00417,0.00417,0.00417,0.39537,0.30959,0.00417,0.00417,0.00417,3,2,0.39537,1,3,1,50.0,33.0,,94.0,0,1,81,15.0,
11677491,1,2015,0.00444,0.00444,0.07102,0.00444,0.00444,0.00444,0.17386,0.00444,0.00444,0.00444,0.00444,0.00444,0.00444,0.00444,0.70179,2,1,0.70179,1,3,1,50.0,16.0,,93.0,0,0,80,36.0,
11677948,1,2015,0.00392,0.00392,0.00392,0.00392,0.00392,0.40995,0.00392,0.00392,0.00392,0.00392,0.30377,0.12157,0.00392,0.12157,0.00392,4,2,0.40995,1,3,1,60.0,33.0,,93.0,0,0,86,,
