Size: 3074
know) 963 (0.313)
always) 945 (0.307)
positive) 838 (0.273)
choose) 798 (0.260)
give) 793 (0.258)
life) 639 (0.208)
think) 629 (0.205)
good) 617 (0.201)
help) 557 (0.181)
quality) 513 (0.167)
man) 482 (0.157)
thing) 470 (0.153)
love) 460 (0.150)
also) 449 (0.146)
way) 448 (0.146)
believe) 440 (0.143)
even) 425 (0.138)
see) 424 (0.138)
other) 408 (0.133)
opinion) 378 (0.123)
woman) 375 (0.122)
care) 371 (0.121)
go) 347 (0.113)
mother) 330 (0.107)
lot) 323 (0.105)
figure) 314 (0.102)
want) 302 (0.098)
strong) 301 (0.098)
important) 294 (0.096)
lead) 283 (0.092)
make) 280 (0.091)
work) 278 (0.090)
family) 267 (0.087)
child) 266 (0.087)
take) 262 (0.085)
trait) 261 (0.085)
ability) 255 (0.083)
time) 254 (0.083)
leader) 247 (0.080)
eye) 245 (0.080)
learn) 244 (0.079)
need) 240 (0.078)
optimistic) 236 (0.077)
value) 228 (0.074)
many) 226 (0.074)
friend) 223 (0.073)
fight) 222 (0.072)
try) 208 (0.068)
get) 203 (0.066)
responsible) 201 (0.065)
situation) 198 (0.064)
girl) 189 (0.061)
live) 188 (0.061)
change) 186 (0.061)
environment) 185 (0.060)
country) 184 (0.060)
smart) 183 (0.060)
look) 179 (0.058)
manage) 173 (0.056)
world) 166 (0.054)
great) 164 (0.053)
goal) 161 (0.052)
happy) 158 (0.051)
much) 157 (0.051)
first) 152 (0.049)
well) 152 (0.049)
place) 149 (0.048)
find) 145 (0.047)
sociable) 143 (0.047)
addition) 140 (0.046)
stand) 140 (0.046)
afraid) 139 (0.045)
come) 139 (0.045)
succeed) 138 (0.045)
respect) 138 (0.045)
strive) 137 (0.045)
smile) 131 (0.043)
father) 130 (0.042)
imaginary) 129 (0.042)
show) 128 (0.042)
act) 127 (0.041)
desire) 126 (0.041)
charismatic) 122 (0.040)
right) 120 (0.039)
say) 120 (0.039)
contribute) 119 (0.039)
high) 119 (0.039)
sensitive) 117 (0.038)
realistic) 116 (0.038)
end) 116 (0.038)
achieve) 116 (0.038)
example) 113 (0.037)
influence) 108 (0.035)
book) 105 (0.034)
society) 103 (0.034)
brave) 102 (0.033)
positive_trait) 101 (0.033)
different) 101 (0.033)
story) 100 (0.033)
honest) 99 (0.032)
assertive) 99 (0.032)
listen) 98 (0.032)
seem) 97 (0.032)
traits_seem) 96 (0.031)
describe) 94 (0.031)
difficult) 94 (0.031)
ambitious) 92 (0.030)
soldier) 92 (0.030)
appreciate) 91 (0.030)
commander) 91 (0.030)
talk) 91 (0.030)
support) 90 (0.029)
side) 90 (0.029)
accept) 89 (0.029)
understand) 88 (0.029)
difficulty) 87 (0.028)
