id,gender,char_g, char_t,year,t0F,t1F,t2F,t3F,t4F,t5F,t6F,t7F,t8F,t9F,t10F,t11F,t12F,t13F,t14F,t0V,t1V,t2V,t3V,t4V,t5V,t6V,t7V,t8V,t9V,t10V,t11V,t12V,t13V,t14V,t0L,t1L,t2L,t3L,t4L,t5L,t6L,t7L,t8L,t9L,t10L,t11L,t12L,t13L,t14L,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD,WORDS_N,UNIQUE_R
11843694,1,0,2,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00426,0.00426,0.00426,0.25957,0.00426,0.00426,0.00426,0.25957,0.00426,0.00426,0.30213,0.13191,0.00426,0.00426,0.00426,0,0,0,12,0,0,0,12,0,0,14,11,0,0,0,1,1,1,50.0,26.0,4.0,,0,0,74,48.0,36.0,45,0.9111
11844584,1,0,1,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00571,0.34857,0.00571,0.29143,0.00571,0.00571,0.06286,0.00571,0.00571,0.23429,0.00571,0.00571,0.00571,0.00571,0.00571,0,14,0,13,0,0,11,0,0,12,0,0,0,0,0,1,1,1,80.0,25.0,5.0,,0,0,91,23.0,57.0,48,0.8958
11845311,1,0,1,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52593,0.00741,0.00741,0.00741,0.00741,0.00741,0.00741,0.00741,0.00741,0.00741,0.08148,0.30370,0.00741,0.00741,0.00741,14,0,0,0,0,0,0,0,0,0,12,13,0,0,0,1,1,1,50.0,30.0,4.0,,0,0,84,37.0,56.0,25,1.0000
11851914,0,0,3,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00364,0.00364,0.00364,0.00364,0.14909,0.00364,0.00364,0.07636,0.00364,0.04000,0.07636,0.11273,0.33091,0.18545,0.00364,0,0,0,0,12,0,0,9,0,8,9,11,14,13,0,1,1,1,70.0,,5.0,,0,0,85,64.0,,46,0.9348
11852936,1,0,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00488,0.00488,0.20000,0.49268,0.00488,0.00488,0.00488,0.00488,0.00488,0.00488,0.00488,0.20000,0.00488,0.00488,0.05366,0,0,12,14,0,0,0,0,0,0,0,12,0,0,11,1,1,1,70.0,29.0,2.0,,0,0,72,52.0,35.0,41,0.8537
12006595,0,0,4,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00690,0.69655,0.00690,0.00690,0.00690,0.00690,0.00690,0.00690,0.07586,0.00690,0.00690,0.07586,0.07586,0.00690,0.00690,0,14,0,0,0,0,0,0,11,0,0,11,11,0,0,1,1,1,30.0,,,93.0,0,0,82,33.0,6.0,29,0.8621
12041160,1,0,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00426,0.00426,0.13191,0.00426,0.00426,0.00426,0.25957,0.00426,0.00426,0.21702,0.00426,0.00426,0.34468,0.00426,0.00426,0,0,11,0,0,0,13,0,0,12,0,0,14,0,0,1,1,1,70.0,25.0,4.0,,0,0,86,42.0,,49,0.8980
12051194,1,0,1,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00741,0.00741,0.00741,0.00741,0.08148,0.00741,0.60000,0.15556,0.00741,0.00741,0.00741,0.00741,0.08148,0.00741,0.00741,0,0,0,0,11,0,14,13,0,0,0,0,11,0,0,1,1,1,90.0,25.0,5.0,,0,0,83,50.0,42.0,34,0.9118
12056880,1,0,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.11579,0.01053,0.01053,0.32632,0.01053,0.01053,0.11579,0.01053,0.11579,0.22105,0.01053,0.01053,0.01053,0.01053,0.01053,10,0,0,14,0,0,10,0,10,13,0,0,0,0,0,1,1,1,70.0,29.0,,94.0,0,0,85,,,10,1.0000
12226490,1,0,2,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.04889,0.00444,0.22667,0.00444,0.18222,0.00444,0.00444,0.00444,0.04889,0.00444,0.00444,0.00444,0.36000,0.09333,0.00444,9,0,13,0,12,0,0,0,9,0,0,0,14,11,0,1,1,1,50.0,17.0,3.0,,0,0,90,19.0,13.0,42,0.9762
12247315,1,0,3,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00408,0.04490,0.45306,0.00408,0.00408,0.00408,0.00408,0.08571,0.00408,0.16735,0.00408,0.00408,0.04490,0.16735,0.00408,0,9,14,0,0,0,0,11,0,12,0,0,9,12,0,1,1,1,80.0,33.0,5.0,,0,0,87,,17.0,48,0.9375
12261223,0,0,1,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00870,0.00870,0.00870,0.00870,0.00870,0.00870,0.26957,0.00870,0.00870,0.18261,0.00870,0.44348,0.00870,0.00870,0.00870,0,0,0,0,0,0,13,0,0,12,0,14,0,0,0,1,1,1,70.0,,5.0,,0,0,76,20.0,7.0,22,0.9091
12264918,1,0,1,2015,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.01053,0.01053,0.01053,0.32632,0.01053,0.01053,0.32632,0.01053,0.01053,0.01053,0.01053,0.22105,0.01053,0.01053,0.01053,0,0,0,13,0,0,13,0,0,0,0,12,0,0,0,1,1,1,50.0,26.0,4.0,,0,0,76,7.0,36.0,19,0.9474
