id,gender,char_g, char_t,year,t0F,t1F,t2F,t3F,t4F,t5F,t6F,t7F,t8F,t9F,t10F,t11F,t12F,t13F,t14F,t0V,t1V,t2V,t3V,t4V,t5V,t6V,t7V,t8V,t9V,t10V,t11V,t12V,t13V,t14V,t0L,t1L,t2L,t3L,t4L,t5L,t6L,t7L,t8L,t9L,t10L,t11L,t12L,t13L,t14L,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD,WORDS_N,UNIQUE_R
11531836,1,1,2,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00465,0.00465,0.00465,0.00465,0.14419,0.00465,0.05116,0.28372,0.09767,0.33023,0.00465,0.00465,0.00465,0.00465,0.05116,0,0,0,0,12,0,9,13,11,14,0,0,0,0,9,1,1,1,70,25,7,,0,0,73,9,56,37,0.9459
11556347,1,1,1,2015,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.18222,0.00444,0.27111,0.09333,0.04889,0.27111,0.00444,0.00444,0.00444,0.00444,0.04889,0.00444,0.00444,0.04889,0.00444,12,0,13,11,8,13,0,0,0,0,8,0,0,8,0,1,1,1,80,34,,94,0,1,87,5,,48,0.875
11587558,1,1,2,2015,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.35652,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.35652,0.18261,0.0087,0.0087,0.0087,13,0,0,0,0,0,0,0,0,0,13,12,0,0,0,1,1,1,70,26,6,,0,0,86,0,20,20,0.95
11781920,1,1,2,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43784,0.00541,0.00541,0.00541,0.00541,0.00541,0.00541,0.00541,0.05946,0.32973,0.00541,0.11351,0.00541,0.00541,0.00541,14,0,0,0,0,0,0,0,11,13,0,12,0,0,0,1,1,1,50,32,6,,0,0,83,,82,44,0.8864
11783220,1,1,3,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00541,0.05946,0.05946,0.05946,0.00541,0.00541,0.00541,0.00541,0.00541,0.00541,0.00541,0.00541,0.43784,0.27568,0.05946,0,9,9,9,0,0,0,0,0,0,0,0,14,13,9,1,1,1,40,22,3,,0,0,72,18,7,31,0.9032
11783427,1,1,2,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00513,0.00513,0.05641,0.00513,0.00513,0.00513,0.00513,0.00513,0.05641,0.51795,0.00513,0.05641,0.21026,0.00513,0.05641,0,0,9,0,0,0,0,0,9,14,0,9,13,0,9,1,1,1,60,30,4,,0,0,90,44,87,47,0.9149
11783744,1,1,1,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0087,0.35652,0.0087,0.0087,0.0087,0.0087,0.44348,0.0087,0.0087,0.0087,0.09565,0.0087,0.0087,0.0087,0.0087,0,13,0,0,0,0,14,0,0,0,12,0,0,0,0,1,1,1,70,34,5,,0,0,81,60,50,22,1
11783776,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0087,0.0087,0.53043,0.0087,0.0087,0.0087,0.0087,0.09565,0.0087,0.18261,0.0087,0.0087,0.09565,0.0087,0.0087,0,0,14,0,0,0,0,11,0,13,0,0,11,0,0,1,1,1,70,27,6,,0,0,89,29,87,28,1
11783844,1,1,2,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00408,0.00408,0.00408,0.00408,0.16735,0.00408,0.20816,0.00408,0.00408,0.37143,0.00408,0.00408,0.20816,0.00408,0.00408,0,0,0,0,11,0,12,0,0,14,0,0,12,0,0,1,1,1,70,30,4,,0,0,91,89,30,39,0.9231
11784651,1,1,4,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00488,0.59024,0.00488,0.00488,0.00488,0.00488,0.05366,0.00488,0.10244,0.00488,0.00488,0.05366,0.15122,0.00488,0.00488,0,14,0,0,0,0,10,0,12,0,0,10,13,0,0,1,1,1,60,27,5,,0,0,69,67,20,48,0.8958
11785198,1,1,2,2015,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.00377,0.00377,0.00377,0.00377,0.00377,0.00377,0.00377,0.00377,0.04151,0.4566,0.4566,0.00377,0.00377,0.00377,0.00377,0,0,0,0,0,0,0,0,12,13,13,0,0,0,0,1,1,1,60,33,5,,0,0,83,4,,46,0.8913
