id,gender,char_g, char_t,year,t0F,t1F,t2F,t3F,t4F,t5F,t6F,t7F,t8F,t9F,t10F,t11F,t12F,t13F,t14F,t0V,t1V,t2V,t3V,t4V,t5V,t6V,t7V,t8V,t9V,t10V,t11V,t12V,t13V,t14V,t0L,t1L,t2L,t3L,t4L,t5L,t6L,t7L,t8L,t9L,t10L,t11L,t12L,t13L,t14L,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD,WORDS_N,UNIQUE_R
11788051,1,2,4,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00541,0.05946,0.00541,0.00541,0.00541,0.05946,0.00541,0.00541,0.05946,0.00541,0.00541,0.27568,0.00541,0.00541,0.49189,0,10,0,0,0,10,0,0,10,0,0,13,0,0,14,1,1,1,60.0,28.0,2.0,,0,0,80,50.0,31.0,37,0.8919
11788886,1,2,4,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00571,0.23429,0.00571,0.40571,0.17714,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.12000,0,13,0,14,12,0,0,0,0,0,0,0,0,0,11,1,1,1,70.0,32.0,4.0,,0,0,76,43.0,31.0,28,0.8571
11789587,1,2,4,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01818,0.01818,0.01818,0.01818,0.01818,0.01818,0.01818,0.74545,0.01818,0.01818,0.01818,0.01818,0.01818,0.01818,0.01818,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,1,1,60.0,26.0,4.0,,0,0,86,78.0,95.0,7,1.0000
11845816,1,2,4,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01538,0.01538,0.01538,0.01538,0.01538,0.01538,0.78462,0.01538,0.01538,0.01538,0.01538,0.01538,0.01538,0.01538,0.01538,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,1,1,70.0,29.0,5.0,,0,0,68,,0.0,12,1.0000
11847349,1,2,1,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67619,0.00952,0.00952,0.00952,0.00952,0.00952,0.10476,0.10476,0.00952,0.00952,0.00952,0.00952,0.00952,0.00952,0.00952,14,0,0,0,0,0,12,12,0,0,0,0,0,0,0,1,1,1,70.0,34.0,3.0,,0,0,78,0.0,20.0,20,0.8500
11847375,1,2,4,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00444,0.13778,0.00444,0.00444,0.27111,0.00444,0.00444,0.18222,0.00444,0.00444,0.00444,0.36000,0.00444,0.00444,0.00444,0,11,0,0,13,0,0,12,0,0,0,14,0,0,0,1,1,1,80.0,32.0,8.0,,0,0,90,85.0,91.0,50,0.9000
11847377,1,2,4,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00645,0.00645,0.00645,0.00645,0.45806,0.00645,0.00645,0.07097,0.00645,0.00645,0.00645,0.13548,0.13548,0.00645,0.13548,0,0,0,0,14,0,0,10,0,0,0,11,11,0,11,1,1,1,50.0,31.0,4.0,,0,0,79,2.0,7.0,24,1.0000
11850554,1,2,0,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04000,0.04000,0.04000,0.04000,0.44000,0.04000,0.04000,0.04000,0.04000,0.04000,0.04000,0.04000,0.04000,0.04000,0.04000,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,1,1,70.0,28.0,4.0,,0,0,78,0.0,0.0,4,1.0000
11852920,1,2,4,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15122,0.34634,0.00488,0.00488,0.00488,0.00488,0.20000,0.00488,0.05366,0.10244,0.00488,0.00488,0.00488,0.00488,0.10244,12,14,0,0,0,0,13,0,9,10,0,0,0,0,10,1,1,1,60.0,31.0,5.0,,0,0,84,,16.0,43,0.9302
11853098,1,2,4,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00571,0.74857,0.00571,0.12000,0.00571,0.00571,0.06286,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0,14,0,13,0,0,12,0,0,0,0,0,0,0,0,1,1,1,50.0,26.0,4.0,,0,0,89,,40.0,31,0.9032
11853662,1,2,4,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16800,0.48800,0.00800,0.16800,0.00800,0.00800,0.08800,0.00800,0.00800,0.00800,0.00800,0.00800,0.00800,0.00800,0.00800,12,14,0,12,0,0,11,0,0,0,0,0,0,0,0,1,1,1,60.0,35.0,5.0,,0,0,89,67.0,65.0,21,0.9048
11855933,1,2,4,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00488,0.10244,0.00488,0.39512,0.00488,0.00488,0.15122,0.00488,0.00488,0.00488,0.00488,0.29756,0.00488,0.00488,0.00488,0,11,0,14,0,0,12,0,0,0,0,13,0,0,0,1,1,1,50.0,29.0,6.0,,0,0,77,12.0,7.0,50,0.8800
11983096,1,2,4,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00741,0.37778,0.00741,0.15556,0.00741,0.00741,0.00741,0.00741,0.00741,0.00741,0.00741,0.30370,0.00741,0.00741,0.08148,0,14,0,12,0,0,0,0,0,0,0,13,0,0,11,1,1,1,80.0,27.0,6.0,,0,0,83,50.0,74.0,21,0.9524
11990167,1,2,4,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00444,0.62667,0.00444,0.31556,0.00444,0.00444,0.00444,0.00444,0.00444,0.00444,0.00444,0.00444,0.00444,0.00444,0.00444,0,14,0,13,0,0,0,0,0,0,0,0,0,0,0,1,1,1,70.0,32.0,6.0,,0,0,94,67.0,58.0,46,0.8478
11998051,1,2,4,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.04490,0.00408,0.04490,0.49388,0.00408,0.00408,0.24898,0.00408,0.00408,0.00408,0.00408,0.12653,0.00408,0.00408,0.00408,10,0,10,14,0,0,13,0,0,0,0,12,0,0,0,1,1,1,70.0,28.0,5.0,,0,0,86,77.0,88.0,50,0.8800
11998994,1,2,4,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.11351,0.11351,0.00541,0.49189,0.00541,0.00541,0.00541,0.00541,0.00541,0.00541,0.00541,0.00541,0.05946,0.16757,0.00541,11,11,0,14,0,0,0,0,0,0,0,0,10,13,0,1,1,1,90.0,40.0,4.0,,0,0,90,40.0,83.0,36,0.9444
12059704,1,2,4,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00328,0.00328,0.16721,0.00328,0.00328,0.00328,0.00328,0.00328,0.00328,0.00328,0.06885,0.72459,0.00328,0.00328,0.00328,0,0,13,0,0,0,0,0,0,0,12,14,0,0,0,1,1,1,80.0,28.0,5.0,,0,0,90,87.0,95.0,46,0.8696
