id,gender,char_g, char_t,year,t0F,t1F,t2F,t3F,t4F,t5F,t6F,t7F,t8F,t9F,t10F,t11F,t12F,t13F,t14F,t0V,t1V,t2V,t3V,t4V,t5V,t6V,t7V,t8V,t9V,t10V,t11V,t12V,t13V,t14V,t0L,t1L,t2L,t3L,t4L,t5L,t6L,t7L,t8L,t9L,t10L,t11L,t12L,t13L,t14L,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD,WORDS_N,UNIQUE_R
11845711,0,1,2,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.01538,0.01538,0.01538,0.01538,0.01538,0.01538,0.01538,0.16923,0.01538,0.01538,0.01538,0.01538,0.63077,0.01538,0.01538,0,0,0,0,0,0,0,13,0,0,0,0,14,0,0,1,1,1,60.0,,3.0,,0,0,85,,70.0,20,1.0000
11848603,0,1,1,2015,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00328,0.00328,0.00328,0.26557,0.00328,0.26557,0.00328,0.10164,0.00328,0.00328,0.00328,0.00328,0.10164,0.00328,0.23279,0,0,0,13,0,13,0,10,0,0,0,0,10,0,12,1,1,1,40.0,,6.0,,0,0,84,64.0,73.0,52,0.9038
11851914,0,0,3,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00364,0.00364,0.00364,0.00364,0.14909,0.00364,0.00364,0.07636,0.00364,0.04000,0.07636,0.11273,0.33091,0.18545,0.00364,0,0,0,0,12,0,0,9,0,8,9,11,14,13,0,1,1,1,70.0,,5.0,,0,0,85,64.0,,46,0.9348
11855479,0,1,2,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08936,0.00426,0.00426,0.34468,0.08936,0.00426,0.04681,0.00426,0.00426,0.00426,0.00426,0.25957,0.13191,0.00426,0.00426,10,0,0,14,10,0,9,0,0,0,0,13,12,0,0,1,1,1,40.0,,4.0,,0,0,79,35.0,67.0,43,0.9767
11857157,0,1,2,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63902,0.00488,0.00488,0.00488,0.00488,0.10244,0.00488,0.00488,0.00488,0.00488,0.00488,0.00488,0.20000,0.00488,0.00488,14,0,0,0,0,12,0,0,0,0,0,0,13,0,0,1,1,1,60.0,,3.0,,0,0,86,11.0,14.0,46,0.8261
12006595,0,0,4,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00690,0.69655,0.00690,0.00690,0.00690,0.00690,0.00690,0.00690,0.07586,0.00690,0.00690,0.07586,0.07586,0.00690,0.00690,0,14,0,0,0,0,0,0,11,0,0,11,11,0,0,1,1,1,30.0,,,93.0,0,0,82,33.0,6.0,29,0.8621
12141028,0,1,2,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00317,0.00317,0.51111,0.03492,0.00317,0.03492,0.00317,0.19365,0.00317,0.00317,0.00317,0.00317,0.00317,0.19365,0.00317,0,0,14,10,0,10,0,12,0,0,0,0,0,12,0,1,1,1,60.0,,5.0,,0,0,84,22.0,16.0,49,0.9388
12261223,0,0,1,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00870,0.00870,0.00870,0.00870,0.00870,0.00870,0.26957,0.00870,0.00870,0.18261,0.00870,0.44348,0.00870,0.00870,0.00870,0,0,0,0,0,0,13,0,0,12,0,14,0,0,0,1,1,1,70.0,,5.0,,0,0,76,20.0,7.0,22,0.9091
12264794,0,1,1,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00541,0.16757,0.00541,0.00541,0.00541,0.16757,0.00541,0.00541,0.00541,0.43784,0.00541,0.00541,0.16757,0.00541,0.00541,0,11,0,0,0,11,0,0,0,14,0,0,11,0,0,1,1,1,60.0,,5.0,,0,0,71,32.0,20.0,44,0.8636
12271183,0,1,2,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00426,0.08936,0.00426,0.00426,0.00426,0.21702,0.04681,0.08936,0.34468,0.00426,0.00426,0.00426,0.00426,0.17447,0.00426,0,10,0,0,0,13,9,10,14,0,0,0,0,12,0,1,1,1,70.0,,3.0,,0,0,81,0.0,32.0,47,1.0000
