id,gender,char_g, char_t,year,t0F,t1F,t2F,t3F,t4F,t5F,t6F,t7F,t8F,t9F,t10F,t11F,t12F,t13F,t14F,t0V,t1V,t2V,t3V,t4V,t5V,t6V,t7V,t8V,t9V,t10V,t11V,t12V,t13V,t14V,t0L,t1L,t2L,t3L,t4L,t5L,t6L,t7L,t8L,t9L,t10L,t11L,t12L,t13L,t14L,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD,WORDS_N,UNIQUE_R
11531836,1,1,2,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00465,0.00465,0.00465,0.00465,0.14419,0.00465,0.05116,0.28372,0.09767,0.33023,0.00465,0.00465,0.00465,0.00465,0.05116,0,0,0,0,12,0,9,13,11,14,0,0,0,0,9,1,1,1,70.0,25.0,7.0,,0,0,73,9.0,56.0,37,0.9459
11556347,1,1,1,2015,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.18222,0.00444,0.27111,0.09333,0.04889,0.27111,0.00444,0.00444,0.00444,0.00444,0.04889,0.00444,0.00444,0.04889,0.00444,12,0,13,11,8,13,0,0,0,0,8,0,0,8,0,1,1,1,80.0,34.0,,94.0,0,1,87,5.0,,48,0.8750
11587558,1,1,2,2015,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.35652,0.00870,0.00870,0.00870,0.00870,0.00870,0.00870,0.00870,0.00870,0.00870,0.35652,0.18261,0.00870,0.00870,0.00870,13,0,0,0,0,0,0,0,0,0,13,12,0,0,0,1,1,1,70.0,26.0,6.0,,0,0,86,0.0,20.0,20,0.9500
11781920,1,1,2,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43784,0.00541,0.00541,0.00541,0.00541,0.00541,0.00541,0.00541,0.05946,0.32973,0.00541,0.11351,0.00541,0.00541,0.00541,14,0,0,0,0,0,0,0,11,13,0,12,0,0,0,1,1,1,50.0,32.0,6.0,,0,0,83,,82.0,44,0.8864
11783220,1,1,3,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00541,0.05946,0.05946,0.05946,0.00541,0.00541,0.00541,0.00541,0.00541,0.00541,0.00541,0.00541,0.43784,0.27568,0.05946,0,9,9,9,0,0,0,0,0,0,0,0,14,13,9,1,1,1,40.0,22.0,3.0,,0,0,72,18.0,7.0,31,0.9032
11783427,1,1,2,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00513,0.00513,0.05641,0.00513,0.00513,0.00513,0.00513,0.00513,0.05641,0.51795,0.00513,0.05641,0.21026,0.00513,0.05641,0,0,9,0,0,0,0,0,9,14,0,9,13,0,9,1,1,1,60.0,30.0,4.0,,0,0,90,44.0,87.0,47,0.9149
11783744,1,1,1,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00870,0.35652,0.00870,0.00870,0.00870,0.00870,0.44348,0.00870,0.00870,0.00870,0.09565,0.00870,0.00870,0.00870,0.00870,0,13,0,0,0,0,14,0,0,0,12,0,0,0,0,1,1,1,70.0,34.0,5.0,,0,0,81,60.0,50.0,22,1.0000
11783776,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00870,0.00870,0.53043,0.00870,0.00870,0.00870,0.00870,0.09565,0.00870,0.18261,0.00870,0.00870,0.09565,0.00870,0.00870,0,0,14,0,0,0,0,11,0,13,0,0,11,0,0,1,1,1,70.0,27.0,6.0,,0,0,89,29.0,87.0,28,1.0000
11783844,1,1,2,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00408,0.00408,0.00408,0.00408,0.16735,0.00408,0.20816,0.00408,0.00408,0.37143,0.00408,0.00408,0.20816,0.00408,0.00408,0,0,0,0,11,0,12,0,0,14,0,0,12,0,0,1,1,1,70.0,30.0,4.0,,0,0,91,89.0,30.0,39,0.9231
11784651,1,1,4,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00488,0.59024,0.00488,0.00488,0.00488,0.00488,0.05366,0.00488,0.10244,0.00488,0.00488,0.05366,0.15122,0.00488,0.00488,0,14,0,0,0,0,10,0,12,0,0,10,13,0,0,1,1,1,60.0,27.0,5.0,,0,0,69,67.0,20.0,48,0.8958
