0: 0.050*time, 0.050*choose, 0.050*field, 0.049*successful, 0.043*many, 0.028*consider, 0.026*engage, 0.024*world, 0.023*singer, 0.023*addition, 0.021*today, 0.020*music, 0.019*write, 0.018*famous, 0.017*excel, 0.017*creative, 0.016*career, 0.015*develop, 0.015*connect, 0.012*love, 
1: 0.075*country, 0.074*shimon_pere, 0.053*state, 0.046*work, 0.036*contribute, 0.032*figure, 0.029*many, 0.027*lot, 0.023*contribution, 0.023*great, 0.021*political, 0.020*role, 0.020*see, 0.020*man, 0.018*peace, 0.018*president, 0.018*public, 0.016*citizen, 0.016*contributed_lot, 0.015*society, 
2: 0.072*company, 0.069*work, 0.055*succeed, 0.034*idea, 0.032*successful, 0.031*manage, 0.027*set, 0.026*many, 0.026*found, 0.026*establish, 0.022*develop, 0.018*organization, 0.014*diligent, 0.014*activity, 0.014*professionally, 0.014*apple, 0.013*project, 0.011*center, 0.011*condition, 0.011*head, 
3: 0.051*rabbi, 0.040*maintain, 0.033*true, 0.030*religious, 0.025*day, 0.024*balance, 0.024*figure, 0.023*combine, 0.021*take, 0.020*commitment, 0.019*jewish, 0.017*perfect, 0.015*amazing, 0.015*active, 0.014*sincerity, 0.013*together, 0.013*say, 0.013*honesty, 0.013*area, 0.013*life, 
4: 0.095*ability, 0.058*imaginary, 0.047*skill, 0.045*figure, 0.034*command, 0.033*able, 0.030*high, 0.028*leadership, 0.027*good, 0.026*discipline, 0.025*sense_humor, 0.025*thinking, 0.018*situation, 0.017*characterize, 0.017*influence, 0.014*sense, 0.014*charisma, 0.014*management, 0.012*maintain, 0.012*influential, 
5: 0.200*help, 0.177*always, 0.095*friend, 0.053*need, 0.038*love, 0.037*good, 0.029*support, 0.023*also, 0.022*smart, 0.022*listen, 0.016*willing, 0.014*trouble, 0.014*want, 0.013*good_friend, 0.011*volunteer, 0.010*sometimes, 0.010*always_ready, 0.007*girlfriend, 0.007*turn, 0.007*often, 
6: 0.109*other, 0.104*care, 0.048*think, 0.043*honest, 0.042*quality, 0.035*sociable, 0.034*environment, 0.032*considerate, 0.028*love, 0.022*good, 0.021*kind, 0.021*tolerant, 0.020*responsible, 0.018*kind_hearte, 0.018*helpful, 0.017*sensitive, 0.017*generous, 0.017*respectful, 0.016*brave, 0.016*loyal, 
7: 0.091*difficulty, 0.074*face, 0.061*manage, 0.051*many, 0.041*pressure, 0.040*deal, 0.036*challenge, 0.030*overcome, 0.028*obstacle, 0.023*fear, 0.020*new, 0.020*afraid, 0.018*despite_difficultie, 0.016*reality, 0.016*various, 0.016*yet, 0.015*accord, 0.013*encounter, 0.013*meet, 0.011*failure, 
8: 0.087*time, 0.057*addition, 0.054*give, 0.053*choose, 0.050*first, 0.041*fact, 0.034*big, 0.028*rest, 0.028*manage, 0.027*already, 0.026*feature, 0.021*second, 0.018*compromise, 0.018*even_though, 0.018*stand, 0.015*never, 0.014*amazing, 0.014*live, 0.014*pass, 0.014*ignore, 
9: 0.050*war, 0.049*battle, 0.039*soldier, 0.036*fight, 0.027*warrior, 0.026*save, 0.023*force, 0.022*roy_klein, 0.020*courage, 0.020*sacrifice, 0.019*show, 0.019*kill, 0.018*friend, 0.017*defend, 0.015*enemy, 0.015*hero, 0.014*willing_sacrifice, 0.012*tank, 0.011*commander, 0.011*wound, 
10: 0.118*gurion, 0.058*man, 0.054*ben_gurion, 0.041*vision, 0.037*country, 0.034*david_ben, 0.028*state, 0.019*many, 0.018*example, 0.018*zionist, 0.018*historical_figure, 0.017*establish, 0.017*thank, 0.016*courage, 0.016*determine, 0.015*establishment_state, 0.014*live, 0.013*settlement, 0.013*minister, 0.013*land, 
11: 0.157*always, 0.119*strive, 0.068*give, 0.045*succeed, 0.044*try, 0.042*good, 0.031*success, 0.029*invest, 0.028*possible, 0.024*learn, 0.021*excellence, 0.018*forward, 0.017*improve, 0.017*desire, 0.015*push, 0.014*reach, 0.014*ambitious, 0.014*improvement, 0.012*result, 0.011*progress, 
12: 0.084*responsibility, 0.075*quality, 0.041*choose, 0.038*leadership, 0.037*trait, 0.027*professionalism, 0.025*honesty, 0.024*assertiveness, 0.023*seriousness, 0.021*sensitivity, 0.021*leadership_ability, 0.019*kindness, 0.019*dedication, 0.018*wisdom, 0.018*show, 0.018*determination, 0.018*diligence, 0.018*helping_other, 0.015*courage, 0.014*ambition, 
13: 0.113*friend, 0.090*time, 0.081*family, 0.064*also, 0.062*guy, 0.059*choose, 0.037*close, 0.033*lot, 0.032*brother, 0.026*name, 0.024*meet, 0.016*antigone, 0.013*almost, 0.011*maintain, 0.011*attach, 0.011*uncle, 0.011*use, 0.009*confidence, 0.009*bury, 0.008*cost, 
14: 0.232*quality, 0.082*positive, 0.080*choose, 0.065*important, 0.053*opinion, 0.033*desire, 0.028*perseverance, 0.025*seem_positive, 0.023*see, 0.022*optimism, 0.021*leadership, 0.019*modesty, 0.015*belief, 0.014*prominent, 0.013*creativity, 0.012*dominant, 0.012*influential, 0.011*tenacity, 0.011*especially, 0.011*curiosity, 
15: 0.105*say, 0.090*always, 0.081*think, 0.056*even, 0.037*word, 0.034*real, 0.034*talk, 0.029*understand, 0.025*sentence, 0.022*lie, 0.021*take, 0.019*hurt, 0.018*honest, 0.017*wrong, 0.011*deed, 0.011*offer, 0.011*face, 0.010*room, 0.010*bad, 0.010*tells_truth, 
16: 0.033*return, 0.029*officer, 0.028*go, 0.028*course, 0.026*year, 0.024*serve, 0.024*complete, 0.024*army, 0.022*first, 0.020*enlist, 0.020*move, 0.020*currently, 0.020*possible, 0.018*military_service, 0.017*unit, 0.016*force, 0.016*base, 0.015*become, 0.015*also, 0.013*day, 
17: 0.226*give, 0.097*even, 0.060*strong, 0.045*difficult, 0.042*matter, 0.036*even_though, 0.030*life, 0.028*hard, 0.020*succeed, 0.016*task, 0.016*willpower, 0.015*optimism, 0.015*stick, 0.013*light, 0.013*never_gave, 0.013*chance, 0.011*hope, 0.010*fight, 0.010*blind, 0.010*depend, 
18: 0.095*king, 0.052*change, 0.044*martin_luther, 0.035*fight, 0.031*black, 0.025*equality, 0.023*lead, 0.023*society, 0.021*leader, 0.020*right, 0.016*believe, 0.015*justice, 0.015*history, 0.014*revolution, 0.013*united_state, 0.012*struggle, 0.012*equal, 0.011*cause, 0.011*gandhi, 0.010*racism, 
19: 0.122*world, 0.056*place, 0.046*many, 0.035*new, 0.034*create, 0.032*live, 0.026*bring, 0.023*describe, 0.021*sense, 0.020*different, 0.019*common, 0.018*actually, 0.018*connect, 0.017*part, 0.017*invent, 0.016*learn, 0.014*kind, 0.013*difference, 0.013*language, 0.012*culture, 
20: 0.116*always, 0.096*positive, 0.087*see, 0.074*look, 0.056*good, 0.051*try, 0.049*side, 0.044*thing, 0.037*matter, 0.034*situation, 0.031*optimistic, 0.028*bad, 0.022*stay, 0.019*accept, 0.013*light, 0.011*half_full, 0.010*mother, 0.010*glass, 0.008*drive, 0.007*calm, 
21: 0.063*live, 0.044*leave, 0.042*decide, 0.027*stop, 0.026*city, 0.026*die, 0.024*walk, 0.024*therefore, 0.021*go, 0.020*village, 0.020*long, 0.019*name, 0.017*small, 0.017*body, 0.016*kill, 0.016*play, 0.016*doctor, 0.015*period, 0.015*almost, 0.014*house, 
22: 0.063*team, 0.051*good, 0.036*player, 0.025*play, 0.024*well, 0.022*world, 0.020*win, 0.017*lead, 0.016*train, 0.015*game, 0.015*start, 0.015*hard_work, 0.015*champion, 0.014*captain, 0.014*take, 0.013*training, 0.013*place, 0.013*coach, 0.012*come, 0.012*manage, 
23: 0.076*student, 0.075*teacher, 0.067*teach, 0.048*high_school, 0.045*school, 0.039*educator, 0.036*study, 0.036*class, 0.034*also, 0.033*education, 0.021*name, 0.020*invest, 0.020*professional, 0.014*grade, 0.012*home, 0.012*material, 0.012*instructor, 0.011*profession, 0.010*job, 0.010*excellent, 
24: 0.089*afraid, 0.086*believe, 0.073*way, 0.056*strong, 0.046*stand, 0.036*lead, 0.034*figure, 0.029*true, 0.026*dare, 0.025*change, 0.021*belief, 0.020*brave, 0.015*path, 0.015*faith, 0.015*truth, 0.015*act, 0.013*current, 0.012*take_risk, 0.011*much, 0.009*risk, 
25: 0.069*take, 0.057*positive, 0.056*way, 0.056*happy, 0.055*thing, 0.053*life, 0.052*good, 0.049*optimistic, 0.047*look, 0.046*always, 0.034*smile, 0.028*enjoy, 0.028*find, 0.024*make, 0.023*think, 0.021*side, 0.014*positively, 0.013*attitude, 0.012*easily, 0.010*funny, 
26: 0.056*field, 0.037*also, 0.032*study, 0.032*many, 0.030*world, 0.025*knowledge, 0.024*research, 0.020*work, 0.018*maimonide, 0.018*humanity, 0.017*university, 0.016*genius, 0.015*scientist, 0.015*area, 0.015*science, 0.012*physics, 0.011*discover, 0.011*invention, 0.010*history, 0.010*mind, 
27: 0.075*even, 0.058*come, 0.058*continue, 0.054*year, 0.043*brother, 0.041*still, 0.036*lose, 0.035*first, 0.025*end, 0.020*become, 0.020*escape, 0.019*prison, 0.017*freedom, 0.014*enter, 0.014*begin, 0.013*pay, 0.012*condition, 0.012*plane, 0.011*land, 0.011*series, 
28: 0.153*commander, 0.122*soldier, 0.042*officer, 0.035*choose, 0.031*command, 0.028*professional, 0.022*fighter, 0.020*level, 0.019*subordinate, 0.016*value, 0.015*track, 0.013*army, 0.012*unit, 0.011*military_service, 0.011*former, 0.011*demand, 0.010*idf, 0.009*zion, 0.009*serve, 0.009*personal_example, 
29: 0.090*see, 0.048*first, 0.043*place, 0.040*point, 0.040*go, 0.039*find, 0.034*huge, 0.031*possible, 0.030*promote, 0.029*whole, 0.029*survive, 0.028*manage, 0.027*number, 0.026*exist, 0.019*take, 0.018*way, 0.016*low, 0.016*include, 0.015*process, 0.013*came_mind, 
30: 0.175*make, 0.090*know, 0.065*decision, 0.052*leader, 0.047*afraid, 0.036*mistake, 0.036*choice, 0.032*lead, 0.023*action, 0.021*difficult_decision, 0.017*correct, 0.014*willing, 0.014*take_responsibility, 0.014*follow, 0.013*brave, 0.012*stand, 0.012*enough, 0.011*sometimes, 0.010*admit, 0.010*make_mistake, 
31: 0.131*help, 0.115*always, 0.102*other, 0.084*care, 0.080*put, 0.046*need, 0.037*want, 0.029*first, 0.024*personal, 0.019*take_care, 0.019*front, 0.017*interest, 0.013*detail, 0.012*effort, 0.011*matter, 0.011*individual, 0.010*aside, 0.007*knows_listen, 0.006*problem, 0.006*girl, 
32: 0.064*opinion, 0.064*also, 0.055*different, 0.045*accept, 0.039*willing, 0.038*environment, 0.034*know, 0.033*open, 0.032*other, 0.032*listen, 0.031*society, 0.026*aware, 0.023*understand, 0.021*criticism, 0.016*knows_accept, 0.015*non, 0.015*hear, 0.014*social, 0.014*contain, 0.012*arrogant, 
33: 0.109*goal, 0.065*achieve, 0.064*fight, 0.059*give, 0.046*even, 0.035*want, 0.034*purpose, 0.030*eye, 0.028*set, 0.027*stubborn, 0.026*ambitious, 0.024*mission, 0.023*principle, 0.018*stick, 0.018*reach, 0.017*action, 0.017*along_way, 0.017*adhere, 0.017*determine, 0.016*motivate, 
34: 0.248*life, 0.086*man, 0.083*work, 0.068*live, 0.048*whole, 0.031*devote, 0.021*benefit, 0.019*dedicate, 0.018*dedicated, 0.017*willing_give, 0.017*spend, 0.014*sacrifice, 0.012*turn, 0.011*choice, 0.009*entire, 0.008*daily, 0.008*involve, 0.007*sake, 0.006*historical, 0.006*gain, 
35: 0.113*example, 0.094*value, 0.074*figure, 0.045*personality, 0.040*lead, 0.029*role_model, 0.018*set, 0.018*motivation, 0.018*serve, 0.016*striving_excellence, 0.014*represent, 0.013*way, 0.013*personal_example, 0.011*model, 0.011*criticize, 0.011*put, 0.010*inspire, 0.010*set_personal, 0.010*exemplary, 0.010*purpose, 
