id,gender,char_g, char_t,year,t0F,t1F,t2F,t3F,t4F,t5F,t6F,t7F,t8F,t9F,t0V,t1V,t2V,t3V,t4V,t5V,t6V,t7V,t8V,t9V,t0L,t1L,t2L,t3L,t4L,t5L,t6L,t7L,t8L,t9L,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD,WORDS_N,UNIQUE_R,Close_type
11531836,1,1,2,2015,0,0,0,0,0,1,0,0,0,0,0.10000,0.00476,0.00476,0.33810,0.00476,0.38571,0.05238,0.10000,0.00476,0.00476,6,0,0,8,0,9,5,6,0,0,1,1,1,70.0,25.0,7.0,,0,0,73,9.0,56.0,37,0.9459,0
11556347,1,1,1,2015,0,0,0,0,0,0,0,0,1,0,0.18636,0.23182,0.00455,0.00455,0.05000,0.00455,0.00455,0.14091,0.36818,0.00455,7,8,0,0,5,0,0,6,9,0,1,1,1,80.0,34.0,,94.0,0,1,87,5.0,,48,0.8750,4
11587558,1,1,2,2015,0,0,0,0,0,0,0,0,0,1,0.00909,0.00909,0.10000,0.00909,0.19091,0.10000,0.00909,0.10000,0.00909,0.46364,0,0,5,0,8,5,0,5,0,9,1,1,1,70.0,26.0,6.0,,0,0,86,0.0,20.0,20,0.9500,0
11781920,1,1,2,2015,0,0,0,0,1,0,0,0,0,0,0.00556,0.00556,0.00556,0.00556,0.50556,0.45000,0.00556,0.00556,0.00556,0.00556,0,0,0,0,9,8,0,0,0,0,1,1,1,50.0,32.0,6.0,,0,0,83,,82.0,44,0.8864,0
11783220,1,1,3,2015,0,0,1,0,0,0,0,0,0,0,0.28333,0.00556,0.61667,0.00556,0.00556,0.06111,0.00556,0.00556,0.00556,0.00556,8,0,9,0,0,7,0,0,0,0,1,1,1,40.0,22.0,3.0,,0,0,72,18.0,7.0,31,0.9032,0
11783427,1,1,2,2015,0,0,0,0,0,1,0,0,0,0,0.16316,0.21579,0.00526,0.00526,0.00526,0.37368,0.11053,0.11053,0.00526,0.00526,7,8,0,0,0,9,5,5,0,0,1,1,1,60.0,30.0,4.0,,0,0,90,44.0,87.0,47,0.9149,0
11783744,1,1,1,2015,0,0,0,0,0,0,1,0,0,0,0.00909,0.00909,0.00909,0.00909,0.00909,0.00909,0.91818,0.00909,0.00909,0.00909,0,0,0,0,0,0,9,0,0,0,1,1,1,70.0,34.0,5.0,,0,0,81,60.0,50.0,22,1.0000,3
11783776,1,1,1,2015,0,0,0,1,0,0,0,0,0,0,0.00909,0.00909,0.00909,0.55455,0.00909,0.00909,0.00909,0.10000,0.28182,0.00909,0,0,0,9,0,0,0,7,8,0,1,1,1,70.0,27.0,6.0,,0,0,89,29.0,87.0,28,1.0000,1
11783844,1,1,2,2015,0,0,0,0,0,1,0,0,0,0,0.21250,0.00417,0.00417,0.00417,0.00417,0.58750,0.17083,0.00417,0.00417,0.00417,8,0,0,0,0,9,7,0,0,0,1,1,1,70.0,30.0,4.0,,0,0,91,89.0,30.0,39,0.9231,0
11784651,1,1,4,2015,0,0,1,0,0,0,0,0,0,0,0.00500,0.35500,0.45500,0.05500,0.00500,0.00500,0.00500,0.05500,0.00500,0.05500,0,8,9,5,0,0,0,5,0,5,1,1,1,60.0,27.0,5.0,,0,0,69,67.0,20.0,48,0.8958,0
11785198,1,1,2,2015,0,0,0,0,0,0,0,1,0,0,0.00385,0.08077,0.00385,0.23462,0.00385,0.11923,0.00385,0.42692,0.00385,0.11923,0,5,0,8,0,6,0,9,0,6,1,1,1,60.0,33.0,5.0,,0,0,83,4.0,,46,0.8913,0
11786185,1,1,2,2015,0,0,0,1,0,0,0,0,0,0,0.12400,0.00400,0.00400,0.68400,0.00400,0.04400,0.00400,0.00400,0.04400,0.08400,8,0,0,9,0,5,0,0,5,7,1,1,1,60.0,32.0,,94.0,0,0,81,,,43,0.9070,0
11788051,1,2,4,2015,0,0,1,0,0,0,0,0,0,0,0.00556,0.06111,0.61667,0.00556,0.00556,0.00556,0.28333,0.00556,0.00556,0.00556,0,7,9,0,0,0,8,0,0,0,1,1,1,60.0,28.0,2.0,,0,0,80,50.0,31.0,37,0.8919,0
11788407,1,1,1,2015,0,0,0,0,1,0,0,0,0,0,0.01000,0.01000,0.31000,0.01000,0.41000,0.01000,0.01000,0.01000,0.11000,0.11000,0,0,8,0,9,0,0,0,6,6,1,1,1,60.0,34.0,5.0,,0,0,85,26.0,50.0,20,1.0000,2
11788886,1,2,4,2015,0,0,0,0,0,0,1,0,0,0,0.00588,0.24118,0.30000,0.00588,0.00588,0.00588,0.41765,0.00588,0.00588,0.00588,0,7,8,0,0,0,9,0,0,0,1,1,1,70.0,32.0,4.0,,0,0,76,43.0,31.0,28,0.8571,0
11788958,1,1,2,2015,0,0,0,1,0,0,0,0,0,0,0.00345,0.00345,0.00345,0.38276,0.00345,0.31379,0.17586,0.00345,0.03793,0.07241,0,0,0,9,0,8,7,0,5,6,1,1,0,80.0,28.0,3.0,,0,0,0,84.0,25.0,44,0.9091,0
11789566,1,1,4,2015,0,0,0,0,0,0,1,0,0,0,0.00588,0.00588,0.00588,0.00588,0.00588,0.00588,0.53529,0.00588,0.41765,0.00588,0,0,0,0,0,0,9,0,8,0,1,1,1,60.0,35.0,5.0,,0,0,85,28.0,50.0,29,0.9310,0
11789585,1,1,2,2015,1,0,0,0,0,0,0,0,0,0,0.46250,0.21250,0.00417,0.17083,0.12917,0.00417,0.00417,0.00417,0.00417,0.00417,9,8,0,7,6,0,0,0,0,0,1,1,1,60.0,31.0,6.0,,0,0,85,39.0,82.0,49,0.8776,0
11789587,1,2,4,2015,0,0,0,0,0,0,1,0,0,0,0.02000,0.02000,0.02000,0.02000,0.02000,0.02000,0.82000,0.02000,0.02000,0.02000,0,0,0,0,0,0,9,0,0,0,1,1,1,60.0,26.0,4.0,,0,0,86,78.0,95.0,7,1.0000,0
11789905,1,1,2,2015,0,0,0,1,0,0,0,0,0,0,0.05789,0.26842,0.00526,0.32105,0.00526,0.16316,0.00526,0.05789,0.00526,0.11053,4,8,0,9,0,7,0,4,0,6,1,1,1,70.0,27.0,4.0,,0,0,82,,35.0,46,0.9130,0
11789906,1,1,3,2015,0,0,0,0,0,0,0,0,1,0,0.00625,0.13125,0.00625,0.06875,0.25625,0.00625,0.00625,0.00625,0.50625,0.00625,0,7,0,6,8,0,0,0,9,0,1,1,1,60.0,35.0,6.0,,0,0,74,32.0,59.0,34,0.9118,0
11789919,1,1,2,2015,1,0,0,0,0,0,0,0,0,0,0.86818,0.00455,0.00455,0.00455,0.00455,0.00455,0.09545,0.00455,0.00455,0.00455,9,0,0,0,0,0,8,0,0,0,1,1,1,60.0,33.0,6.0,,0,0,89,50.0,,46,0.9130,0
11789922,1,1,2,2015,0,0,0,0,1,0,0,0,0,0,0.00500,0.35500,0.00500,0.00500,0.40500,0.20500,0.00500,0.00500,0.00500,0.00500,0,8,0,0,9,7,0,0,0,0,1,1,1,90.0,35.0,8.0,,0,0,88,25.0,68.0,37,0.9459,0
11789924,1,1,2,2015,0,0,0,0,0,1,0,0,0,0,0.00588,0.24118,0.00588,0.00588,0.00588,0.41765,0.06471,0.00588,0.00588,0.24118,0,7,0,0,0,9,6,0,0,7,1,1,1,70.0,33.0,5.0,,0,0,87,,43.0,33,0.9394,0
11789931,1,1,2,2015,0,0,0,1,0,0,0,0,0,0,0.01429,0.01429,0.01429,0.58571,0.30000,0.01429,0.01429,0.01429,0.01429,0.01429,0,0,0,9,8,0,0,0,0,0,1,1,1,50.0,33.0,5.0,,0,0,90,58.0,30.0,11,1.0000,0
11842706,1,1,1,2015,0,1,0,0,0,0,0,0,0,0,0.04231,0.42692,0.00385,0.00385,0.23462,0.11923,0.00385,0.00385,0.00385,0.15769,5,9,0,0,8,6,0,0,0,7,1,1,1,50.0,34.0,6.0,,0,1,92,61.0,78.0,48,0.9375,6
11842809,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0.00625,0.00625,0.50625,0.00625,0.19375,0.19375,0.06875,0.00625,0.00625,0.00625,0,0,9,0,7,7,6,0,0,0,1,1,1,60.0,29.0,3.0,,0,0,78,,8.0,32,0.9688,6
