id,sex,year,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11531836,1,2015,0.052,0.031,0.046,0.024,0.030,0.032,0.030,0.029,0.103,0.049,0.019,0.057,4,1,0.42925,1,1,1,70.0,25.0,7.0,,0,0,73,9.0,56.0
11556347,1,2015,0.070,0.051,0.118,0.078,0.028,0.022,0.052,0.041,0.027,0.045,0.059,0.120,2,1,0.40991,1,1,1,80.0,34.0,,94.0,0,1,87,5.0,
11587558,1,2015,0.045,0.028,0.009,0.023,0.008,0.012,0.000,0.000,0.029,0.011,0.064,0.028,3,1,0.36607,1,1,1,70.0,26.0,6.0,,0,0,86,0.0,20.0
11781920,1,2015,0.008,0.016,0.000,0.025,0.000,0.000,0.020,0.000,0.012,0.009,0.062,0.000,3,2,0.39011,1,1,1,50.0,32.0,6.0,,0,0,83,,82.0
11783220,1,2015,0.008,0.081,0.033,0.012,0.020,0.008,0.000,0.011,0.053,0.021,0.046,0.129,2,2,0.44505,1,1,1,40.0,22.0,3.0,,0,0,72,18.0,7.0
11783427,1,2015,0.025,0.000,0.011,0.031,0.026,0.010,0.017,0.000,0.007,0.049,0.000,0.000,2,1,0.63021,1,1,1,60.0,30.0,4.0,,0,0,90,44.0,87.0
11783744,1,2015,0.000,0.037,0.028,0.000,0.008,0.009,0.009,0.000,0.024,0.008,0.000,0.034,2,1,0.63393,1,1,1,70.0,34.0,5.0,,0,0,81,60.0,50.0
11783776,1,2015,0.000,0.000,0.037,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,2,2,0.54464,1,1,1,70.0,27.0,6.0,,0,0,89,29.0,87.0
11783844,1,2015,0.035,0.067,0.031,0.030,0.010,0.017,0.012,0.041,0.048,0.048,0.046,0.026,4,2,0.33471,1,1,1,70.0,30.0,4.0,,0,0,91,89.0,30.0
11784651,1,2015,0.034,0.012,0.020,0.041,0.027,0.029,0.010,0.000,0.056,0.030,0.009,0.049,5,1,0.30198,1,1,1,60.0,27.0,5.0,,0,0,69,67.0,20.0
11785198,1,2015,0.025,0.000,0.011,0.046,0.019,0.010,0.010,0.000,0.012,0.027,0.013,0.000,3,1,0.46183,1,1,1,60.0,33.0,5.0,,0,0,83,4.0,
11786185,1,2015,0.028,0.031,0.000,0.000,0.021,0.014,0.012,0.000,0.106,0.011,0.013,0.024,3,1,0.48016,1,1,1,60.0,32.0,,94.0,0,0,81,,
11788051,1,2015,0.012,0.032,0.022,0.031,0.018,0.040,0.009,0.019,0.019,0.000,0.000,0.024,2,1,0.66484,1,1,1,60.0,28.0,2.0,,0,0,80,50.0,31.0
11788407,1,2015,0.000,0.025,0.023,0.000,0.000,0.000,0.000,0.000,0.008,0.008,0.013,0.000,5,1,0.40196,1,1,1,60.0,34.0,5.0,,0,0,85,26.0,50.0
11788886,1,2015,0.101,0.033,0.057,0.108,0.076,0.039,0.030,0.012,0.103,0.057,0.012,0.069,3,1,0.41279,1,1,1,70.0,32.0,4.0,,0,0,76,43.0,31.0
11788958,1,2015,0.021,0.000,0.000,0.011,0.017,0.012,0.000,0.008,0.000,0.018,0.022,0.020,4,1,0.34589,1,1,0,80.0,28.0,3.0,,0,0,0,84.0,25.0
11789566,1,2015,0.000,0.012,0.038,0.013,0.008,0.009,0.008,0.000,0.057,0.011,0.025,0.060,2,2,0.47093,1,1,1,60.0,35.0,5.0,,0,0,85,28.0,50.0
11789585,1,2015,0.065,0.000,0.011,0.046,0.026,0.033,0.010,0.027,0.009,0.019,0.000,0.015,2,1,0.62397,1,1,1,60.0,31.0,6.0,,0,0,85,39.0,82.0
11789587,1,2015,0.012,0.013,0.022,0.015,0.000,0.008,0.000,0.019,0.019,0.000,0.000,0.011,2,1,0.59615,1,1,1,60.0,26.0,4.0,,0,0,86,78.0,95.0
11789905,1,2015,0.030,0.000,0.024,0.038,0.009,0.012,0.030,0.017,0.000,0.009,0.009,0.018,3,1,0.52604,1,1,1,70.0,27.0,4.0,,0,0,82,,35.0
11789906,1,2015,0.011,0.022,0.009,0.000,0.024,0.000,0.007,0.022,0.090,0.000,0.000,0.024,5,0,0.19136,1,1,1,60.0,35.0,6.0,,0,0,74,32.0,59.0
11789919,1,2015,0.017,0.000,0.024,0.022,0.009,0.011,0.026,0.034,0.012,0.000,0.025,0.018,2,1,0.54505,1,1,1,60.0,33.0,6.0,,0,0,89,50.0,
11789922,1,2015,0.057,0.074,0.045,0.024,0.000,0.000,0.033,0.028,0.000,0.026,0.130,0.013,4,1,0.35149,1,1,1,90.0,35.0,8.0,,0,0,88,25.0,68.0
11789924,1,2015,0.083,0.055,0.048,0.069,0.046,0.010,0.022,0.014,0.101,0.045,0.037,0.093,3,1,0.41279,1,1,1,70.0,33.0,5.0,,0,0,87,,43.0
11789931,1,2015,0.016,0.000,0.000,0.000,0.008,0.015,0.000,0.000,0.000,0.000,0.009,0.000,4,1,0.43056,1,1,1,50.0,33.0,5.0,,0,0,90,58.0,30.0
11842706,1,2015,0.037,0.016,0.000,0.053,0.000,0.042,0.012,0.000,0.000,0.010,0.046,0.000,3,1,0.34733,1,1,1,50.0,34.0,6.0,,0,1,92,61.0,78.0
11842809,1,2015,0.045,0.045,0.068,0.031,0.058,0.010,0.028,0.017,0.123,0.060,0.030,0.088,4,2,0.31481,1,1,1,60.0,29.0,3.0,,0,0,78,,8.0
11842833,1,2015,0.012,0.049,0.070,0.015,0.000,0.008,0.000,0.019,0.073,0.026,0.025,0.149,3,1,0.33553,1,1,1,60.0,30.0,4.0,,0,0,74,36.0,57.0
11842876,1,2015,0.023,0.031,0.031,0.057,0.007,0.000,0.026,0.014,0.000,0.013,0.065,0.000,3,1,0.47845,1,1,1,90.0,30.0,4.0,,0,0,82,,54.0
11842885,1,2015,0.078,0.085,0.046,0.112,0.074,0.086,0.041,0.000,0.160,0.058,0.092,0.173,3,1,0.43534,1,1,1,80.0,27.0,6.0,,0,0,84,87.0,31.0
