id,sex,year,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11531836,1,2015,0.000,0.070,0.048,0.046,0.033,0.056,0.047,0.025,0.065,0.027,0.115,0.046,0.248,0.090,4,1,0.43162,1,1,1,70,25.0,7.0,,0,0,73,9.0,56.0
11556347,1,2015,0.089,0.136,0.034,0.041,0.047,0.030,0.018,0.115,0.058,0.082,0.077,0.033,0.043,0.025,3,2,0.34615,1,1,1,80,34.0,,94.0,0,1,87,5.0,
11587558,1,2015,0.013,0.011,0.000,0.043,0.000,0.000,0.000,0.000,0.054,0.034,0.067,0.000,0.031,0.000,4,0,0.25000,1,1,1,70,26.0,6.0,,0,0,86,0.0,20.0
11781920,1,2015,0.095,0.020,0.000,0.000,0.000,0.029,0.016,0.029,0.000,0.000,0.077,0.000,0.012,0.025,3,1,0.58482,1,1,1,50,32.0,6.0,,0,0,83,,82.0
11783220,1,2015,0.000,0.020,0.000,0.000,0.058,0.000,0.018,0.021,0.105,0.141,0.039,0.032,0.028,0.067,4,0,0.26289,1,1,1,40,22.0,3.0,,0,0,72,18.0,7.0
11783427,1,2015,0.000,0.000,0.031,0.000,0.042,0.016,0.000,0.016,0.018,0.000,0.016,0.000,0.045,0.017,4,0,0.26623,1,1,1,60,30.0,4.0,,0,0,90,44.0,87.0
11783744,1,2015,0.025,0.000,0.000,0.000,0.081,0.035,0.000,0.000,0.095,0.063,0.000,0.000,0.000,0.000,3,1,0.52985,1,1,1,70,34.0,5.0,,0,0,81,60.0,50.0
11783776,1,2015,0.000,0.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.021,3,0,0.25000,1,1,1,70,27.0,6.0,,0,0,89,29.0,87.0
11783844,1,2015,0.012,0.035,0.031,0.000,0.036,0.108,0.040,0.025,0.052,0.025,0.109,0.049,0.113,0.000,5,0,0.20902,1,1,1,70,30.0,4.0,,0,0,91,89.0,30.0
11784651,1,2015,0.103,0.011,0.000,0.104,0.021,0.046,0.000,0.044,0.091,0.078,0.000,0.051,0.023,0.067,3,1,0.31890,1,1,1,60,27.0,5.0,,0,0,69,67.0,20.0
11785198,1,2015,0.070,0.000,0.000,0.027,0.000,0.050,0.116,0.028,0.000,0.000,0.086,0.059,0.023,0.074,4,1,0.32166,1,1,1,60,33.0,5.0,,0,0,83,4.0,
11786185,1,2015,0.000,0.000,0.000,0.046,0.033,0.036,0.000,0.000,0.022,0.000,0.068,0.046,0.077,0.090,2,1,0.43701,1,1,1,60,32.0,,94.0,0,0,81,,
11788051,1,2015,0.000,0.023,0.000,0.045,0.021,0.086,0.016,0.016,0.000,0.047,0.000,0.070,0.000,0.032,4,1,0.51869,1,1,1,60,28.0,2.0,,0,0,80,50.0,31.0
11788407,1,2015,0.000,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.026,0.021,0.000,0.000,0.000,3,0,0.25000,1,1,1,60,34.0,5.0,,0,0,85,26.0,50.0
11788886,1,2015,0.108,0.000,0.031,0.146,0.095,0.060,0.000,0.081,0.106,0.015,0.028,0.000,0.114,0.190,3,1,0.54412,1,1,1,70,32.0,4.0,,0,0,76,43.0,31.0
11788958,1,2015,0.000,0.012,0.040,0.014,0.000,0.020,0.000,0.062,0.018,0.000,0.000,0.029,0.012,0.000,4,0,0.27551,1,1,0,80,28.0,3.0,,0,0,0,84.0,25.0
11789566,1,2015,0.028,0.032,0.058,0.000,0.015,0.000,0.016,0.054,0.109,0.056,0.000,0.033,0.020,0.000,5,1,0.35057,1,1,1,60,35.0,5.0,,0,0,85,28.0,50.0
11789585,1,2015,0.054,0.000,0.046,0.027,0.000,0.089,0.016,0.068,0.031,0.000,0.010,0.030,0.023,0.052,3,1,0.43162,1,1,1,60,31.0,6.0,,0,0,85,39.0,82.0
11789587,1,2015,0.000,0.000,0.000,0.000,0.021,0.072,0.000,0.000,0.000,0.025,0.000,0.035,0.000,0.000,2,1,0.57407,1,1,1,60,26.0,4.0,,0,0,86,78.0,95.0
11789905,1,2015,0.031,0.067,0.000,0.028,0.000,0.000,0.114,0.083,0.000,0.000,0.077,0.000,0.056,0.000,2,1,0.33178,1,1,1,70,27.0,4.0,,0,0,82,,35.0
11789906,1,2015,0.032,0.020,0.041,0.092,0.099,0.014,0.000,0.000,0.057,0.000,0.000,0.030,0.100,0.193,5,1,0.33152,1,1,1,60,35.0,6.0,,0,0,74,32.0,59.0
11789919,1,2015,0.027,0.073,0.000,0.000,0.000,0.000,0.016,0.060,0.000,0.000,0.083,0.022,0.000,0.000,4,1,0.36161,1,1,1,60,33.0,6.0,,0,0,89,50.0,
11789922,1,2015,0.023,0.000,0.085,0.026,0.035,0.014,0.013,0.050,0.026,0.000,0.149,0.080,0.085,0.000,4,0,0.26068,1,1,1,90,35.0,8.0,,0,0,88,25.0,68.0
11789924,1,2015,0.092,0.000,0.034,0.159,0.083,0.030,0.043,0.053,0.056,0.119,0.000,0.033,0.209,0.088,3,1,0.52062,1,1,1,70,33.0,5.0,,0,0,87,,43.0
11789931,1,2015,0.000,0.000,0.000,0.075,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.031,0.000,3,1,0.55405,1,1,1,50,33.0,5.0,,0,0,90,58.0,30.0
11842706,1,2015,0.170,0.020,0.029,0.094,0.012,0.030,0.013,0.062,0.000,0.000,0.095,0.000,0.000,0.075,2,2,0.45833,1,1,1,50,34.0,6.0,,0,1,92,61.0,78.0
11842809,1,2015,0.054,0.058,0.017,0.073,0.033,0.030,0.000,0.028,0.107,0.034,0.095,0.000,0.130,0.120,3,1,0.40805,1,1,1,60,29.0,3.0,,0,0,78,,8.0
11842833,1,2015,0.000,0.017,0.000,0.000,0.120,0.088,0.036,0.000,0.068,0.141,0.000,0.035,0.000,0.034,2,1,0.58046,1,1,1,60,30.0,4.0,,0,0,74,36.0,57.0
11842876,1,2015,0.000,0.038,0.085,0.029,0.014,0.000,0.175,0.025,0.000,0.000,0.082,0.033,0.020,0.000,3,1,0.47638,1,1,1,90,30.0,4.0,,0,0,82,,54.0
11842885,1,2015,0.136,0.020,0.000,0.218,0.062,0.060,0.018,0.072,0.119,0.133,0.049,0.070,0.080,0.113,4,1,0.31696,1,1,1,80,27.0,6.0,,0,0,84,87.0,31.0
11842961,1,2015,0.000,0.000,0.031,0.074,0.033,0.000,0.000,0.174,0.053,0.079,0.000,0.090,0.083,0.184,2,1,0.51869,1,1,1,90,32.0,6.0,,0,0,87,56.0,
11843021,1,2015,0.054,0.026,0.021,0.027,0.033,0.030,0.000,0.059,0.038,0.000,0.000,0.067,0.051,0.056,2,2,0.43293,1,1,1,60,28.0,4.0,,0,0,90,0.0,0.0
11843134,1,2015,0.013,0.000,0.036,0.000,0.000,0.036,0.051,0.000,0.073,0.037,0.042,0.029,0.043,0.000,4,1,0.38060,1,1,1,50,27.0,3.0,,0,0,79,24.0,
11843187,1,2015,0.054,0.052,0.063,0.073,0.185,0.044,0.054,0.028,0.168,0.233,0.021,0.000,0.071,0.108,4,0,0.25912,1,1,1,50,33.0,3.0,,0,0,80,,30.0
11843550,1,2015,0.122,0.000,0.029,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.034,0.000,0.000,0.025,4,1,0.41393,1,1,1,60,29.0,4.0,,0,0,84,75.0,93.0
11843567,1,2015,0.054,0.066,0.000,0.056,0.101,0.044,0.000,0.028,0.100,0.031,0.000,0.000,0.023,0.025,3,1,0.52062,1,1,1,60,34.0,5.0,,0,0,81,68.0,61.0
11843642,1,2015,0.013,0.057,0.000,0.046,0.127,0.000,0.054,0.000,0.313,0.250,0.069,0.000,0.034,0.117,2,1,0.64966,1,1,1,70,27.0,6.0,,0,0,77,26.0,
11843694,1,2015,0.000,0.193,0.000,0.104,0.117,0.030,0.045,0.000,0.090,0.030,0.191,0.016,0.034,0.063,3,2,0.34615,1,1,1,50,26.0,4.0,,0,0,74,48.0,36.0
11843713,1,2015,0.036,0.033,0.031,0.000,0.093,0.014,0.067,0.038,0.262,0.190,0.028,0.018,0.000,0.100,4,2,0.34615,1,1,1,70,29.0,4.0,,0,0,92,13.0,7.0
