id,gender,char_g, char_t,year,t0F,t1F,t2F,t3F,t4F,t5F,t6F,t7F,t8F,t9F,t10F,t11F,t12F,t13F,t14F,t0V,t1V,t2V,t3V,t4V,t5V,t6V,t7V,t8V,t9V,t10V,t11V,t12V,t13V,t14V,t0L,t1L,t2L,t3L,t4L,t5L,t6L,t7L,t8L,t9L,t10L,t11L,t12L,t13L,t14L,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD,WORDS_N,UNIQUE_R
11531836,1,1,2,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25957,0.13191,0.08936,0.00426,0.00426,0.00426,0.04681,0.13191,0.00426,0.00426,0.00426,0.00426,0.17447,0.00426,0.13191,14,10,9,0,0,0,8,10,0,0,0,0,13,0,10,1,1,1,70,25.0,7.0,,0,0,73,9.0,56.0,37,0.9459
11556347,1,1,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00426,0.21702,0.00426,0.25957,0.04681,0.00426,0.00426,0.00426,0.13191,0.21702,0.00426,0.00426,0.08936,0.00426,0.00426,0,12,0,14,9,0,0,0,11,12,0,0,10,0,0,1,1,1,80,34.0,,94.0,0,1,87,5.0,,48,0.8750
11587558,1,1,2,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00800,0.24800,0.00800,0.00800,0.00800,0.08800,0.00800,0.00800,0.00800,0.00800,0.00800,0.00800,0.32800,0.24800,0.00800,0,12,0,0,0,11,0,0,0,0,0,0,14,12,0,1,1,1,70,26.0,6.0,,0,0,86,0.0,20.0,20,0.9500
11781920,1,1,2,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09333,0.18222,0.18222,0.04889,0.00444,0.09333,0.00444,0.00444,0.00444,0.00444,0.00444,0.04889,0.00444,0.00444,0.31556,10,12,12,8,0,10,0,0,0,0,0,8,0,0,14,1,1,1,50,32.0,6.0,,0,0,83,,82.0,44,0.8864
11783220,1,1,3,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.05641,0.00513,0.00513,0.00513,0.00513,0.00513,0.05641,0.05641,0.51795,0.00513,0.00513,0.00513,0.26154,0.00513,0.00513,10,0,0,0,0,0,10,10,14,0,0,0,13,0,0,1,1,1,40,22.0,3.0,,0,0,72,18.0,7.0,31,0.9032
11783427,1,1,2,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00645,0.00645,0.13548,0.00645,0.00645,0.39355,0.00645,0.00645,0.07097,0.00645,0.26452,0.07097,0.00645,0.00645,0.00645,0,0,12,0,0,14,0,0,10,0,13,10,0,0,0,1,1,1,60,30.0,4.0,,0,0,90,44.0,87.0,47,0.9149
11783744,1,1,1,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00741,0.00741,0.00741,0.00741,0.45185,0.00741,0.00741,0.00741,0.00741,0.08148,0.00741,0.00741,0.00741,0.37778,0.00741,0,0,0,0,14,0,0,0,0,12,0,0,0,13,0,1,1,1,70,34.0,5.0,,0,0,81,60.0,50.0,22,1.0000
11783776,1,1,1,2015,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.00800,0.00800,0.00800,0.08800,0.00800,0.32800,0.00800,0.00800,0.16800,0.00800,0.32800,0.00800,0.00800,0.00800,0.00800,0,0,0,11,0,13,0,0,12,0,13,0,0,0,0,1,1,1,70,27.0,6.0,,0,0,89,29.0,87.0,28,1.0000
11783844,1,1,2,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49388,0.00408,0.00408,0.00408,0.04490,0.00408,0.00408,0.16735,0.00408,0.04490,0.00408,0.04490,0.00408,0.16735,0.00408,14,0,0,0,9,0,0,12,0,9,0,9,0,12,0,1,1,1,70,30.0,4.0,,0,0,91,89.0,30.0,39,0.9231
11784651,1,1,4,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00392,0.12157,0.00392,0.00392,0.23922,0.00392,0.00392,0.00392,0.00392,0.00392,0.35686,0.20000,0.04314,0.00392,0.00392,0,11,0,0,13,0,0,0,0,0,14,12,10,0,0,1,1,1,60,27.0,5.0,,0,0,69,67.0,20.0,48,0.8958
