id,sex,year,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11556347,1,2015,0.18222,0.00444,0.27111,0.09333,0.04889,0.27111,0.00444,0.00444,0.00444,0.00444,0.04889,0.00444,0.00444,0.04889,0.00444,3,0,0.27111,1,1,1,80.0,34.0,,94.0,0,1,87,5.0,
11842706,1,2015,0.00377,0.00377,0.04151,0.04151,0.49434,0.00377,0.11698,0.00377,0.00377,0.00377,0.19245,0.00377,0.04151,0.00377,0.04151,3,1,0.49434,1,1,1,50.0,34.0,6.0,,0,1,92,61.0,78.0
11844461,1,2015,0.01176,0.36471,0.01176,0.01176,0.01176,0.24706,0.01176,0.01176,0.01176,0.01176,0.01176,0.01176,0.24706,0.01176,0.01176,3,1,0.36471,1,1,1,60.0,28.0,7.0,,0,1,92,,5.0
11853407,1,2015,0.00408,0.12653,0.04490,0.00408,0.00408,0.00408,0.37143,0.00408,0.12653,0.00408,0.00408,0.00408,0.16735,0.04490,0.08571,4,1,0.37143,1,1,1,80.0,30.0,6.0,,0,1,91,85.0,79.0
11855360,1,2015,0.51628,0.00465,0.05116,0.00465,0.09767,0.00465,0.00465,0.00465,0.00465,0.00465,0.09767,0.00465,0.05116,0.00465,0.14419,2,1,0.51628,1,1,1,60.0,28.0,6.0,,0,1,91,10.0,14.0
11919046,1,2015,0.01176,0.71765,0.01176,0.01176,0.01176,0.12941,0.01176,0.01176,0.01176,0.01176,0.01176,0.01176,0.01176,0.01176,0.01176,2,1,0.71765,1,1,1,40.0,26.0,5.0,,0,1,85,21.0,0.0
11991043,1,2015,0.14419,0.19070,0.00465,0.05116,0.00465,0.00465,0.00465,0.05116,0.00465,0.00465,0.09767,0.00465,0.00465,0.00465,0.42326,3,1,0.42326,1,1,1,70.0,33.0,6.0,,0,1,94,45.0,
11991510,1,2015,0.00571,0.00571,0.12000,0.00571,0.00571,0.29143,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.12000,0.40571,0.00571,4,1,0.40571,1,1,1,70.0,29.0,5.0,,0,1,93,37.0,21.0
12072465,1,2015,0.10244,0.00488,0.24878,0.00488,0.29756,0.00488,0.00488,0.05366,0.00488,0.24878,0.00488,0.00488,0.00488,0.00488,0.00488,4,0,0.29756,1,1,1,60.0,32.0,,93.0,0,1,94,5.0,
12247304,1,2015,0.00392,0.00392,0.00392,0.00392,0.00392,0.00392,0.04314,0.00392,0.55294,0.04314,0.00392,0.23922,0.00392,0.00392,0.08235,2,1,0.55294,1,1,1,60.0,32.0,3.0,,0,1,89,71.0,85.0
12249542,1,2015,0.00741,0.08148,0.00741,0.22963,0.00741,0.00741,0.00741,0.00741,0.08148,0.00741,0.00741,0.30370,0.22963,0.00741,0.00741,3,1,0.30370,1,1,1,90.0,28.0,6.0,,0,1,90,62.0,88.0
12275995,1,2015,0.12727,0.06667,0.00606,0.00606,0.00606,0.49091,0.00606,0.00606,0.06667,0.06667,0.00606,0.00606,0.12727,0.00606,0.00606,3,1,0.49091,1,1,1,60.0,27.0,6.0,,0,1,90,0.0,56.0
13682848,1,2015,0.60000,0.02857,0.02857,0.02857,0.02857,0.02857,0.02857,0.02857,0.02857,0.02857,0.02857,0.02857,0.02857,0.02857,0.02857,1,1,0.60000,1,1,1,80.0,26.0,4.0,,0,1,92,8.0,0.0
13719813,1,2015,0.00426,0.00426,0.00426,0.30213,0.00426,0.00426,0.08936,0.00426,0.00426,0.00426,0.00426,0.13191,0.42979,0.00426,0.00426,3,2,0.42979,1,1,1,60.0,32.0,6.0,,0,1,91,39.0,
13724528,1,2015,0.00541,0.00541,0.00541,0.00541,0.00541,0.00541,0.11351,0.00541,0.00541,0.32973,0.38378,0.00541,0.11351,0.00541,0.00541,4,2,0.38378,1,1,1,70.0,34.0,,94.0,0,1,90,26.0,29.0
13725062,1,2015,0.00606,0.00606,0.00606,0.00606,0.00606,0.00606,0.36970,0.00606,0.12727,0.00606,0.00606,0.06667,0.00606,0.00606,0.36970,3,2,0.36970,1,1,1,70.0,31.0,5.0,,0,1,88,37.0,69.0
13735910,1,2015,0.00645,0.07097,0.13548,0.00645,0.00645,0.00645,0.00645,0.07097,0.26452,0.20000,0.20000,0.00645,0.00645,0.00645,0.00645,4,0,0.26452,1,1,1,80.0,34.0,7.0,,0,1,88,0.0,0.0
13737709,1,2015,0.02222,0.02222,0.02222,0.02222,0.02222,0.02222,0.24444,0.24444,0.02222,0.02222,0.02222,0.24444,0.02222,0.02222,0.02222,3,0,0.24444,1,1,1,60.0,30.0,2.0,,0,1,87,17.0,62.0
13738747,1,2015,0.16735,0.00408,0.00408,0.00408,0.08571,0.00408,0.61633,0.00408,0.00408,0.08571,0.00408,0.00408,0.00408,0.00408,0.00408,2,1,0.61633,1,1,1,70.0,33.0,5.0,,0,1,92,77.0,96.0
13739304,1,2015,0.08235,0.00392,0.23922,0.12157,0.00392,0.00392,0.00392,0.16078,0.00392,0.00392,0.31765,0.00392,0.00392,0.04314,0.00392,4,1,0.31765,1,1,1,60.0,40.0,8.0,,0,1,88,,53.0
13741609,1,2015,0.00377,0.00377,0.00377,0.15472,0.00377,0.19245,0.00377,0.56981,0.00377,0.00377,0.00377,0.00377,0.00377,0.04151,0.00377,3,1,0.56981,1,1,1,70.0,34.0,,93.0,0,1,89,9.0,
13750480,1,2015,0.00328,0.06885,0.00328,0.00328,0.00328,0.39672,0.00328,0.03607,0.00328,0.03607,0.00328,0.36393,0.06885,0.00328,0.00328,2,2,0.39672,1,1,1,90.0,35.0,6.0,,0,1,91,71.0,63.0
13750598,1,2015,0.00426,0.51489,0.00426,0.08936,0.00426,0.00426,0.00426,0.00426,0.00426,0.00426,0.25957,0.00426,0.04681,0.04681,0.00426,2,1,0.51489,1,1,1,70.0,34.0,6.0,,0,1,88,31.0,72.0
13761328,1,2015,0.00571,0.00571,0.00571,0.17714,0.12000,0.00571,0.00571,0.00571,0.23429,0.40571,0.00571,0.00571,0.00571,0.00571,0.00571,4,1,0.40571,1,1,1,60.0,33.0,6.0,,0,1,91,39.0,67.0
13765813,1,2015,0.00541,0.00541,0.11351,0.32973,0.00541,0.16757,0.00541,0.00541,0.00541,0.22162,0.00541,0.00541,0.00541,0.11351,0.00541,5,1,0.32973,1,1,1,70.0,29.0,6.0,,0,1,91,29.0,
13772381,1,2015,0.00377,0.23019,0.00377,0.00377,0.19245,0.00377,0.00377,0.00377,0.04151,0.04151,0.00377,0.30566,0.00377,0.00377,0.15472,4,1,0.30566,1,1,1,80.0,29.0,6.0,,0,1,87,99.0,99.0
13775443,1,2015,0.00328,0.16721,0.00328,0.00328,0.00328,0.46230,0.00328,0.00328,0.00328,0.00328,0.13443,0.16721,0.00328,0.00328,0.03607,4,1,0.46230,1,1,1,50.0,32.0,5.0,,0,1,81,46.0,47.0
13777196,1,2015,0.13443,0.00328,0.06885,0.10164,0.00328,0.00328,0.36393,0.06885,0.00328,0.00328,0.00328,0.00328,0.23279,0.00328,0.00328,4,1,0.36393,1,1,1,90.0,35.0,3.0,,0,1,87,7.0,19.0
13785316,1,2015,0.04889,0.62667,0.00444,0.00444,0.09333,0.00444,0.00444,0.00444,0.00444,0.00444,0.00444,0.00444,0.00444,0.00444,0.18222,2,1,0.62667,1,1,1,60.0,34.0,5.0,,0,1,90,41.0,
13786308,1,2015,0.00741,0.00741,0.45185,0.00741,0.08148,0.00741,0.30370,0.08148,0.00741,0.00741,0.00741,0.00741,0.00741,0.00741,0.00741,2,2,0.45185,1,1,1,50.0,28.0,5.0,,0,1,90,29.0,
13824299,1,2015,0.45185,0.00741,0.00741,0.00741,0.00741,0.00741,0.00741,0.00741,0.00741,0.37778,0.08148,0.00741,0.00741,0.00741,0.00741,2,2,0.45185,1,1,1,70.0,32.0,5.0,,0,1,86,33.0,43.0
