Size: 744
quality) 311 (0.418)
know) 195 (0.262)
appreciate) 173 (0.233)
want) 164 (0.220)
choose) 149 (0.200)
thing) 147 (0.198)
appreciate_qualitie) 137 (0.184)
give) 130 (0.175)
time) 130 (0.175)
many) 128 (0.172)
world) 127 (0.171)
leader) 121 (0.163)
other) 118 (0.159)
much) 117 (0.157)
goal) 112 (0.151)
value) 107 (0.144)
need) 107 (0.144)
trait) 107 (0.144)
learn) 105 (0.141)
get) 105 (0.141)
ability) 104 (0.140)
love) 98 (0.132)
eye) 98 (0.132)
make) 97 (0.130)
well) 96 (0.129)
come) 96 (0.129)
go) 93 (0.125)
country) 92 (0.124)
woman) 92 (0.124)
care) 92 (0.124)
help) 91 (0.122)
really_appreciate) 91 (0.122)
friend) 90 (0.121)
show) 89 (0.120)
take) 89 (0.120)
great) 89 (0.120)
addition) 87 (0.117)
family) 86 (0.116)
fight) 83 (0.112)
try) 83 (0.112)
see) 83 (0.112)
place) 81 (0.109)
believe) 80 (0.108)
achieve) 79 (0.106)
hard) 79 (0.106)
good) 73 (0.098)
soldier) 72 (0.097)
manage) 71 (0.095)
change) 71 (0.095)
figure) 70 (0.094)
commander) 67 (0.090)
strive) 66 (0.089)
succeed) 66 (0.089)
first) 66 (0.089)
lead) 65 (0.087)
difficult) 65 (0.087)
live) 64 (0.086)
continue) 64 (0.086)
end) 63 (0.085)
right) 63 (0.085)
look) 62 (0.083)
strong) 61 (0.082)
child) 61 (0.082)
day) 60 (0.081)
year) 59 (0.079)
act) 59 (0.079)
stand) 59 (0.079)
desire) 57 (0.077)
environment) 57 (0.077)
say) 57 (0.077)
dream) 56 (0.075)
mother) 55 (0.074)
human) 55 (0.074)
work) 53 (0.071)
really) 53 (0.071)
situation) 52 (0.070)
happy) 52 (0.070)
reach) 52 (0.070)
feature) 49 (0.066)
society) 49 (0.066)
courage) 48 (0.065)
book) 48 (0.065)
perseverance) 48 (0.065)
officer) 47 (0.063)
optimistic) 47 (0.063)
high) 47 (0.063)
find) 46 (0.062)
still) 45 (0.060)
leadership) 45 (0.060)
set) 45 (0.060)
inspire) 44 (0.059)
respect) 44 (0.059)
think) 44 (0.059)
become) 42 (0.056)
smile) 41 (0.055)
possible) 41 (0.055)
develop) 41 (0.055)
today) 40 (0.054)
seem) 40 (0.054)
influence) 40 (0.054)
new) 39 (0.052)
put) 39 (0.052)
matter) 39 (0.052)
different) 39 (0.052)
amazing) 39 (0.052)
