Size: 2728
know) 607 (0.223)
choose) 513 (0.188)
want) 262 (0.096)
care) 262 (0.096)
give) 247 (0.091)
believe) 244 (0.089)
go) 212 (0.078)
love) 208 (0.076)
strong) 207 (0.076)
many) 195 (0.071)
get) 179 (0.066)
take) 176 (0.065)
try) 174 (0.064)
learn) 173 (0.063)
help) 162 (0.059)
great) 161 (0.059)
lead) 157 (0.058)
see) 153 (0.056)
need) 147 (0.054)
smart) 144 (0.053)
say) 143 (0.052)
fight) 130 (0.048)
seem) 127 (0.047)
come) 126 (0.046)
make) 123 (0.045)
think) 122 (0.045)
look) 122 (0.045)
afraid) 118 (0.043)
live) 117 (0.043)
happy) 114 (0.042)
optimistic) 113 (0.041)
responsible) 113 (0.041)
manage) 112 (0.041)
good) 111 (0.041)
difficult) 111 (0.041)
high) 109 (0.040)
succeed) 105 (0.038)
show) 98 (0.036)
charismatic) 91 (0.033)
find) 90 (0.033)
humble) 88 (0.032)
strive) 87 (0.032)
imaginary) 86 (0.032)
understand) 85 (0.031)
achieve) 85 (0.031)
stand) 82 (0.030)
work) 79 (0.029)
sociable) 78 (0.029)
realistic) 77 (0.028)
continue) 77 (0.028)
act) 74 (0.027)
professional) 71 (0.026)
contribute) 71 (0.026)
accept) 70 (0.026)
honest) 69 (0.025)
reach) 69 (0.025)
whole) 67 (0.025)
listen) 66 (0.024)
different) 64 (0.023)
decide) 64 (0.023)
able) 64 (0.023)
teach) 63 (0.023)
first) 63 (0.023)
speak) 60 (0.022)
follow) 60 (0.022)
amazing) 60 (0.022)
appreciate) 60 (0.022)
change) 60 (0.022)
willing) 59 (0.022)
much) 59 (0.022)
personal) 59 (0.022)
human) 58 (0.021)
smile) 57 (0.021)
bad) 57 (0.021)
social) 56 (0.021)
save) 55 (0.020)
educate) 55 (0.020)
successful) 55 (0.020)
consider) 55 (0.020)
tell) 54 (0.020)
express) 53 (0.019)
assertive) 53 (0.019)
true) 53 (0.019)
right) 53 (0.019)
feel) 52 (0.019)
describe) 51 (0.019)
hard) 51 (0.019)
respect) 51 (0.019)
leave) 51 (0.019)
full) 51 (0.019)
set) 51 (0.019)
brave) 50 (0.018)
bring) 50 (0.018)
creative) 49 (0.018)
funny) 49 (0.018)
invest) 48 (0.018)
put) 47 (0.017)
sensitive) 46 (0.017)
serve) 46 (0.017)
serious) 45 (0.016)
let) 45 (0.016)
ambitious) 45 (0.016)
use) 45 (0.016)
possible) 44 (0.016)
call) 42 (0.015)
become) 42 (0.015)
entire) 42 (0.015)
connect) 41 (0.015)
little) 41 (0.015)
develop) 41 (0.015)
happen) 40 (0.015)
start) 40 (0.015)
create) 40 (0.015)
jewish) 40 (0.015)
name) 40 (0.015)
main) 40 (0.015)
write) 39 (0.014)
like) 39 (0.014)
do) 39 (0.014)
maintain) 39 (0.014)
ask) 38 (0.014)
open) 38 (0.014)
play) 38 (0.014)
talk) 38 (0.014)
sweep) 38 (0.014)
improve) 37 (0.014)
hear) 37 (0.014)
realize) 37 (0.014)
accord) 36 (0.013)
value) 36 (0.013)
receive) 36 (0.013)
grow) 36 (0.013)
special) 35 (0.013)
determine) 35 (0.013)
caring) 35 (0.013)
keep) 35 (0.013)
new) 35 (0.013)
confident) 34 (0.012)
excellent) 34 (0.012)
simple) 34 (0.012)
stay) 34 (0.012)
front) 34 (0.012)
well) 34 (0.012)
establish) 33 (0.012)
raise) 33 (0.012)
big) 33 (0.012)
small) 32 (0.012)
poor) 32 (0.012)
trust) 32 (0.012)
calm) 32 (0.012)
end) 32 (0.012)
face) 31 (0.011)
meet) 31 (0.011)
lose) 31 (0.011)
stop) 31 (0.011)
move) 30 (0.011)
quiet) 30 (0.011)
represent) 29 (0.011)
close) 29 (0.011)
general) 29 (0.011)
late) 29 (0.011)
modest) 29 (0.011)
traits_seem) 28 (0.010)
kill) 28 (0.010)
support) 28 (0.010)
real) 28 (0.010)
remain) 28 (0.010)
enjoy) 28 (0.010)
nice) 27 (0.010)
read) 27 (0.010)
begin) 27 (0.010)
sacrifice) 27 (0.010)
influence) 27 (0.010)
remember) 26 (0.010)
weak) 26 (0.010)
necessary) 26 (0.010)
promote) 26 (0.010)
figure) 26 (0.010)
agree) 25 (0.009)
yitzhak_rabin) 25 (0.009)
stubborn) 25 (0.009)
military) 25 (0.009)
treat) 25 (0.009)
admire) 25 (0.009)
draw) 25 (0.009)
certain) 25 (0.009)
independent) 24 (0.009)
pleasant) 24 (0.009)
decisive) 24 (0.009)
beautiful) 24 (0.009)
attentive) 24 (0.009)
cause) 24 (0.009)
loyal) 24 (0.009)
deal) 23 (0.008)
characterize) 23 (0.008)
generous) 23 (0.008)
mean) 23 (0.008)
political) 23 (0.008)
supportive) 22 (0.008)
common) 22 (0.008)
behave) 22 (0.008)
bear) 22 (0.008)
dedicated) 22 (0.008)
intelligent) 22 (0.008)
combine) 22 (0.008)
prove) 21 (0.008)
interested) 21 (0.008)
perform) 21 (0.008)
free) 21 (0.008)
menachem_begin) 21 (0.008)
wrong) 21 (0.008)
particular) 21 (0.008)
really_appreciate) 21 (0.008)
kind_hearte) 21 (0.008)
young) 20 (0.007)
stick) 20 (0.007)
tremendous) 20 (0.007)
israeli) 20 (0.007)
dominant) 20 (0.007)
inspire) 20 (0.007)
former) 20 (0.007)
turn) 20 (0.007)
huge) 20 (0.007)
solve) 19 (0.007)
encourage) 19 (0.007)
literary) 19 (0.007)
rabbi) 19 (0.007)
evil) 19 (0.007)
break) 19 (0.007)
second) 19 (0.007)
rich) 19 (0.007)
exist) 19 (0.007)
aware) 19 (0.007)
fall) 19 (0.007)
present) 18 (0.007)
donate) 18 (0.007)
carry) 18 (0.007)
require) 18 (0.007)
similar) 18 (0.007)
zionist) 18 (0.007)
complete) 18 (0.007)
easy) 18 (0.007)
spend) 18 (0.007)
impossible) 18 (0.007)
calculate) 18 (0.007)
cope) 18 (0.007)
hardworke) 17 (0.006)
correct) 17 (0.006)
die) 17 (0.006)
enter) 17 (0.006)
protect) 17 (0.006)
future) 17 (0.006)
less) 17 (0.006)
significant) 17 (0.006)
seek) 17 (0.006)
hurt) 17 (0.006)
low) 17 (0.006)
motivate) 17 (0.006)
aspire) 17 (0.006)
involve) 17 (0.006)
modesty) 17 (0.006)
moral) 17 (0.006)
curious) 17 (0.006)
public) 17 (0.006)
united_state) 17 (0.006)
walk) 16 (0.006)
prominent) 16 (0.006)
wise) 16 (0.006)
authoritative) 16 (0.006)
addition) 16 (0.006)
pass) 16 (0.006)
survive) 16 (0.006)
train) 16 (0.006)
affect) 16 (0.006)
old) 16 (0.006)
famous) 16 (0.006)
obvious) 16 (0.006)
impressive) 16 (0.006)
recognize) 16 (0.006)
run) 16 (0.006)
influential) 16 (0.006)
experience) 15 (0.005)
considerate) 15 (0.005)
specific) 15 (0.005)
mention) 15 (0.005)
various) 15 (0.005)
fail) 15 (0.005)
feature) 15 (0.005)
desire) 15 (0.005)
sure) 15 (0.005)
admirable) 15 (0.005)
found) 15 (0.005)
black) 15 (0.005)
allow) 15 (0.005)
reliable) 15 (0.005)
warm) 15 (0.005)
knows_listen) 14 (0.005)
stood_ground) 14 (0.005)
endless) 14 (0.005)
attach) 14 (0.005)
demand) 14 (0.005)
capable) 14 (0.005)
win) 14 (0.005)
dare) 14 (0.005)
perceive) 14 (0.005)
respectful) 14 (0.005)
sharp) 14 (0.005)
sweeping) 14 (0.005)
portray) 14 (0.005)
talented) 14 (0.005)
oppose) 14 (0.005)
tough) 14 (0.005)
individual) 14 (0.005)
build) 14 (0.005)
clear) 13 (0.005)
identify) 13 (0.005)
half_full) 13 (0.005)
negative) 13 (0.005)
convey) 13 (0.005)
favorite) 13 (0.005)
accompany) 13 (0.005)
emphasize) 13 (0.005)
answer) 13 (0.005)
expect) 13 (0.005)
enlist) 13 (0.005)
powerful) 13 (0.005)
janusz_korczak) 13 (0.005)
command) 13 (0.005)
sit) 13 (0.005)
risk) 13 (0.005)
non) 13 (0.005)
radiate) 13 (0.005)
patient) 13 (0.005)
active) 13 (0.005)
adhere) 13 (0.005)
ideal) 13 (0.005)
forget) 13 (0.005)
arrogant) 13 (0.005)
invent) 12 (0.004)
hide) 12 (0.004)
helpful) 12 (0.004)
laugh) 12 (0.004)
organize) 12 (0.004)
contain) 12 (0.004)
benefit) 12 (0.004)
extraordinary) 12 (0.004)
david_ben) 12 (0.004)
pay) 12 (0.004)
gentle) 12 (0.004)
due) 12 (0.004)
interesting) 12 (0.004)
worth) 12 (0.004)
extreme) 12 (0.004)
constant) 12 (0.004)
insist) 12 (0.004)
head) 12 (0.004)
progress) 12 (0.004)
study) 12 (0.004)
explain) 11 (0.004)
critical) 11 (0.004)
first_foremost) 11 (0.004)
broad) 11 (0.004)
perfect) 11 (0.004)
travel) 11 (0.004)
large) 11 (0.004)
would_like) 11 (0.004)
adore) 11 (0.004)
imagine) 11 (0.004)
matter) 11 (0.004)
motivated) 11 (0.004)
equal) 11 (0.004)
include) 11 (0.004)
settle) 11 (0.004)
last) 11 (0.004)
stress) 11 (0.004)
return) 11 (0.004)
watch) 11 (0.004)
religious) 10 (0.004)
stem) 10 (0.004)
encounter) 10 (0.004)
miss) 10 (0.004)
defend) 10 (0.004)
long) 10 (0.004)
strengthen) 10 (0.004)
hardworking) 10 (0.004)
marry) 10 (0.004)
struggle) 10 (0.004)
enough) 10 (0.004)
defeat) 10 (0.004)
base) 10 (0.004)
lack) 10 (0.004)
outstanding) 10 (0.004)
exceptional) 10 (0.004)
devote) 10 (0.004)
direct) 10 (0.004)
several) 10 (0.004)
advocate) 10 (0.004)
overcome) 9 (0.003)
orderly) 9 (0.003)
historical) 9 (0.003)
deserve) 9 (0.003)
aspiration) 9 (0.003)
volunteer) 9 (0.003)
beloved) 9 (0.003)
physical) 9 (0.003)
escape) 9 (0.003)
provide) 9 (0.003)
advance) 9 (0.003)
reflect) 9 (0.003)
eat) 9 (0.003)
dedicate) 9 (0.003)
personal_example) 9 (0.003)
depend) 9 (0.003)
push) 9 (0.003)
short) 9 (0.003)
example) 9 (0.003)
top) 9 (0.003)
engage) 9 (0.003)
mature) 9 (0.003)
daily) 9 (0.003)
fulfil) 9 (0.003)
murder) 9 (0.003)
guide) 9 (0.003)
unite) 9 (0.003)
adapt) 9 (0.003)
revere) 9 (0.003)
tolerant) 9 (0.003)
reveal) 8 (0.003)
imbue) 8 (0.003)
fictional) 8 (0.003)
current) 8 (0.003)
mulan) 8 (0.003)
crazy) 8 (0.003)
opinionate) 8 (0.003)
connected) 8 (0.003)
solid) 8 (0.003)
harm) 8 (0.003)
symbolize) 8 (0.003)
trustworthy) 8 (0.003)
light) 8 (0.003)
hold) 8 (0.003)
release) 8 (0.003)
inner) 8 (0.003)
normal) 8 (0.003)
brilliant) 8 (0.003)
lion_ke) 8 (0.003)
prepare) 8 (0.003)
diligent) 8 (0.003)
innocent) 8 (0.003)
decision_make) 8 (0.003)
shimon_pere) 8 (0.003)
dream) 8 (0.003)
peaceful) 8 (0.003)
gain) 8 (0.003)
commit) 8 (0.003)
function) 8 (0.003)
exemplary) 8 (0.003)
blind) 8 (0.003)
