Size: 435
person) 172 (0.395)
character) 161 (0.370)
people) 145 (0.333)
know) 129 (0.297)
always) 125 (0.287)
man) 110 (0.253)
positive) 105 (0.241)
give) 90 (0.207)
choose) 89 (0.205)
quality) 89 (0.205)
good) 89 (0.205)
life) 83 (0.191)
help) 70 (0.161)
value) 59 (0.136)
love) 59 (0.136)
thing) 55 (0.126)
make) 55 (0.126)
think) 54 (0.124)
care) 53 (0.122)
way) 51 (0.117)
also) 51 (0.117)
other) 50 (0.115)
take) 50 (0.115)
leader) 49 (0.113)
lead) 48 (0.110)
go) 45 (0.103)
see) 44 (0.101)
believe) 44 (0.101)
work) 43 (0.099)
many) 41 (0.094)
figure) 41 (0.094)
even) 41 (0.094)
want) 40 (0.092)
character_trait) 40 (0.092)
lot) 40 (0.092)
time) 38 (0.087)
opinion) 37 (0.085)
great) 36 (0.083)
come) 35 (0.080)
important) 35 (0.080)
learn) 35 (0.080)
commander) 35 (0.080)
family) 34 (0.078)
ability) 34 (0.078)
humble) 33 (0.076)
get) 33 (0.076)
strive) 32 (0.074)
soldier) 32 (0.074)
well) 30 (0.069)
charismatic) 30 (0.069)
strong) 30 (0.069)
fight) 29 (0.067)
change) 29 (0.067)
country) 29 (0.067)
eye) 29 (0.067)
need) 29 (0.067)
goal) 29 (0.067)
stand) 28 (0.064)
respect) 28 (0.064)
friend) 27 (0.062)
child) 23 (0.053)
try) 23 (0.053)
set) 23 (0.053)
responsible) 23 (0.053)
high) 23 (0.053)
addition) 23 (0.053)
year) 22 (0.051)
desire) 22 (0.051)
seem) 21 (0.048)
decision) 21 (0.048)
say) 21 (0.048)
world) 20 (0.046)
human) 20 (0.046)
afraid) 20 (0.046)
succeed) 20 (0.046)
live) 20 (0.046)
look) 19 (0.044)
situation) 19 (0.044)
state) 19 (0.044)
professional) 19 (0.044)
example) 19 (0.044)
responsibility) 19 (0.044)
act) 19 (0.044)
achieve) 19 (0.044)
book) 19 (0.044)
contribute) 19 (0.044)
officer) 18 (0.041)
smile) 18 (0.041)
father) 18 (0.041)
talk) 17 (0.039)
really) 17 (0.039)
manage) 17 (0.039)
personal) 17 (0.039)
educate) 17 (0.039)
difficult) 17 (0.039)
right) 17 (0.039)
grandfather) 17 (0.039)
much) 17 (0.039)
leadership) 16 (0.037)
hard) 16 (0.037)
find) 16 (0.037)
courage) 16 (0.037)
show) 16 (0.037)
reach) 16 (0.037)
concern) 15 (0.034)
power) 15 (0.034)
sweep) 15 (0.034)
knowledge) 15 (0.034)
end) 15 (0.034)
appreciate) 15 (0.034)
trait) 15 (0.034)
brother) 15 (0.034)
influence) 14 (0.032)
war) 14 (0.032)
still) 14 (0.032)
use) 14 (0.032)
peace) 14 (0.032)
never) 14 (0.032)
entire) 14 (0.032)
general) 14 (0.032)
first) 14 (0.032)
army) 14 (0.032)
modesty) 14 (0.032)
kind) 14 (0.032)
matter) 14 (0.032)
put) 13 (0.030)
true) 13 (0.030)
amazing) 13 (0.030)
understand) 13 (0.030)
save) 13 (0.030)
problem) 12 (0.028)
yet) 12 (0.028)
dad) 12 (0.028)
feature) 12 (0.028)
whole) 12 (0.028)
place) 12 (0.028)
continue) 12 (0.028)
day) 12 (0.028)
menachem_begin) 12 (0.028)
bring) 12 (0.028)
fact) 12 (0.028)
big) 12 (0.028)
company) 12 (0.028)
follow) 12 (0.028)
hero) 11 (0.025)
field) 11 (0.025)
willing) 11 (0.025)
task) 11 (0.025)
wisdom) 11 (0.025)
head) 11 (0.025)
home) 11 (0.025)
gurion) 11 (0.025)
brave) 11 (0.025)
calm) 11 (0.025)
excellence) 11 (0.025)
sacrifice) 11 (0.025)
invest) 11 (0.025)
decisive) 11 (0.025)
sometimes) 11 (0.025)
sensitive) 11 (0.025)
environment) 11 (0.025)
moment) 11 (0.025)
establish) 10 (0.023)
determination) 10 (0.023)
optimistic) 10 (0.023)
dream) 10 (0.023)
serve) 10 (0.023)
front) 10 (0.023)
bad) 10 (0.023)
do) 10 (0.023)
evil) 10 (0.023)
accept) 10 (0.023)
modest) 10 (0.023)
realistic) 10 (0.023)
professionalism) 10 (0.023)
military) 10 (0.023)
composure) 10 (0.023)
truth) 10 (0.023)
considerate) 10 (0.023)
forward) 9 (0.021)
open) 9 (0.021)
begin) 9 (0.021)
connect) 9 (0.021)
ambitious) 9 (0.021)
story) 9 (0.021)
aspiration) 9 (0.021)
realize) 9 (0.021)
moshe_rabbeinu) 9 (0.021)
mother) 9 (0.021)
movie) 9 (0.021)
hand) 9 (0.021)
decide) 9 (0.021)
citizen) 9 (0.021)
smart) 9 (0.021)
heart) 9 (0.021)
even_though) 9 (0.021)
success) 9 (0.021)
start) 9 (0.021)
choice) 9 (0.021)
school) 9 (0.021)
speak) 9 (0.021)
service) 9 (0.021)
maintain) 9 (0.021)
like) 9 (0.021)
self) 9 (0.021)
excellent) 9 (0.021)
battle) 9 (0.021)
side) 8 (0.018)
little) 8 (0.018)
motivation) 8 (0.018)
assertive) 8 (0.018)
death) 8 (0.018)
attentive) 8 (0.018)
receive) 8 (0.018)
society) 8 (0.018)
successful) 8 (0.018)
reason) 8 (0.018)
happy) 8 (0.018)
cause) 8 (0.018)
name) 8 (0.018)
trust) 8 (0.018)
honest) 8 (0.018)
non) 8 (0.018)
vision) 8 (0.018)
seem_positive) 8 (0.018)
return) 8 (0.018)
pleasant) 8 (0.018)
age) 8 (0.018)
command) 8 (0.018)
accord) 8 (0.018)
call) 8 (0.018)
action) 8 (0.018)
teach) 8 (0.018)
possible) 8 (0.018)
characterize) 8 (0.018)
tell) 8 (0.018)
listen) 8 (0.018)
feel) 8 (0.018)
able) 8 (0.018)
let) 7 (0.016)
rabbi) 7 (0.016)
caring) 7 (0.016)
prime_minister) 7 (0.016)
full) 7 (0.016)
read) 7 (0.016)
treat) 7 (0.016)
break) 7 (0.016)
fire) 7 (0.016)
kill) 7 (0.016)
thank) 7 (0.016)
stick) 7 (0.016)
serious) 7 (0.016)
main) 7 (0.016)
roy_klein) 7 (0.016)
level) 7 (0.016)
risk) 7 (0.016)
difficulty) 7 (0.016)
stop) 7 (0.016)
battalion) 7 (0.016)
personality) 7 (0.016)
special) 7 (0.016)
close) 7 (0.016)
charisma) 7 (0.016)
solve) 7 (0.016)
wrong) 7 (0.016)
ben_gurion) 7 (0.016)
happen) 7 (0.016)
parent) 7 (0.016)
deal) 7 (0.016)
class) 7 (0.016)
best_way) 7 (0.016)
guy) 7 (0.016)
hear) 7 (0.016)
leave) 7 (0.016)
warrior) 7 (0.016)
take_care) 7 (0.016)
personally) 7 (0.016)
young) 6 (0.014)
walk) 6 (0.014)
faith) 6 (0.014)
support) 6 (0.014)
force) 6 (0.014)
course) 6 (0.014)
