Size: 1075
know) 272 (0.253)
choose) 214 (0.199)
quality) 169 (0.157)
trait) 149 (0.139)
give) 127 (0.118)
thing) 121 (0.113)
other) 116 (0.108)
love) 111 (0.103)
believe) 110 (0.102)
figure) 107 (0.100)
want) 107 (0.100)
strong) 101 (0.094)
leader) 98 (0.091)
learn) 95 (0.088)
go) 94 (0.087)
care) 93 (0.087)
mother) 92 (0.086)
many) 89 (0.083)
woman) 89 (0.083)
value) 88 (0.082)
child) 85 (0.079)
friend) 82 (0.076)
fight) 82 (0.076)
need) 81 (0.075)
much) 80 (0.074)
get) 79 (0.073)
great) 79 (0.073)
country) 78 (0.073)
family) 78 (0.073)
take) 76 (0.071)
manage) 76 (0.071)
change) 75 (0.070)
live) 74 (0.069)
try) 74 (0.069)
eye) 73 (0.068)
ability) 71 (0.066)
well) 70 (0.065)
goal) 69 (0.064)
seem) 69 (0.064)
lead) 69 (0.064)
stand) 68 (0.063)
girl) 68 (0.063)
see) 68 (0.063)
environment) 67 (0.062)
time) 66 (0.061)
look) 66 (0.061)
strive) 64 (0.060)
make) 61 (0.057)
first) 61 (0.057)
come) 60 (0.056)
say) 59 (0.055)
world) 57 (0.053)
situation) 57 (0.053)
book) 55 (0.051)
work) 53 (0.049)
help) 53 (0.049)
think) 52 (0.048)
smart) 52 (0.048)
succeed) 51 (0.047)
desire) 51 (0.047)
respect) 51 (0.047)
commander) 51 (0.047)
optimistic) 50 (0.047)
father) 49 (0.046)
place) 48 (0.045)
high) 48 (0.045)
afraid) 48 (0.045)
smile) 47 (0.044)
find) 46 (0.043)
responsible) 46 (0.043)
charismatic) 46 (0.043)
show) 46 (0.043)
achieve) 45 (0.042)
example) 44 (0.041)
humble) 43 (0.040)
soldier) 43 (0.040)
difficult) 43 (0.040)
happy) 43 (0.040)
courage) 42 (0.039)
story) 40 (0.037)
leadership) 40 (0.037)
difficulty) 40 (0.037)
sensitive) 39 (0.036)
feel) 39 (0.036)
addition) 38 (0.035)
responsibility) 38 (0.035)
grandfather) 38 (0.035)
understand) 38 (0.035)
support) 37 (0.034)
listen) 37 (0.034)
right) 36 (0.033)
dream) 36 (0.033)
contribute) 36 (0.033)
year) 36 (0.033)
state) 36 (0.033)
society) 35 (0.033)
describe) 34 (0.032)
speak) 34 (0.032)
opinion) 33 (0.031)
influence) 33 (0.031)
different) 33 (0.031)
decide) 33 (0.031)
reach) 33 (0.031)
assertive) 33 (0.031)
never) 32 (0.030)
follow) 32 (0.030)
king) 32 (0.030)
matter) 32 (0.030)
act) 32 (0.030)
success) 31 (0.029)
imaginary) 31 (0.029)
sociable) 31 (0.029)
officer) 31 (0.029)
appreciate) 31 (0.029)
wisdom) 31 (0.029)
brave) 30 (0.028)
develop) 30 (0.028)
heart) 30 (0.028)
read) 30 (0.028)
name) 30 (0.028)
around) 29 (0.027)
side) 29 (0.027)
end) 29 (0.027)
human) 29 (0.027)
little) 29 (0.027)
talk) 29 (0.027)
traits_seem) 28 (0.026)
tell) 28 (0.026)
field) 28 (0.026)
caring) 28 (0.026)
set) 28 (0.026)
gurion) 28 (0.026)
