Size: 454
know) 126 (0.278)
appreciate) 107 (0.236)
choose) 102 (0.225)
give) 81 (0.178)
make) 77 (0.170)
many) 76 (0.167)
learn) 72 (0.159)
get) 70 (0.154)
want) 68 (0.150)
go) 68 (0.150)
great) 67 (0.148)
come) 61 (0.134)
take) 59 (0.130)
see) 51 (0.112)
try) 51 (0.112)
difficult) 51 (0.112)
care) 50 (0.110)
manage) 48 (0.106)
lead) 47 (0.104)
reach) 44 (0.097)
look) 44 (0.097)
need) 42 (0.093)
show) 41 (0.090)
fight) 41 (0.090)
work) 41 (0.090)
much) 40 (0.088)
achieve) 40 (0.088)
strong) 39 (0.086)
succeed) 38 (0.084)
love) 38 (0.084)
believe) 37 (0.081)
understand) 37 (0.081)
feel) 36 (0.079)
describe) 36 (0.079)
high) 36 (0.079)
help) 35 (0.077)
strive) 35 (0.077)
find) 34 (0.075)
live) 34 (0.075)
think) 33 (0.073)
continue) 33 (0.073)
professional) 33 (0.073)
optimistic) 32 (0.070)
really_appreciate) 32 (0.070)
successful) 32 (0.070)
seem) 31 (0.068)
let) 31 (0.068)
good) 30 (0.066)
stand) 30 (0.066)
say) 29 (0.064)
contribute) 28 (0.062)
able) 28 (0.062)
happy) 28 (0.062)
smart) 28 (0.062)
possible) 28 (0.062)
bring) 27 (0.059)
personal) 26 (0.057)
different) 26 (0.057)
set) 25 (0.055)
grow) 25 (0.055)
serve) 25 (0.055)
inspire) 24 (0.053)
become) 24 (0.053)
stop) 24 (0.053)
responsible) 23 (0.051)
social) 23 (0.051)
first) 23 (0.051)
teach) 22 (0.048)
improve) 22 (0.048)
human) 22 (0.048)
hard) 22 (0.048)
new) 21 (0.046)
keep) 21 (0.046)
deal) 20 (0.044)
establish) 20 (0.044)
whole) 20 (0.044)
receive) 20 (0.044)
jewish) 20 (0.044)
happen) 19 (0.042)
humble) 19 (0.042)
honest) 19 (0.042)
listen) 19 (0.042)
act) 19 (0.042)
start) 19 (0.042)
imaginary) 18 (0.040)
right) 18 (0.040)
well) 18 (0.040)
call) 18 (0.040)
tell) 18 (0.040)
willing) 18 (0.040)
afraid) 18 (0.040)
promote) 17 (0.037)
maintain) 17 (0.037)
consider) 17 (0.037)
young) 17 (0.037)
significant) 17 (0.037)
main) 17 (0.037)
speak) 17 (0.037)
lose) 17 (0.037)
write) 17 (0.037)
simple) 17 (0.037)
educate) 17 (0.037)
stay) 16 (0.035)
hear) 16 (0.035)
face) 16 (0.035)
israeli) 16 (0.035)
enjoy) 16 (0.035)
create) 16 (0.035)
special) 16 (0.035)
experience) 16 (0.035)
brave) 16 (0.035)
little) 16 (0.035)
open) 16 (0.035)
respect) 16 (0.035)
express) 15 (0.033)
perform) 15 (0.033)
determine) 15 (0.033)
meet) 15 (0.033)
certain) 15 (0.033)
read) 15 (0.033)
remain) 15 (0.033)
put) 15 (0.033)
decide) 15 (0.033)
move) 15 (0.033)
amazing) 15 (0.033)
front) 15 (0.033)
change) 15 (0.033)
bear) 14 (0.031)
light) 14 (0.031)
begin) 14 (0.031)
allow) 14 (0.031)
value) 14 (0.031)
remember) 14 (0.031)
connect) 14 (0.031)
charismatic) 14 (0.031)
invest) 14 (0.031)
easy) 14 (0.031)
united_state) 14 (0.031)
creative) 14 (0.031)
raise) 14 (0.031)
study) 13 (0.029)
name) 13 (0.029)
weak) 13 (0.029)
overcome) 13 (0.029)
full) 13 (0.029)
realize) 13 (0.029)
save) 13 (0.029)
present) 13 (0.029)
small) 13 (0.029)
accept) 13 (0.029)
future) 12 (0.026)
leave) 12 (0.026)
prove) 12 (0.026)
big) 12 (0.026)
general) 12 (0.026)
real) 11 (0.024)
end) 11 (0.024)
sociable) 11 (0.024)
ask) 11 (0.024)
turn) 11 (0.024)
combine) 11 (0.024)
use) 11 (0.024)
hurt) 11 (0.024)
develop) 11 (0.024)
play) 10 (0.022)
various) 10 (0.022)
die) 10 (0.022)
attentive) 10 (0.022)
require) 10 (0.022)
impressive) 10 (0.022)
sweep) 10 (0.022)
cause) 10 (0.022)
build) 10 (0.022)
loyal) 10 (0.022)
true) 10 (0.022)
talk) 10 (0.022)
obvious) 10 (0.022)
exist) 10 (0.022)
last) 10 (0.022)
independent) 10 (0.022)
entire) 10 (0.022)
caring) 10 (0.022)
fall) 9 (0.020)
excellent) 9 (0.020)
stick) 9 (0.020)
poor) 9 (0.020)
forget) 9 (0.020)
mental) 9 (0.020)
tough) 9 (0.020)
current) 9 (0.020)
pleasant) 9 (0.020)
late) 9 (0.020)
second) 9 (0.020)
modest) 9 (0.020)
negative) 9 (0.020)
