Size: 895
character) 503 (0.562)
person) 320 (0.358)
people) 314 (0.351)
know) 278 (0.311)
choose) 242 (0.270)
always) 211 (0.236)
good) 189 (0.211)
positive) 187 (0.209)
think) 184 (0.206)
man) 172 (0.192)
also) 160 (0.179)
give) 159 (0.178)
life) 154 (0.172)
way) 151 (0.169)
believe) 138 (0.154)
opinion) 127 (0.142)
thing) 126 (0.141)
ability) 121 (0.135)
many) 120 (0.134)
help) 118 (0.132)
see) 117 (0.131)
character_trait) 110 (0.123)
other) 108 (0.121)
lead) 107 (0.120)
love) 107 (0.120)
quality) 104 (0.116)
important) 104 (0.116)
work) 99 (0.111)
even) 99 (0.111)
figure) 98 (0.109)
care) 94 (0.105)
make) 93 (0.104)
value) 89 (0.099)
go) 88 (0.098)
leader) 86 (0.096)
time) 86 (0.096)
lot) 84 (0.094)
family) 80 (0.089)
take) 79 (0.088)
learn) 72 (0.080)
situation) 70 (0.078)
manage) 69 (0.077)
friend) 69 (0.077)
country) 68 (0.076)
get) 65 (0.073)
woman) 64 (0.072)
strong) 62 (0.069)
great) 62 (0.069)
come) 60 (0.067)
positive_qualitie) 59 (0.066)
try) 58 (0.065)
mother) 58 (0.065)
addition) 57 (0.064)
goal) 56 (0.063)
change) 56 (0.063)
stand) 56 (0.063)
want) 55 (0.061)
child) 55 (0.061)
smart) 55 (0.061)
fight) 54 (0.060)
peace) 54 (0.060)
high) 52 (0.058)
desire) 51 (0.057)
eye) 51 (0.057)
live) 51 (0.057)
first) 50 (0.056)
responsible) 50 (0.056)
need) 50 (0.056)
world) 49 (0.055)
look) 49 (0.055)
succeed) 47 (0.053)
environment) 46 (0.051)
state) 46 (0.051)
well) 43 (0.048)
appreciate) 42 (0.047)
end) 42 (0.047)
afraid) 42 (0.047)
place) 41 (0.046)
gurion) 41 (0.046)
strive) 41 (0.046)
much) 40 (0.045)
bring) 40 (0.045)
find) 40 (0.045)
act) 40 (0.045)
achieve) 40 (0.045)
respect) 40 (0.045)
difficult) 40 (0.045)
right) 40 (0.045)
book) 39 (0.044)
optimistic) 39 (0.044)
society) 38 (0.042)
commander) 38 (0.042)
charismatic) 38 (0.042)
leadership) 38 (0.042)
talk) 37 (0.041)
trait) 36 (0.040)
contribute) 35 (0.039)
create) 35 (0.039)
deal) 34 (0.038)
grandfather) 33 (0.037)
seem) 33 (0.037)
field) 33 (0.037)
decision) 33 (0.037)
order) 32 (0.036)
year) 32 (0.036)
humble) 31 (0.035)
say) 31 (0.035)
war) 30 (0.034)
responsibility) 30 (0.034)
yitzhak_rabin) 30 (0.034)
show) 29 (0.032)
influence) 29 (0.032)
example) 29 (0.032)
