id,sex,year,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11531836,1,2015,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.96111,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,1,1,0.96111,1,1,1,70,25.0,7.0,,0,0,73,9.0,56.0
11556347,1,2015,0.00290,0.00290,0.00290,0.00290,0.00290,0.00290,0.00290,0.95942,0.00290,0.00290,0.00290,0.00290,0.00290,0.00290,0.00290,1,1,0.95942,1,1,1,80,34.0,,94.0,0,1,87,5.0,
11587558,1,2015,0.00556,0.00556,0.00556,0.00556,0.00556,0.00556,0.00556,0.00556,0.00556,0.92222,0.00556,0.00556,0.00556,0.00556,0.00556,1,1,0.92222,1,1,1,70,26.0,6.0,,0,0,86,0.0,20.0
11781920,1,2015,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.95757,0.00303,0.00303,0.00303,0.00303,0.00303,1,1,0.95757,1,1,1,50,32.0,6.0,,0,0,83,,82.0
11783220,1,2015,0.00351,0.00351,0.00351,0.00351,0.00351,0.00351,0.00351,0.00351,0.00351,0.00351,0.00351,0.00351,0.00351,0.95088,0.00351,1,1,0.95088,1,1,1,40,22.0,3.0,,0,0,72,18.0,7.0
11783427,1,2015,0.00444,0.00444,0.00444,0.00444,0.00444,0.00444,0.00444,0.93778,0.00444,0.00444,0.00444,0.00444,0.00444,0.00444,0.00444,1,1,0.93778,1,1,1,60,30.0,4.0,,0,0,90,44.0,87.0
11783744,1,2015,0.00513,0.92820,0.00513,0.00513,0.00513,0.00513,0.00513,0.00513,0.00513,0.00513,0.00513,0.00513,0.00513,0.00513,0.00513,1,1,0.92820,1,1,1,70,34.0,5.0,,0,0,81,60.0,50.0
11783776,1,2015,0.00556,0.92222,0.00556,0.00556,0.00556,0.00556,0.00556,0.00556,0.00556,0.00556,0.00556,0.00556,0.00556,0.00556,0.00556,1,1,0.92222,1,1,1,70,27.0,6.0,,0,0,89,29.0,87.0
11783844,1,2015,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.96111,0.00278,0.00278,0.00278,0.00278,1,1,0.96111,1,1,1,70,30.0,4.0,,0,0,91,89.0,30.0
11784651,1,2015,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,0.96267,0.00267,0.00267,0.00267,1,1,0.96267,1,1,1,60,27.0,5.0,,0,0,69,67.0,20.0
11785198,1,2015,0.96782,0.00230,0.00230,0.00230,0.00230,0.00230,0.00230,0.00230,0.00230,0.00230,0.00230,0.00230,0.00230,0.00230,0.00230,1,1,0.96782,1,1,1,60,33.0,5.0,,0,0,83,4.0,
11786185,1,2015,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,0.96267,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,1,1,0.96267,1,1,1,60,32.0,,94.0,0,0,81,,
11788051,1,2015,0.00317,0.00317,0.00317,0.00317,0.00317,0.00317,0.00317,0.00317,0.95555,0.00317,0.00317,0.00317,0.00317,0.00317,0.00317,1,1,0.95555,1,1,1,60,28.0,2.0,,0,0,80,50.0,31.0
11788407,1,2015,0.00513,0.00513,0.00513,0.00513,0.00513,0.00513,0.00513,0.00513,0.00513,0.00513,0.92820,0.00513,0.00513,0.00513,0.00513,1,1,0.92820,1,1,1,60,34.0,5.0,,0,0,85,26.0,50.0
11788886,1,2015,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.95333,0.00333,0.00333,1,1,0.95333,1,1,1,70,32.0,4.0,,0,0,76,43.0,31.0
11788958,1,2015,0.00222,0.96889,0.00222,0.00222,0.00222,0.00222,0.00222,0.00222,0.00222,0.00222,0.00222,0.00222,0.00222,0.00222,0.00222,1,1,0.96889,1,1,0,80,28.0,3.0,,0,0,0,84.0,25.0
11789566,1,2015,0.00392,0.00392,0.00392,0.00392,0.00392,0.00392,0.00392,0.94510,0.00392,0.00392,0.00392,0.00392,0.00392,0.00392,0.00392,1,1,0.94510,1,1,1,60,35.0,5.0,,0,0,85,28.0,50.0
11789585,1,2015,0.00303,0.00303,0.95757,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,1,1,0.95757,1,1,1,60,31.0,6.0,,0,0,85,39.0,82.0
11789587,1,2015,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.81333,0.01333,1,1,0.81333,1,1,1,60,26.0,4.0,,0,0,86,78.0,95.0
11789905,1,2015,0.96111,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,1,1,0.96111,1,1,1,70,27.0,4.0,,0,0,82,,35.0
11789906,1,2015,0.00370,0.00370,0.00370,0.00370,0.00370,0.00370,0.00370,0.00370,0.00370,0.00370,0.00370,0.00370,0.94815,0.00370,0.00370,1,1,0.94815,1,1,1,60,35.0,6.0,,0,0,74,32.0,59.0
11789919,1,2015,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.96111,0.00278,0.00278,0.00278,0.00278,0.00278,1,1,0.96111,1,1,1,60,33.0,6.0,,0,0,89,50.0,
11789922,1,2015,0.00267,0.00267,0.00267,0.00267,0.96267,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,1,1,0.96267,1,1,1,90,35.0,8.0,,0,0,88,25.0,68.0
11789924,1,2015,0.00351,0.00351,0.00351,0.00351,0.00351,0.95088,0.00351,0.00351,0.00351,0.00351,0.00351,0.00351,0.00351,0.00351,0.00351,1,1,0.95088,1,1,1,70,33.0,5.0,,0,0,87,,43.0
11789931,1,2015,0.01667,0.01667,0.01667,0.01667,0.01667,0.76666,0.01667,0.01667,0.01667,0.01667,0.01667,0.01667,0.01667,0.01667,0.01667,1,1,0.76666,1,1,1,50,33.0,5.0,,0,0,90,58.0,30.0
11842706,1,2015,0.00238,0.00238,0.00238,0.96667,0.00238,0.00238,0.00238,0.00238,0.00238,0.00238,0.00238,0.00238,0.00238,0.00238,0.00238,1,1,0.96667,1,1,1,50,34.0,6.0,,0,1,92,61.0,78.0
11842809,1,2015,0.00392,0.00392,0.00392,0.00392,0.00392,0.00392,0.00392,0.00392,0.00392,0.00392,0.00392,0.94510,0.00392,0.00392,0.00392,1,1,0.94510,1,1,1,60,29.0,3.0,,0,0,78,,8.0
11842833,1,2015,0.00392,0.00392,0.00392,0.00392,0.00392,0.00392,0.00392,0.94510,0.00392,0.00392,0.00392,0.00392,0.00392,0.00392,0.00392,1,1,0.94510,1,1,1,60,30.0,4.0,,0,0,74,36.0,57.0
11842876,1,2015,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,0.96267,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,1,1,0.96267,1,1,1,90,30.0,4.0,,0,0,82,,54.0
11842885,1,2015,0.95757,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,1,1,0.95757,1,1,1,80,27.0,6.0,,0,0,84,87.0,31.0
11842961,1,2015,0.00317,0.00317,0.95555,0.00317,0.00317,0.00317,0.00317,0.00317,0.00317,0.00317,0.00317,0.00317,0.00317,0.00317,0.00317,1,1,0.95555,1,1,1,90,32.0,6.0,,0,0,87,56.0,
