id,sex,year,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11679526,1,2015,0,0,12,0,8,13,0,11,0,0,9,0,10,14,0,5,1,0.31464,1,2,1,60.0,26.0,,93.0,0,0,75,0.0,
11679551,1,2015,0,0,10,0,11,9,0,0,13,8,0,0,12,14,0,4,1,0.41179,1,2,1,60.0,24.0,,92.0,0,0,74,,
11786800,1,2015,0,10,11,0,13,14,0,9,0,0,0,0,12,0,0,4,2,0.33353,1,2,1,60.0,25.0,4.0,,0,0,77,16.0,19.0
11788493,1,2015,0,7,10,8,9,12,0,14,0,11,0,0,13,0,0,3,1,0.67234,1,2,1,70.0,34.0,6.0,,0,0,81,92.0,59.0
11789026,1,2015,13,11,0,0,10,7,0,6,14,9,5,0,12,8,0,2,1,0.59288,1,2,1,60.0,33.0,4.0,,0,0,80,,
11789799,1,2015,0,0,12,0,10,14,0,8,13,7,0,0,9,11,0,3,1,0.44169,1,2,1,60.0,33.0,5.0,,0,0,78,43.0,
11842960,1,2015,0,11,9,0,12,8,7,0,14,0,0,0,10,13,0,3,1,0.55368,1,2,1,70.0,28.0,5.0,,0,0,78,47.0,
11843726,0,2015,9,6,14,0,11,12,8,0,6,13,0,0,10,0,0,3,1,0.67409,1,2,0,60.0,,3.0,,0,0,0,18.0,
11844279,0,2015,8,0,10,0,14,13,0,9,11,0,0,0,12,0,0,2,2,0.39115,1,2,1,60.0,,6.0,,0,0,75,,9.0
11844334,0,2015,0,0,10,0,12,13,8,0,0,14,0,0,9,11,0,3,1,0.42501,1,2,1,50.0,,5.0,,0,0,85,70.0,78.0
11844485,1,2015,0,8,10,0,13,11,7,0,0,0,9,0,12,14,0,2,1,0.46418,1,2,1,50.0,28.0,6.0,,0,0,84,6.0,8.0
11844524,1,2015,3,5,8,0,12,14,9,11,4,10,6,0,7,0,13,2,2,0.55274,1,2,1,50.0,33.0,6.0,,0,0,80,63.0,
11845560,1,2015,0,6,10,0,9,7,0,0,0,11,8,12,13,0,14,3,2,0.46669,1,2,1,60.0,26.0,4.0,,0,0,73,14.0,3.0
11846582,0,2015,8,7,13,0,10,11,0,9,0,6,0,11,14,0,0,3,1,0.70666,1,2,1,60.0,,3.0,,0,0,79,13.0,
11847450,1,2015,13,6,5,0,11,9,12,8,14,4,0,0,10,6,0,3,2,0.43964,1,2,1,80.0,32.0,7.0,,0,0,83,9.0,
11848534,0,2015,0,0,0,0,13,14,0,0,0,0,0,0,0,0,0,5,0,0.22079,1,2,1,60.0,,3.0,,0,0,83,15.0,27.0
11849127,0,2015,11,9,12,8,13,10,14,5,0,0,6,0,7,0,0,3,1,0.34732,1,2,1,60.0,,6.0,,0,0,79,16.0,17.0
11850045,0,2015,0,0,12,0,9,14,11,10,0,8,0,0,13,0,0,2,1,0.60210,1,2,1,60.0,,3.0,,0,0,75,40.0,
11850054,0,2015,0,8,13,0,9,14,10,7,0,6,0,12,11,0,0,2,1,0.51667,1,2,1,80.0,,4.0,,0,0,77,15.0,
11850150,0,2015,9,7,12,0,0,8,10,0,0,6,13,14,11,0,0,1,1,0.82743,1,2,1,50.0,,3.0,,0,0,78,,9.0
11850191,0,2015,8,11,12,0,6,14,13,0,0,9,7,0,10,0,0,2,1,0.42219,1,2,1,90.0,,5.0,,0,0,74,38.0,15.0
11850222,1,2015,0,12,14,0,0,10,0,0,0,0,0,0,13,0,11,1,1,0.58266,1,2,1,60.0,28.0,4.0,,0,0,83,8.0,0.0
11850461,1,2015,0,12,14,0,8,0,0,11,0,9,10,0,13,0,0,3,1,0.36621,1,2,1,30.0,25.0,4.0,,0,0,81,,
11850593,0,2015,8,10,13,0,9,14,7,0,0,0,0,0,11,12,0,3,1,0.49993,1,2,1,70.0,,5.0,,0,0,79,,16.0
11850719,0,2015,8,0,10,0,9,11,0,0,0,7,14,13,12,0,0,3,1,0.58095,1,2,1,60.0,,5.0,,0,0,84,31.0,16.0
11850772,0,2015,13,7,8,0,10,6,5,2,14,0,4,11,11,3,9,3,1,0.41080,1,2,1,80.0,,6.0,,0,1,82,,17.0
11851243,1,2015,6,13,4,14,12,11,3,7,0,8,0,0,10,5,9,2,2,0.36198,1,2,1,60.0,28.0,5.0,,0,0,82,,21.0
11851780,0,2015,9,4,11,14,6,13,5,10,0,12,0,8,7,0,0,3,2,0.40669,1,2,1,70.0,,5.0,,0,0,82,5.0,
11852504,1,2015,11,0,8,0,10,14,0,9,0,0,0,13,12,0,0,2,1,0.64850,1,2,1,70.0,38.0,4.0,,0,0,80,31.0,
11852664,1,2015,4,3,9,14,4,6,2,12,13,10,0,11,7,8,0,2,1,0.68515,1,2,1,80.0,31.0,5.0,,0,0,77,38.0,
11852758,1,2015,0,0,9,14,8,13,0,0,12,10,7,0,10,0,0,2,1,0.75111,1,2,1,60.0,33.0,4.0,,0,0,77,18.0,4.0
11853002,1,2015,13,0,10,0,11,14,0,0,0,0,0,12,9,0,0,2,2,0.49598,1,2,1,70.0,33.0,5.0,,0,0,81,52.0,
11853536,0,2015,8,7,14,0,11,13,9,5,0,6,0,0,12,10,0,2,1,0.61829,1,2,1,60.0,,,,0,0,76,74.0,80.0
11853853,1,2015,10,13,9,0,0,10,0,0,0,14,12,0,0,0,0,1,1,0.66796,1,2,1,60.0,30.0,4.0,,0,0,71,9.0,
11854357,1,2015,6,11,9,14,12,13,7,8,0,0,0,0,10,0,0,2,1,0.65349,1,2,1,70.0,32.0,4.0,,0,0,81,57.0,
11854371,0,2015,8,5,10,0,12,13,0,6,14,7,9,0,11,0,0,3,2,0.37376,1,2,1,80.0,,8.0,,0,0,80,,41.0
11855610,1,2015,14,0,12,0,10,13,0,0,0,0,0,0,9,11,0,1,1,0.87772,1,2,1,70.0,26.0,5.0,,0,0,79,,
11856399,0,2015,11,8,7,0,12,10,0,9,0,6,0,0,13,0,14,2,1,0.80059,1,2,1,70.0,,4.0,,0,0,75,25.0,
11856578,1,2015,11,4,10,0,9,8,14,5,0,7,13,0,12,6,0,3,2,0.47122,1,2,1,70.0,28.0,5.0,,0,0,78,9.0,29.0
11857664,0,2015,5,0,13,0,12,6,7,14,0,10,0,9,11,0,7,2,1,0.30614,1,2,1,40.0,,,94.0,0,0,77,36.0,27.0
11923662,1,2015,9,12,11,0,13,0,0,0,0,14,0,0,10,0,0,3,2,0.44984,1,2,1,80.0,25.0,,92.0,0,0,81,0.0,
11925375,1,2015,0,8,11,0,14,12,6,9,0,0,7,10,13,0,0,2,1,0.65646,1,2,1,30.0,33.0,,93.0,0,0,82,,14.0
11927180,1,2015,7,10,13,0,6,11,5,0,14,9,0,0,12,8,4,2,1,0.48631,1,2,1,90.0,35.0,,93.0,0,0,78,,
11937144,1,2015,0,0,12,0,13,10,7,0,0,6,11,9,14,8,0,3,1,0.32160,1,2,1,60.0,27.0,,93.0,0,0,80,64.0,40.0
11941586,1,2015,0,0,9,0,13,10,0,11,0,0,8,14,12,0,0,2,2,0.42744,1,2,1,70.0,31.0,,94.0,0,0,83,47.0,
11941639,0,2015,8,10,14,0,7,12,9,0,0,5,0,11,13,6,0,3,1,0.44319,1,2,1,50.0,,,93.0,0,0,76,,
11943652,1,2015,0,11,14,0,0,9,0,0,0,13,10,0,12,0,0,4,1,0.34286,1,2,1,50.0,32.0,,93.0,0,0,76,33.0,0.0
11945645,1,2015,0,11,8,0,9,10,0,0,14,13,7,0,12,0,0,3,1,0.52091,1,2,1,50.0,25.0,,93.0,0,0,75,2.0,
11946372,1,2015,0,0,8,7,11,12,13,0,0,0,6,0,9,10,14,3,1,0.52461,1,2,1,60.0,16.0,5.0,,0,0,78,11.0,9.0
11947768,1,2015,9,11,12,0,9,14,0,0,0,7,0,0,13,0,8,2,1,0.66263,1,2,1,50.0,24.0,,93.0,0,0,81,0.0,10.0
11952234,1,2015,7,10,12,0,11,14,5,0,0,6,0,8,13,9,0,3,1,0.35618,1,2,1,80.0,29.0,,95.0,0,0,80,,
11953175,1,2015,4,0,11,0,12,14,7,9,5,0,6,13,10,0,8,1,1,0.45883,1,2,1,50.0,24.0,,92.0,0,0,64,5.0,0.0
11953824,1,2015,8,0,10,0,9,11,12,5,14,7,0,13,6,0,0,3,2,0.34445,1,2,1,60.0,30.0,,93.0,0,1,90,64.0,
11955358,0,2015,12,10,7,0,13,14,0,6,0,4,0,11,8,5,9,4,0,0.21334,1,2,1,60.0,,,93.0,0,0,70,2.0,
11968081,1,2015,9,0,13,0,0,12,0,0,0,14,10,0,11,0,0,1,1,0.77507,1,2,1,70.0,24.0,,93.0,0,0,66,12.0,
11994591,0,2015,14,5,9,0,12,13,5,0,0,10,8,0,7,11,0,3,2,0.45611,1,2,1,50.0,,,94.0,0,0,81,54.0,
11994715,1,2015,8,0,9,14,13,11,5,6,0,0,0,0,7,12,10,3,1,0.67409,1,2,1,50.0,30.0,,93.0,0,0,81,19.0,
11997100,1,2015,0,8,13,0,7,12,0,0,9,6,11,10,14,0,0,2,1,0.66976,1,2,0,90.0,32.0,4.0,,0,0,0,5.0,
12000628,1,2015,11,0,13,0,8,14,9,0,7,6,10,0,12,0,0,4,1,0.35842,1,2,1,80.0,31.0,,94.0,0,0,89,,
12005761,0,2015,10,11,0,0,12,9,0,8,14,6,0,13,7,0,0,1,1,0.79321,1,2,1,80.0,,4.0,,0,0,75,17.0,12.0
12034880,1,2015,0,7,12,0,14,10,0,0,6,0,9,11,13,8,0,2,1,0.54985,1,2,1,50.0,24.0,,93.0,0,0,86,0.0,4.0
12036887,1,2015,0,12,10,0,0,10,0,0,0,13,14,0,0,0,0,3,1,0.56670,1,2,1,70.0,29.0,,93.0,0,0,86,9.0,
12037587,1,2015,11,0,0,0,0,0,13,0,0,0,0,0,10,14,11,3,2,0.36973,1,2,1,50.0,28.0,,93.0,0,0,81,77.0,
12040187,0,2015,7,13,10,0,8,14,6,0,0,0,11,0,12,9,0,1,1,0.75316,1,2,1,50.0,,,93.0,0,0,80,50.0,
12041354,1,2015,10,0,0,0,11,14,0,0,0,0,0,13,12,0,0,2,2,0.50335,1,2,1,80.0,27.0,,93.0,0,0,81,,
12042664,1,2015,7,6,10,0,0,9,12,0,14,5,0,0,11,13,8,3,2,0.35114,1,2,1,60.0,25.0,,94.0,0,0,77,4.0,
12044894,0,2015,7,6,8,14,12,13,10,11,0,5,0,0,9,0,0,2,2,0.35557,1,2,1,50.0,,,93.0,0,0,72,,
12048131,1,2015,0,0,7,14,13,10,8,9,0,11,0,12,6,0,0,2,1,0.80667,1,2,1,60.0,26.0,4.0,,0,0,76,45.0,
12056345,1,2015,2,5,12,10,6,11,8,0,14,7,3,9,13,0,3,2,2,0.55089,1,2,1,80.0,25.0,,92.0,0,0,76,3.0,
12062922,0,2015,0,0,0,0,12,10,0,0,0,9,8,14,13,0,11,1,1,0.76943,1,2,1,70.0,,,95.0,0,0,82,4.0,
12067593,1,2015,7,9,8,0,13,11,12,0,0,9,0,0,14,0,0,3,1,0.45418,1,2,1,30.0,26.0,,92.0,0,0,69,10.0,5.0
12072243,1,2015,0,9,14,0,10,13,0,0,0,11,0,0,12,0,0,3,1,0.31286,1,2,1,60.0,28.0,,93.0,0,0,79,3.0,
12072247,0,2015,10,7,8,0,11,12,0,0,0,0,14,0,13,9,0,2,2,0.51314,1,2,1,60.0,,,93.0,0,0,86,,
12072918,0,2015,5,8,11,0,9,7,4,12,14,6,0,0,10,0,13,4,1,0.35835,1,2,1,40.0,,,93.0,0,0,77,29.0,
12074766,1,2015,0,6,8,0,11,10,0,0,13,11,7,0,9,0,14,3,1,0.42052,1,2,1,90.0,33.0,3.0,,0,0,72,29.0,
12078989,1,2015,0,0,11,0,10,12,0,0,0,14,0,0,13,0,0,1,1,0.79181,1,2,1,90.0,26.0,,94.0,0,0,73,,
12079216,1,2015,13,14,11,8,6,12,7,0,0,5,9,0,10,0,0,1,1,0.72204,1,2,1,80.0,22.0,,92.0,0,0,76,,
12158625,0,2015,9,10,11,0,8,7,0,12,14,6,4,5,13,0,0,3,1,0.30088,1,2,0,30.0,,,93.0,0,0,0,,
12219362,1,2015,8,7,11,0,13,14,9,6,0,5,0,0,10,0,12,3,2,0.39943,1,2,1,50.0,28.0,,93.0,0,0,83,12.0,5.0
12219399,0,2015,8,8,13,0,10,14,0,7,0,12,0,0,11,0,0,1,1,0.70414,1,2,1,60.0,,,95.0,0,0,80,17.0,
12227242,1,2015,0,10,11,0,14,13,0,0,0,0,0,0,11,9,0,3,1,0.56033,1,2,1,70.0,19.0,,93.0,0,0,78,,
12227565,1,2015,0,0,10,14,12,13,9,0,0,8,0,0,11,0,0,2,1,0.72594,1,2,1,60.0,25.0,,94.0,0,0,78,8.0,
12232039,1,2015,7,3,9,12,8,13,6,14,4,11,0,0,10,5,0,2,2,0.53430,1,2,1,50.0,35.0,,94.0,0,1,89,10.0,
12235755,0,2015,0,10,8,0,12,14,7,11,0,0,0,13,0,9,0,2,2,0.42938,1,2,1,50.0,,,93.0,0,0,78,58.0,
12247001,1,2015,5,0,10,0,4,11,12,13,0,8,9,6,7,0,14,3,2,0.33272,1,2,1,60.0,23.0,3.0,,0,0,82,53.0,65.0
12247002,1,2015,0,7,12,0,13,14,8,6,0,11,10,0,9,0,0,1,1,0.68886,1,2,1,80.0,22.0,2.0,,0,0,83,11.0,5.0
12247358,0,2015,0,0,12,0,0,13,0,10,0,14,11,0,9,8,0,1,1,0.53331,1,2,1,70.0,,5.0,,0,0,81,17.0,
12248885,1,2015,0,0,12,0,8,13,11,0,0,6,14,9,10,0,7,3,1,0.64445,1,2,1,90.0,23.0,3.0,,0,0,86,35.0,
12249707,0,2015,8,6,12,0,4,13,14,10,6,9,11,0,4,0,0,4,1,0.30456,1,2,1,50.0,,3.0,,0,0,84,47.0,41.0
12250295,0,2015,10,0,12,0,13,11,0,7,14,9,0,0,8,0,0,2,1,0.56336,1,2,1,80.0,,6.0,,0,0,81,23.0,18.0
12250732,1,2015,12,0,11,0,8,9,7,14,0,13,0,0,10,0,0,2,2,0.50572,1,2,1,80.0,26.0,4.0,,0,0,76,0.0,0.0
12251848,1,2015,7,5,13,0,4,14,9,6,0,10,0,0,11,12,8,3,2,0.51560,1,2,1,60.0,29.0,5.0,,0,0,76,46.0,
12253212,1,2015,0,0,13,0,12,14,11,0,0,9,7,0,10,7,6,3,2,0.34798,1,2,1,60.0,30.0,5.0,,0,0,76,0.0,0.0
12254605,1,2015,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,2,0.45711,1,2,1,60.0,30.0,4.0,,0,0,70,2.0,
12254925,1,2015,10,8,11,0,12,14,0,8,0,6,6,0,13,0,0,3,1,0.47451,1,2,0,70.0,27.0,2.0,,0,0,0,0.0,27.0
12254939,0,2015,0,8,9,0,13,14,12,10,0,7,0,0,11,0,0,1,1,0.85109,1,2,1,60.0,,6.0,,0,0,79,,
