B1,B2,B3,B4,B5,dapar,tzadak,mavdak1,mavdak2,rejected,nf,ne,socioT,socioP
239.0,248.0,266.0,131.0,173.0,60.0,,,,0,0,0,85.0,
260.0,234.0,244.0,202.0,270.0,80.0,,,,0,0,0,,33.0
243.0,283.0,211.0,177.0,196.0,70.0,24.0,,,0,0,0,44.0,50.0
194.0,221.0,248.0,177.0,207.0,90.0,33.0,,,0,0,0,,
251.0,233.0,223.0,129.0,172.0,70.0,27.0,,,0,0,0,51.0,91.0
229.0,223.0,225.0,166.0,234.0,50.0,40.0,,,0,0,0,76.0,48.0
240.0,264.0,222.0,158.0,251.0,70.0,33.0,,,0,0,0,,
229.0,225.0,219.0,191.0,222.0,70.0,25.0,,,0,0,0,11.0,15.0
231.0,254.0,235.0,153.0,264.0,80.0,26.0,,,0,0,0,,3.0
264.0,274.0,263.0,110.0,252.0,60.0,26.0,,,0,0,0,52.0,67.0
217.0,286.0,230.0,94.0,179.0,80.0,28.0,,,0,0,0,0.0,0.0
196.0,258.0,234.0,125.0,190.0,80.0,24.0,,,0,0,0,54.0,12.0
248.0,277.0,226.0,97.0,214.0,70.0,26.0,,,0,0,0,39.0,
294.0,256.0,219.0,111.0,228.0,70.0,27.0,,,0,0,0,50.0,78.0
289.0,287.0,236.0,92.0,210.0,50.0,33.0,,,0,1,0,,13.0
216.0,275.0,269.0,119.0,252.0,60.0,33.0,,,0,0,0,6.0,
266.0,282.0,221.0,92.0,193.0,70.0,26.0,,,0,0,1,,0.0
279.0,208.0,225.0,94.0,220.0,70.0,26.0,,,0,0,0,6.0,
253.0,271.0,219.0,105.0,170.0,70.0,32.0,,,0,0,0,54.0,58.0
244.0,279.0,264.0,95.0,280.0,70.0,26.0,,,0,0,0,67.0,
237.0,260.0,236.0,130.0,231.0,80.0,28.0,,,0,0,0,13.0,0.0
260.0,249.0,240.0,144.0,224.0,50.0,28.0,,,0,0,0,22.0,7.0
236.0,252.0,194.0,170.0,219.0,80.0,26.0,,,0,0,0,15.0,17.0
239.0,261.0,239.0,157.0,244.0,60.0,27.0,,,0,0,0,41.0,63.0
220.0,288.0,212.0,109.0,225.0,80.0,26.0,,,0,0,0,58.0,54.0
289.0,287.0,206.0,140.0,256.0,90.0,28.0,,,0,0,0,,
237.0,220.0,216.0,171.0,236.0,70.0,,,,0,0,0,56.0,
220.0,275.0,237.0,136.0,234.0,50.0,32.0,,,0,1,0,33.0,32.0
245.0,239.0,251.0,134.0,238.0,60.0,28.0,,,0,0,0,,
261.0,299.0,238.0,121.0,211.0,60.0,28.0,,,0,0,0,7.0,6.0
259.0,244.0,240.0,124.0,226.0,80.0,27.0,,,0,0,0,90.0,
295.0,269.0,235.0,144.0,237.0,60.0,25.0,,,0,0,0,6.0,0.0
248.0,289.0,273.0,151.0,260.0,50.0,31.0,,,0,0,0,42.0,
250.0,253.0,185.0,191.0,206.0,60.0,,,,0,0,0,77.0,
252.0,244.0,262.0,143.0,243.0,80.0,22.0,,,0,1,0,22.0,
259.0,266.0,225.0,108.0,237.0,60.0,26.0,,,0,0,0,0.0,
267.0,278.0,260.0,132.0,238.0,50.0,25.0,,,0,0,0,,23.0
256.0,283.0,263.0,144.0,237.0,70.0,28.0,,,0,0,0,43.0,17.0
258.0,287.0,282.0,156.0,246.0,50.0,29.0,,,0,0,0,,6.0
249.0,289.0,281.0,138.0,259.0,60.0,26.0,,,0,0,0,0.0,
222.0,247.0,214.0,161.0,260.0,70.0,26.0,,,0,0,0,,38.0
235.0,245.0,267.0,135.0,210.0,50.0,,,,0,0,0,0.0,72.0
238.0,244.0,234.0,162.0,218.0,60.0,31.0,,,0,0,0,67.0,5.0
206.0,227.0,279.0,171.0,231.0,90.0,24.0,,,0,0,0,8.0,
286.0,296.0,251.0,105.0,248.0,80.0,30.0,,,0,0,0,38.0,25.0
258.0,261.0,288.0,110.0,237.0,80.0,35.0,,,0,0,0,,
260.0,251.0,261.0,108.0,223.0,70.0,30.0,,,0,0,0,,
236.0,218.0,195.0,204.0,260.0,80.0,23.0,,,0,0,0,7.0,0.0
188.0,270.0,236.0,188.0,233.0,60.0,26.0,,,0,0,0,,12.0
282.0,300.0,244.0,117.0,230.0,70.0,,,,0,0,0,72.0,
258.0,216.0,214.0,161.0,229.0,50.0,,,,0,0,1,,7.0
274.0,293.0,252.0,171.0,218.0,70.0,,,,0,0,0,,8.0
246.0,229.0,237.0,191.0,248.0,80.0,28.0,,,0,1,0,,
260.0,263.0,242.0,122.0,258.0,80.0,,,,0,0,0,26.0,24.0
206.0,230.0,244.0,208.0,206.0,60.0,29.0,,,0,0,0,34.0,0.0
260.0,301.0,289.0,96.0,244.0,50.0,27.0,,,0,0,0,21.0,0.0
278.0,298.0,249.0,99.0,260.0,60.0,,,,0,0,0,,5.0
237.0,237.0,234.0,172.0,252.0,60.0,,,,0,0,0,21.0,
282.0,261.0,256.0,192.0,283.0,80.0,,,,0,0,0,24.0,
281.0,317.0,274.0,123.0,227.0,70.0,32.0,,,0,0,0,,40.0
245.0,245.0,214.0,150.0,207.0,70.0,26.0,,,0,0,0,0.0,
211.0,225.0,217.0,155.0,263.0,70.0,29.0,,,0,0,1,,
272.0,307.0,224.0,113.0,251.0,80.0,25.0,,,0,0,0,,27.0
295.0,282.0,242.0,111.0,212.0,70.0,35.0,,,0,0,0,,29.0
239.0,248.0,269.0,118.0,264.0,80.0,28.0,,,0,0,0,0.0,0.0
219.0,232.0,253.0,98.0,219.0,70.0,35.0,,,0,0,0,10.0,12.0
257.0,249.0,245.0,151.0,265.0,80.0,,,,0,0,0,33.0,17.0
269.0,255.0,245.0,132.0,247.0,60.0,24.0,,,0,0,1,,29.0
269.0,267.0,206.0,136.0,204.0,60.0,,,,0,0,0,32.0,
228.0,248.0,217.0,133.0,192.0,60.0,26.0,,,0,0,0,,
222.0,245.0,226.0,168.0,217.0,50.0,25.0,,,0,0,0,,68.0
288.0,283.0,259.0,145.0,256.0,50.0,,,,0,0,0,,15.0
286.0,277.0,231.0,175.0,279.0,90.0,,,,0,0,0,,13.0
288.0,265.0,269.0,104.0,283.0,60.0,,,,0,0,0,,0.0
244.0,258.0,263.0,177.0,226.0,50.0,,,,0,0,0,,42.0
259.0,269.0,248.0,123.0,211.0,70.0,26.0,,,0,0,0,,0.0
227.0,270.0,232.0,132.0,210.0,50.0,24.0,,,0,0,0,,23.0
272.0,256.0,263.0,157.0,264.0,90.0,,,,0,0,0,,17.0
281.0,294.0,262.0,96.0,248.0,80.0,,,,0,0,0,,65.0
242.0,266.0,238.0,140.0,213.0,60.0,,,,0,0,0,,61.0
236.0,275.0,246.0,167.0,210.0,50.0,35.0,,,0,0,0,,17.0
275.0,288.0,224.0,120.0,259.0,70.0,25.0,,,0,1,0,14.0,
300.0,293.0,240.0,136.0,295.0,80.0,,,,0,0,0,,44.0
257.0,250.0,228.0,163.0,210.0,60.0,,,,0,0,0,,9.0
243.0,294.0,293.0,91.0,228.0,60.0,31.0,,,0,0,1,,0.0
192.0,249.0,257.0,158.0,176.0,60.0,,,,0,0,0,,26.0
199.0,283.0,264.0,117.0,247.0,90.0,24.0,,,0,0,0,,
284.0,253.0,226.0,136.0,277.0,70.0,,,,0,1,0,,19.0
230.0,256.0,230.0,165.0,232.0,60.0,26.0,,,0,0,0,,29.0
258.0,286.0,271.0,137.0,220.0,90.0,26.0,,,0,0,0,,
219.0,198.0,236.0,194.0,202.0,90.0,33.0,,,0,0,0,,
260.0,267.0,269.0,107.0,256.0,60.0,36.0,,,0,0,0,,48.0
217.0,242.0,234.0,169.0,196.0,60.0,32.0,,,0,0,0,,
235.0,256.0,258.0,122.0,202.0,80.0,31.0,,,0,0,0,,
237.0,258.0,231.0,131.0,205.0,70.0,25.0,,,0,0,0,26.0,
222.0,298.0,280.0,85.0,263.0,90.0,,,,0,1,0,,43.0
266.0,254.0,254.0,128.0,252.0,70.0,31.0,,,0,0,0,35.0,40.0
256.0,314.0,260.0,67.0,287.0,80.0,,,,0,0,0,5.0,31.0
208.0,280.0,226.0,160.0,231.0,20.0,,,,0,0,0,10.0,58.0
255.0,290.0,260.0,122.0,238.0,90.0,27.0,,,0,0,0,50.0,74.0
255.0,265.0,224.0,136.0,254.0,80.0,28.0,,,0,0,0,33.0,
234.0,261.0,198.0,155.0,195.0,60.0,27.0,,,0,0,0,,
242.0,270.0,221.0,118.0,213.0,70.0,26.0,,,0,0,0,,58.0
225.0,236.0,211.0,136.0,249.0,80.0,19.0,,,0,0,0,56.0,68.0
237.0,255.0,244.0,109.0,251.0,90.0,31.0,,,0,0,0,27.0,
274.0,258.0,232.0,122.0,210.0,50.0,26.0,,,0,0,0,,0.0
268.0,244.0,199.0,194.0,188.0,60.0,27.0,,,0,0,0,25.0,48.0
248.0,226.0,251.0,115.0,233.0,70.0,26.0,,,0,0,0,11.0,
299.0,254.0,197.0,113.0,177.0,70.0,27.0,,,0,0,0,95.0,
249.0,265.0,252.0,142.0,218.0,80.0,26.0,,,0,0,0,37.0,22.0
