,Determined,Collaborator,Family,Optimistic,"""Ancient world"" leader",Peacful zionist,Nurturing,Compassionate,Educator,Army Commander,Visionary,N/A,Achiever,Fiction Character,Problem Sover,Sum,,,,,,,,,,,,,,,,,,,,,,,,,
Female-Female,64,90,119,172,13,36,182,30,54,30,22,62,127,116,50,1167,3360,,,,,,,,,,Female,Male,Amorphous,,,characters count,,,,,,,characters prcnt,,
Female-Male,109,81,68,160,68,211,127,87,72,74,186,108,89,103,58,1601,,,,,,,,,,Female,34.73,47.65,17.62,,,,,,,,,,,,
Female-Amorphous,65,132,8,82,6,8,136,12,7,4,6,61,18,8,39,592,,,,,,,,,,,Female,Male,Amorphous,,,Female,Male,Amorphous,sum,,,,Female,Male,Amorphous
Sum,238,303,195,414,87,255,445,129,133,108,214,231,234,227,147,3360,,,,,,,,,,,,,,,,,,,,,,,,,
Male-Female,17,18,27,50,4,6,40,8,19,9,5,16,16,20,17,272,4953,,,,,,,,,Male,5.49,82.92,11.59,,Females,1060,1476,538,3074,,,Females,34.5,48,17.5
Male-Male,294,239,257,288,328,442,259,234,226,289,364,234,269,191,193,4107,,,,,,,,,,,,,,,Males,240,3660,511,4411,,,,Female,Male,Amorphous
Male-Amorphous,83,122,6,58,10,12,89,23,19,4,11,45,32,10,50,574,,,,,,,,,,,,,,,,,,,,,,Males,5.4,83,11.6
Sum,394,379,290,396,342,460,388,265,264,302,380,295,317,221,260,4953,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Determined,Collaborator,Family,Optimistic,"""Ancient world"" leader",Peacful zionist,Nurturing,Compassionate,Educator,Army Commander,Visionary,N/A,Achiever,Fiction Character,Problem Sover,,,,Agency,Communal,Nutral,,,,,,,,,,,,,,,,,,,,
Female-Female,5.5,7.7,10.2,14.7,1.1,3.1,15.6,2.6,4.6,2.6,1.9,5.3,10.9,9.9,4.3,,,Female-Female,27,33.5,34.2,,,,,,,,,,,,,,,,,,,,
Female-Male,6.8,5.1,4.2,10,4.2,13.2,7.9,5.4,4.5,4.6,11.6,6.7,5.6,6.4,3.6,,,Female-Male,30.2,17.2,45.7,,,,,,,,,,,,,,,,,,,,
Female-Amorphous,11,22.3,1.4,13.9,1,1.4,23,2,1.2,0.7,1,10.3,3,1.4,6.6,,,Female-Amorphous,24.3,46.7,18.9,,,,,,,,,,,,,,,,,,,,
,Determined,Collaborator,Family,Optimistic,"""Ancient world"" leader",Peacful zionist,Nurturing,Compassionate,Educator,Army Commander,Visionary,N/A,Achiever,Fiction Character,Problem Sover,,,,,,,,,,,,,,,,,,,,,,,,,,
Male-Female,6.3,6.6,9.9,18.4,1.5,2.2,14.7,2.9,7,3.3,1.8,5.9,5.9,7.4,6.3,,,Male-Female,26.2,31.2,36.8,,,,,,,,,,,,,,,,,,,,
Male-Male,7.2,5.8,6.3,7,8,10.8,6.3,5.7,5.5,7,8.9,5.7,6.5,4.7,4.7,,,Male-Male,39.1,18.4,36.9,,,,,,,,,,,,,,,,,,,,
Male-Amorphous,14.5,21.3,1,10.1,1.7,2.1,15.5,4,3.3,0.7,1.9,7.8,5.6,1.7,8.7,,,Male-Amorphous,35.2,37.8,19.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Determined,Collaborator,Family,Optimistic,"""Ancient world"" leader",Peacful zionist,Nurturing,Compassionate,Educator,Army Commander,Visionary,N/A,Achiever,Fiction Character,Problem Sover,,,,,,,,,,,,,,,,,,,,,,,,,,
Females,5.5,7.7,10.2,14.7,1.1,3.1,15.6,2.6,4.6,2.6,1.9,5.3,10.9,9.9,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Males,6.3,6.6,9.9,18.4,1.5,2.2,14.7,2.9,7,3.3,1.8,5.9,5.9,7.4,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Determined,Collaborator,Family,Optimistic,"""Ancient world"" leader",Peacful zionist,Nurturing,Compassionate,Educator,Army Commander,Visionary,N/A,Achiever,Fiction Character,Problem Sover,,,,,,,,,,,,,,,,,,,,,,,,,,
Females,6.8,5.1,4.2,10,4.2,13.2,7.9,5.4,4.5,4.6,11.6,6.7,5.6,6.4,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Males,7.2,5.8,6.3,7,8,10.8,6.3,5.7,5.5,7,8.9,5.7,6.5,4.7,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Determined,Collaborator,Family,Optimistic,"""Ancient world"" leader",Peacful zionist,Nurturing,Compassionate,Educator,Army Commander,Visionary,N/A,Achiever,Fiction Character,Problem Sover,,,,,,,,,,,,,,,,,,,,,,,,,,
Females,11,22.3,1.4,13.9,1,1.4,23,2,1.2,0.7,1,10.3,3,1.4,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Males,14.5,21.3,1,10.1,1.7,2.1,15.5,4,3.3,0.7,1.9,7.8,5.6,1.7,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,
